genital	生殖の|性器の
spurt	ほとばしり出る|発芽する|噴出する|疾走する|を噴出させる|をほとばしらせる|スパート
hypocrisy	偽善
synonym	類義語|同意語
allude	ほのめかす|それとなく言う
honeymoon	新婚旅行(をする)|蜜月(期間)
ocular	目の|視覚による|ocular proof 目に見える証拠|接眼鏡
obligatory	義務的な
adequacy	妥当性
uncontrolled	自由な|制御されていない|放置された|抑制されていない
confide	に打ち明ける|委託する|信任する|信頼する
tenor	男性の高音部歌手
manpower	人的資源|人力(工率の単位=1|10馬力)|労働力|動員可能人力
bluntly	無作法に|ぶっきらぼうに|無下に
shortcut	近道
cortisol	副腎皮質ホルモンの一種|炭水化物|脂肪|タンパク代謝を制御する生体に必須のホルモン
swan	白鳥|きわだって美しい人|(俗)美人
humid	湿度の高い|多湿の|むしむしする
thermometer	温度計|寒暖計|検温器
foyer	休憩室|ホワイエ|ロビー|玄関の広間
resistor	(電気の)抵抗器
gluten	グルテン|麩質(ふしつ)
spindle	紡錘|軸|スピンドル
spacecraft	宇宙船
berth	停泊所|寝台|段ベッド|宿|停泊位置
contraceptive	避妊(用)の|避妊薬(具)
lull	(子どもを)寝かしつける|和らげる|心なごむ音|小康状態
wreath	花輪|花|花冠|輪状のもの
unimportant	重要でない|ささいな|取るに足らない
centrally	一元
guru	《しばしばG-》ヒンズー教の教師|導師|尊敬する師(指導者)
photosynthesis	光合成
horrific	恐ろしい
multivariate	多変量の
variously	いろいろに
occult	神秘(の)|超自然的な|隠れる
doorbell	戸口のベル
originality	独創性|オリジナリティー
firstly	まず第一に
precaution	予防|予防策|用心|警戒
fearless	恐れを知らない
amuse	を楽しませる|笑わせる
swipe	大振りで打つ|強打する|盗む|かっぱらう|強打|大振り|がぶ飲み
inadequacy	欠点|不十分|不足|不適当|不備|無能
apprenticeship	見習い
horde	群落になる|大群
felony	重罪(強盗･殺人など)
psychologically	心理的に
intracranial	頭蓋内の
scoundrel	悪党|悪漢
delineate	の輪郭を描く|線引きする|絵で表わす|(詳細に)描写する
psychoanalytic	精神分析の
stupidity	愚かな考え|愚かさ|愚行
hormonal	ホルモンの|ホルモンの影響をうけた
nothingness	無|空|無意義・無価値
heave	力をいれて持ちあげる|あえぎ|胸が波打つこと
asphalt	アスファルト
vertebral	脊椎の
vegan	完全菜食主義者
odour	(UK英)香り|匂い|臭気|芳香|気配
pharmacist	薬剤師
troll	トロール(北欧民話で洞穴に住む巨人･小人)|陽気に歌う|輪唱する|流し釣りする
recur	再び起こる|再発する|思い出される|繰り返される
lipstick	口紅
paranoid	偏執性の|偏執症の(患者)の|偏執(誇大妄想)的な|偏執症患者
grenade	手りゅう弾|手榴弾|催涙弾
metadata	非常に大量のデータ
flinch	しりごみする|たじろぎ|ひるむ
preferential	優先の|特恵の
ghastly	青ざめた|恐ろしい
briskly	きびきびと|活発に
succumb	屈服する|圧倒される|敗ける|死ぬ
radiotherapy	放射線治療
goddamn	こんちくしょう
flexion	曲がること|屈曲(部)|湾曲(部)|屈曲作用|語尾変化
obsessive	つきまとう
po	おまる|しびん|トイレ|便所
ratification	批准|承認
invoice	インボイス|送り状
relocation	(米語)(第二次大戦中の日系人)強制収容|再配置|移転
admiral	司令長官|海軍大将|指令長官
prognostic	予後の
mixer	ミキサー|音量調整係|社交家
rationalize	正当化する|合理化する|理屈づける
vodka	ウォッカ
generality	一般的な考え
