mental,精神の
battle,戦い
freedom,自由
variety,種類
decrease,減少する
sex,性別
hurt,傷つける
version,版
useful,役に立つ
correct,正しい
protection,保護
vary,変わる
neck,首
historical,歴史的な
track,跡
secret,秘密
marriage,結婚
definition,定義
hospital,病院
error,誤り
construction,建設
afraid,怖い
gas,ガス
reader,読者
factor,要因
farm,農場
sector,部門
hide,隠す
objective,目的
crowd,群衆
latter,後者
pair,一対
maybe,多分
count,数える
shop,店
beat,打つ
crime,犯罪
mountain,山
drop,落ちる
relevant,関連した
relation,関係
benefit,利益
match,試合
guard,守る
admit,認める
arise,生じる
sentence,文
wood,木材
tradition,伝統
vision,視覚
explore,探検する
extent,程度
slightly,わずかに
framework,枠組み
build,建てる
initial,最初の
bone,骨
army,軍隊
tone,音色
alternative,代替
soil,土壌
guess,推測する
worth,価値がある
spring,泉
daily,毎日の
agency,代理店
tax,税金
silence,沈黙
motion,動き
religion,宗教
popular,人気のある
difficulty,困難
justice,正義
partner,パートナー
neither,どちらも〜ない
station,駅
screen,画面
blow,打撃
internal,内部の
park,公園
print,印刷する
link,つなぐ
mark,印
computer,コンピュータ
narrative,物語
essential,不可欠な
progress,進歩
environmental,環境の
safety,安全
aware,気づいている
assume,仮定する
chain,鎖
constant,一定の
bottom,底
define,定義する
establish,設立する
independent,独立した
experiment,実験
month,月
circle,円
labor,労働
mode,方法
sky,空
attitude,態度
waste,無駄
obtain,得る
metal,金属
title,題名
score,得点
violence,暴力
dynamic,動的な
sorry,ごめんなさい
impossible,不可能な
double,二倍の
collection,収集
witness,目撃者
reveal,明らかにする
matter,問題
miss,逃す
gold,金
actual,実際の
disorder,混乱
quiet,静かな
successful,成功した
feature,特徴
strike,打つ
gun,銃
pleasure,喜び
gender,性別
bag,かばん
intervention,介入
kitchen,台所
song,歌
fair,公平な
regulation,規則
cancer,がん
appearance,外見
formation,形成
muscle,筋肉
dear,親愛なる
summer,夏
otherwise,さもなければ
capture,捕まえる
empty,空の
equation,方程式
concentration,集中
consideration,考慮
extremely,非常に
dinner,夕食
gift,贈り物
clinical,臨床の
ancient,古代の
via,〜を通って
huge,巨大な
description,説明
therapy,治療
push,押す
none,誰も〜ない
novel,小説
audience,観客
online,オンラインの
injury,けが
attend,出席する
frequency,頻度
pick,選ぶ
observation,観察
cycle,周期
resistance,抵抗
representation,表現
politics,政治
hate,嫌う
animal,動物
catch,捕まえる
sexual,性的な
wake,目覚める
purchase,購入する
stock,株
survey,調査
taste,味
win,勝つ
threat,脅威
manage,管理する
boat,ボート
express,表現する
secure,安全な
career,経歴
narrow,狭い
cook,料理する
minute,分
advance,進む
mistake,間違い
combination,組み合わせ
beside,〜のそばに
responsible,責任がある
tissue,組織
majority,大多数
garden,庭
passage,通路
sin,罪
nurse,看護師
