lavish	を浪費する|物惜しみしない|気前のよい|贅沢な|豊富な|ぜいたくな
paraphrase	説明|言い替え|意訳|他の語で言いかえる|を言いかえる
azure	空色(の)|淡青色|藍色|青空 (an azure sky 紺碧の空)
ensign	旗|国旗
ashtray	灰皿
unattached	結合されていない
negligent	怠慢な|無頓着な|不注意な
arson	放火(犯)
woe	悲痛|苦悩|悲哀|災難|悩みの種
hasten	急いでする|急ぐ|急いで～する|急がせる|せきたてる
tranquility	静けさ|静かなこと|平和|平静|安寧
outing	外出|お出かけ|遠足
snipe	狙撃する|狙撃|政治ポスター|シギ(鳥)
pathogenesis	病因
botox	ボトックス(神経毒の名称)
lilo	空気ベッド(プラスチック製で海岸などで用いる)
pixie	妖精|小鬼|いたずら好きな
bereavement	肉親に先立たれること|死別
vehicular	運搬具の|乗り物の|媒体
actuary	保険数理士
penicillin	ペニシリン|(penəˈsilin)|1928年にイギリスのアレクサンダー･フレミングによって発見された世界初の抗生物質
commenter	評者
celsius	摂氏|(=centigrade)
recognizable	認識された
babysit	子守
racquetball	ラケットボール|壁に囲まれたコートでボールを壁にはね返らせるスカッシュに似た球技
glycol	グリコール
sinner	罪人|罪を犯した人
ergo	(ラテン語)(それ)ゆえに
payback	資本回収
conduction	伝導
countess	伯爵婦人
crafty	狡猾な
dill	ディル|ヒメウイキョウ(セリ科の植物で|実と葉はピクルスなどの香味料)
fella	fellow|ヤツ
gritty	ほこり(砂)だらけの|砂のような|砂利の入ったような
coronation	戴冠式
toil	骨折り|苦しい仕事|労苦|労役|骨折る|精を出して働く
adder	毒蛇|マムシ|クサリヘビ(有毒)
cowgirl	カウガール(牧場で働く|カウボーイの服装をした女性)
dermatitis	皮膚炎
reluctance	気が向かないこと|いや気|不承不承|不本意
inconsistency	不調和|無定見|矛盾
fecal	糞便の
atoll	環礁|環状サンゴ島
apostolic	使徒の|使徒的な|apostle＞
hairdresser	美容院(~s)|美容師|理容師
underpin	支える
anguish	悲痛|苦悩|苦痛|苦悶|に苦悩を与える
nighttime	夜間
proximal	近位
rosebud	バラのつぼみ|美少女|ばらのつぼみ
