egret	シラサギ(の羽毛)|羽飾り|冠毛
sass	生意気|に生意気な口を利く|口答えする
pus	膿(うみ)
mongol	a member of the nomadic peoples of Mongolia|of or relating to the region of Mongolia or its people or their languages or cultures; "the Mongol invaders"; "a Mongolian pony"; "Mongolian syntax strongly resembles Korean syntax"|of or relating to the region of Mongolia or its people or their languages or cultures
phonological	音韻論の|音韻体系の|音韻的な
hinterland	後背地|奥地|田舎
hypocritical	偽善的な
courtship	(女性への)求愛|求婚
caspase	カスパーゼ
irritate	をいらだたせる|を怒らせる|を刺激する
tolerable	我慢できる|耐えられる|かなり良い|相当の|悪くはない|かなりの
spelling	字を綴ること|綴り|つづり|語の綴り方
desolation	荒らすこと|荒廃|荒涼とした場所|荒地|廃墟|荒涼|荒すこと
chrysanthemum	キク|菊
bionic	身体機能を機械的に強化した|生物工学的な
perversion	こじつけ|悪用|転倒
sneeze	くしゃみ(をする)|ばかにする
expeditionary	遠征の|探検の
humanistic	人道主義者|人道主義の
travelogue	旅行談|紀行映画
hindrance	妨害|障害|邪魔|妨げ
cinch	(俗)確かなこと|朝飯前のこと|確実なこと|やさしいこと
merci	（フランス語）ありがとう
handicapper	(競馬の)予想屋
upkeep	維持費
clump	群がらせる|かたまり|木立ち
biliary	胆管|胆汁|胆管の
gusset	a piece of chain mail covering a place unprotected by armor plate|a metal plate used to strengthen a joist|a piece of material used to strengthen or enlarge a garment
swath	ひと刈り分の牧草(麦など)|ひと刈りの幅
jaundice	黄疸(おうだん)|ひがみ|偏見
nitride	窒化物
implicate	(人を犯罪などに)関係があるとする|巻き込む|もつれさせる
japonica	日本産植物(ツバキ|ボケなど)|日本の文化資料
megabyte	メガバイト
toothpick	つまようじ
tog	着物|衣服|(〜を)〈自分〉‘に'着せる《+oneself up(out)in+名》
walrus	セイウチ
oust	追放する|立ち退かせる|(場所･地位などから)追い出す
periodicity	周期性
greenery	青葉
proverbial	ことわざの|有名な
timesheet	timecard
histological	組織学的な
tranquillity	平静|安寧
psychotherapist	精神分析医
etcetera	がらくた|雑品|種々のもの
stoop	かがむ|腰が曲がる|を曲げる|品位を落とす|ポーチ
mouser	(ネズミを捕る)ネコ|ネズミをとる動物
conjugation	共役|(動詞の)活用
impediment	妨害|障害|故障|身体障害|言語障害
rattlesnake	ガラガラヘビ
exclaim	叫ぶ|大声で言う
pesto	ペスト・ジェノヴェーゼ
ponderosa	common and widely distributed tall timber pine of western North America having dark green needles in bunches of 2 to 5 and thick bark with dark brown plates when mature
desperado	無法者|命知らず
perilous	危険の多い|危険な
stipulate	規定する|を明記する|を保証する|契約する
preoperative	術前の|手術前の
nether	下の|地下の
wheelbase	(車の)ホイールベイス|軸距(前後の車軸間の距離)
coho	fatty pinkish flesh of small salmon caught in the Pacific and Great Lakes|small salmon of northern Pacific coasts and the Great Lakes
preoccupation	先入観|先取|気を取られていること|夢中|偏見|先入主
geodetic	測地学の;測地線の
characterise	特徴付ける|特色付ける|特徴づける|特色づける|特徴付ける|特色付ける|特徴づける|特色づける
approver	承認者
commonality	共通性
consensual	(契約など)合意の上の
turnip	カブ(植物)
idiotic	馬鹿な|ばかげた
ascorbic	ascorbic acidアスコルビン酸|ビタミンC として働く有機化合物の一種|食品添加物の酸化防止剤として広く使用される
covalent	共有結合性の
tarpon	Atlantic tarponターポン|カライワシ目イセゴイ科の魚|体長は250cmを記録|太古よりほとんど形状を変えず現代まで生き延びてきた古代魚
herewith	これとともに|同封して|この機会に|これによって
radix	本|進数|付け根|根拠|基礎|基盤|根拠地|基|拠点|元
orthologous	オーソロガス(種分岐相同性の)　参：パラロガス(paralogous|遺伝子重複相同性の)
taichi	a Chinese system of slow meditative physical exercise designed for relaxation and balance and health
grist	製粉用の穀物
decry	非難する
subside	静まる|沈む
fizz	しゅーという音|フィズ
pronoun	代名詞
colloid	コロイド|極微細な粒子が液体･気体･固体などの媒体中に分散している状態(colloidal dispersion)|分散している粒子を分散質|媒体を分散媒という|膠質ともいう
ukulele	ウクレレ
plankton	プランクトン
watercourse	水流|川|小川|運河
steely	はがねの|頑固な
quintile	5分位点|5分割する区切り点|数
airframe	(航空機・ロケットの)機体
nourishment	栄養状態|滋養物|食物|助成|育成
preposition	前置詞
gravitation	引力|引力作用|ひきよせられること
antiwar	反戦の
whaler	浮浪者|並外れたもの|メジロザメ|捕鯨船|捕鯨船員
menopausal	閉経期
retrograde	後もどりの|後退する|退化する
shadowy	影のある|陰になっている|はっきりしない|非現実的な
reproducibility	再現性
abalone	アワビ
primordial	原始の|原生の|根本的な|根本(原理)
yip	キャンキャン吠える|大きな声で不満を言う
divan	背のない低いソファー|寝いす|ソファーベッド
gob	汚い塊|(ねばねばした)かたまり
lumberjack	木こり|木材伐採人夫|材木切出し人
sully	(名声|功績など)に傷をつける|泥を塗る
sbe	the compass point that is one point east of due south
jalapeno	トウガラシ
gingham	ギンガム(棒じまなどの綿布)
lampoon	激しく風刺する|風刺文
