taxon	分類群
amigo	友人
extol	賞賛する|ほめたたえる|賞揚する|激賞する
antimony	アンチモン(金属元素)|元素記号はSb
perdition	魂の破滅|魂の永遠の滅亡|地獄|破滅|全滅
suave	まろやかな|温厚な|丁寧な
reversibility	両面(裏表)兼用|転換可能
coupler	(車両の)連結器
autoclave	圧力がま(特に医療器具消毒用)
adulterous	偽の|姦通の|不義を犯す|不純な|浮気症の
rancid	悪臭のある
copyist	写字生|筆耕|謄写人|模倣者
compressibility	圧縮性|圧搾できること
unreported	報告されていない
thymic	胸腺の
instrumentalist	器楽家|演奏家|道具主義者
llama	ラマ(の毛)
tetrahedron	4面体
readjust	再調整する
nutty	に熱中して
fob	フォッブ|策略|ごまかす|無視する|つかませる
frontispiece	本の口絵
unadorned	簡素な
virginal	処女の|処女にふさわしい;汚れのない|純潔な|バージナル(16|7世紀にはやった長方形のハープシコードの一種)
comport	身を処する|ふるまう
larder	〈C〉肉貯蔵室|食料品室(pantry)|〈U〉貯蔵食料
nonstandard	規格外の
friendless	友のない
rekindle	再燃させる|再び元気づける
selfishly	身勝手に
humanitarianism	人道主義|博愛
innervate	刺激する
fixity	〈U〉固定[性]|定着[性]|〈C〉固定物|定着物
tele	=television
chancery	(また『court of chancery』)《米》衡平法裁判所|chancellorの職|《英》大法官府|大法官裁判所|公記録保管庁
obsessively	しきりに
swelter	暑さでまいる|汗だくになる
whitewash	ごまかし|取り繕い|水しっくい|うわべを飾る|表面を取り繕う|ごまかす
transparently	透過的に
detox	解毒の
preemption	先買;先買権|敵国向け軍需品の買取り権[の行使]|《米》(公共用地内での)居住権
airstrip	臨時滑走路|仮設滑走路
karst	カルスト地形(浸食された石灰岩台地)
initio	「第一原理」の意(化学･物理･生物他で)
torturous	残酷な|拷問の
polka	ポルカ(の曲)
indemnification	賠償(金)|補償(金)|保証|弁償|免責
consonance	〈U〉〈C〉(二つの音の)調和;協和音|〈U〉(趣味・意味などの)一致|調和|〈U〉(音の)共鳴
hibernation	冬眠
duster	掃除人|雑巾
liveliness	元気のあること;陽気|鮮やかさ
mettle	血気|気質|勇気
handrail	手すり
gasket	パッキン|ガスケット
militate	不利に作用･影響する
cognac	コニャック
finalist	決勝戦出場選手|最終候補者|目的因論者|目的論の
omniscience	全知|全知の神|博識
convulsion	ひきつけ|けいれん(cramp)|動乱|激動
enrapture	〈人〉‘を'有頂天にする|うっとりさせる
reification	具体化;具象|具体物
wormhole	(木材の)虫穴|(地面の)虫の通り穴
hetero	(ギリシア語)ヘテロ|異性愛の
lop	刈込む|垂れる
blackguard	《軽べつして》げす;悪漢|ごろつき|〈人〉‘に'悪態をつく|〜'を'ののしる
equitably	公平に|公正に|正当に
motherland	母国|発祥地
piper	管楽器奏者|笛ふき(bagpiper)導管敷設者|(魚)ホウボウ
flak	対空砲|対空射撃|矢継ぎ早の批難
reelect	〜‘を'再選する
catharsis	カタルシス(観客が悲劇を観ることにより心のわだかまりなどの感情を浄化させること)
personify	を擬人化する|体現する|擬人化する|具体化する
littoral	海岸の|沿海の|海岸地方|沿海州
elitism	エリート支配(主義･意識)
horseradish	西洋わさび
idealize	を理想的にする|を理想化する
weft	(織物の)横糸
peduncle	花柄|(クラゲ・エビなどの)柄
blackberry	クロイチゴ|黒イチゴ
fiddler	バイオリンひき|(俗)詐欺師
trudge	とぼとぼ歩く|てくてく歩く|重い足取り(で歩く)
barrack	(通常複数形)バラック|兵舎 (Barack Obama大統領は別綴り)
presage	前兆する|前兆
mushy	(かゆのように)柔らかな|弱々しい|涙もろい
voodoo	〈U〉ブードゥー教(西インド諸島やアメリカの一部の黒人間で行われる|まじないを信仰する宗教)|〈C〉ブードゥー教のまじない師;ブードゥー教のまじない|ブードゥー教の
soulful	魂のこもった
biotech	バイオテクノロジー
sputter	ぱちぱちいう|早口で言う|口ごもる|パチパチという音を立てる
pelican	ペリカン|皮肉っぽい女|大食漢
bewail	嘆き悲しむ
encyclical	(ローマ教皇が世界の全司教に与える)回勅
ulna	(人の腕|動物の前肢の)尺骨
synthesizer	シンセサイザー
mutagenesis	突然変異生成
tamoxifen	タモキシフェン|非ステロイド性抗がん剤の一種
tassel	(飾り)房|房毛
proteome	プロテオーム|ある生物種|細胞の状態のタンパク質の総体|プロテオームを扱う解析がプロテオミクス
armful	(〜の)腕いっぱいの量《+『of』+『名』》
compressible	圧縮性の|圧搾できる
dower	寡婦(かふ)産(亡夫の遺産のうち未亡人が受ける部分)|生まれつきの資質|天賦の才|=dowry|〜‘に'寡婦産を与える|(才能・資質などを)〜‘に'与える|賦与する(endow)
nomad	遊牧民|流浪者
glut	満腹|供給過剰|飽かせる|数量が過度に多いこと
backstory	裏話
principality	王国|王政
brutish	獣のような|野蛮な|肉欲的な
xylene	キシレン(xylene)|芳香族化合物|医学･生物学分野で薬剤･溶剤の原料として使われる|キシロールとも呼ばれる
pajama	パジャマ|ゆるいズボン
circumscribe	囲む|回りに境界線を引く|制限する|に限界を画する
trigonometric	三角法の|三角法による
jittery	神経過敏の
underpants	パンツ
spasmodic	けいれん性の|発作的な|断続的の
