the	その
of	〜の
and	〜と|そして
to	〜へ
a	ひとつの
in	〜の中に
be	である|ある|(助動詞)受け身を作る
that	あれ|あの
for	〜のために|〜の期間
it	それ
not	しない|(文や語の否定)～でない
with	〜と一緒に
as	〜として|〜のような
on	〜の上に
have	持っている|経験する|食べる|(完了形を作る)
you	あなたは|あなたがたは|あなたを|あなたがたを
he	彼|彼は|彼が
her	彼女に|彼女の|彼女を
by	〜によって|〜のそばに|〜までに
at	〜に|〜を
can	〜することができる
will	〜するつもりである|〜でしょう
from	〜から
do	する
or	または|あるいは|(命令文の後で)さもなくば
this	これ|この
but	しかし|だが|〜の他に
she	彼女は|彼女が
they	彼ら|彼らは|彼女らは|それらは
which	どちらの|どちら
my	私の|私の
their	彼らの|彼女らの|それらの
one	1つの|ある|唯一の|一方の|同じもの|人
all	すべての|全部の|すべて(のこと)
we	私たち|私たちは
him	彼を
me	私を|私に
out	外へ
up	上へ|上がる
time	時間|時刻|回|(times)時代|時勢
so	そのように|とても|それほど|そういうわけで
other	他の|別の|他の人|他のもの
see	見る|見える
about	およそ|〜について
who	誰
know	を知っている
them	彼らを|彼女らを|それらを
into	〜の中へ
when	いつ|の時に|だけれども|するときはいつでも|～ならば
what	何|何の|(感嘆)何と|何だって?
there	そこ|そこに|そこで
if	もし|もし～なら|たとえ～でも|かどうか
may	〜してもよい|～かもしれない|～であろう
take	取る
your	あなたの|あなたがたの
no	いいえ|少しも～ない|1人も(1つも)～ない
like	好む|〜のような
well	よく|うまく|上手に|じゅうぶんに|おや|さて
go	行く
also	もまた
get	得る|(もの･こと)を得る|(状態に)なる
than	〜よりも
think	思う|考える
come	来る
only	唯一の|ただ～だけの|最適の|ただし
little	小さい|少し|かわいい|年少の|若い
work	働く|(うまく)動く|仕事
some	いくつかの|いく人かの|いくらかの|約|およそ|ある|何か|一部の人|いくらか
man	男|男性|男の人
make	作る|(対象を新しい別のもの･状態に)する
shall	相手の意向を尋ねる
then	それから|その次に|そのとき|それなら|そうすれば
over	〜を越えて|〜の上を覆って|〜の上方に
give	与える|渡す
way	道|方法
such	そのような|このように|そんなに
these	これらの|これら|この人たち
our	わたしたちの
back	バック|後ろに|support|支援する|推薦する|後退する|背中
use	を使う|使用
any	いくつかの|いく人かの|いかなる|どの
even	さらに|でさえ|いっそう|ちょうど|均等な|偶数の
just	ちょうど|まさに|たった今|ただ～だけ
through	〜を通って
how	どう|(状態)どんな様子で|(方法･手段)どのようにして|(程度)どれくらい|(感嘆)なんと
first	最初の|(日付の)1日|第1の|1番目の|初めての|まず|最初に
want	を望む|を欲しい|必要|不足
need	を必要とする|必要物|必要性|する必要がある
hand	手|手渡す
day	日|1日|曜日
between	〜の間に
say	言う|言ってみれば(例えば)
now	今|現在|さて|さあ
long	長い|長く
where	どこに|どこで|どこへ|どこ
down	下方へ
before	〜の前に
right	正しい|右の|ちょうど|権利
very	非常に|たいへん|とても
us	私たちを
because	なぜなら
good	よい|よろしい|楽しい|おいしい|うまい|じゅうぶんな
life	生活|一生|人生|生命|命
look	見る|目を向ける
here	ここに|ここで
much	ずっと|はるかに|非常に|多くの|多量の
own	自分の|自身の|を所有する
place	場所|余地|を置く
many	多くの
new	新しい
those	それらの|あれら|あの人たち|あれらの
show	を見せる|教える|示す|(テレビの)番組|ショー
become	になる|(ある状態)になる･変わる
off	〜から離れて|休みの日
high	高い|(程度などが)上の
still	まだ|やはり
change	変更|変化する|おつり
same	同じ
both	両方|2人とも
must	〜しなければならない|〜に違いない
too	もまた|あまりに～しすぎる
case	ケース|場合|真相|病状|事件|訴訟|裁判|(俗)強盗が下見する|トイレ|(文法)格
head	頭(の働き)|頭脳
each	それぞれの|めいめいの|各自
system	システム|組織|仕組み
state	状態|はっきり述べる|国家(の)|州|独立国|主権国|様子|ありさま
part	一部|部分|役割|分かれる|を分ける
face	顔|直面する
great	すばらしい|重大な|(数量が)大きな
while	の間|～する間|～する一方で
point	点|先端|指さす
around	〜の周りに
never	決して～ない|今までに一度も～ない
doe	鹿,ウサギ,羊等の雌(反義語buck)
old	古い|(年齢が)～歳の
world	世界
help	を助ける|を手伝う|役立つ|助け|援助|役立つ人
far	遠くに|はるかに
form	書類の様式|フォーム|形|外観
again	再び|また|もう一度
study	勉強する|を研究する
different	ちがう|別々の|異なる
process	プロセス|過程|経過
under	〜の下に
set	セットする|(定められた場所に)置く|準備が出来ている(ready)
without	 〜なしに
end	終わり|終わる|を終える
away	あちらへ|去って|不在で|外出して
find	を見つける
open	開ける|開く|オープン
