wyvern	(紋章で)飛竜(2本足で翼を持ち|蛇の尾の架空の竜)
dressy	正装向きの
scaler	計数回路
egalitarian	人類平等主義の
curvy	くねくねと曲がった|カーブの|曲がった|曲線の美しい|曲線美の
crucially	決定的に|重大に
facile	愛想のよい|手軽な|容易な|骨の折れない|たやすく得られる
environmentalist	環境問題研究家|環境保全主義者|環境保護論者
cognate	同起源の|同語源の|同語根語|祖先を同じくする|同血族の
spinster	未婚女性(a bachelor girl)|ハイミス|(男性独身者|bachelor|cf|celibate)
mistreatment	虐待
somber	憂うつな|くすんだ|薄暗い|地味な|陰気な|憂欝な
immovable	動きのない|動かせない|固定した|不動の|静止した|冷静な
amoeba	アメーバ(複|amoebae amoebas)
backscatter	後方散乱
carboxylic	カルボキシル
poinsettia	ポインセチア
awry	間違って|片方に曲がって|斜めに|正道からそれて
iceman	氷屋|氷配達人
superposition	重ね合わせ
subordination	(〜より)下位に置くこと;(〜への)従属|服従《+to+名》
parakeet	インコ
disinterested	私欲のない
unresponsive	反応しない
crappie	クラッピー(中米産の小型のマンボウ類の魚)
itemize	箇条書きにする|明細に記す
abolitionist	廃止論者
tenuous	あいまいな|薄い|細い
preamplifier	プリアンプ(受信した弱い電波を検波・増幅する装置)
lentil	レンズ豆(平マメ|レンズの語源とされる)
backer	後援者
albedo	アルベド
stuffy	風通しの悪い|詰まった|面白くない
cocky	気取った|うぬぼれた
bund	海岸通り|築堤|堤防|(punt平底小船|ラグビー等でボールが地に着く前に蹴ること|bunt野球のバント|band帯|楽団|bund海岸通り)
pyrite	黄鉄鉱(fool's gold)
toiletry	洗面化粧品
flamboyant	色鮮やかな|炎のような|燃えるような|派手な
exchangeable	交換可能な
stretchy	伸びる|伸びやすい|伸び縮みする|伸縮性のある|弾力のある|胴の長い|伸び過ぎる
misunderstand	誤解する
piggyback	抱合せ広告|おんぶ|(子供が大人の)背に乗る
hubris	傲慢|思い上がり(arrogance)|威丈高
neuropsychological	of or concerned with neuropsychology
genitalia	=genitals
damper	調整弁
metalwork	金属製品|金属細工品|(特に学科目の)金属加工
orchestrate	管弦楽に作曲(編曲)する|統合する|結集する|(巧みに)調整する
carelessly	不注意に|不用意に|無頓着に
gravitate	引かれる
elation	意気揚々|盛んな意気|得意|大得意
stagger	よろけ|よろめく|二の足を踏む|動揺させる|ずらす
disincentive	意欲をくじくもの|行動を妨げるもの|行動を抑制するもの|阻害要因|経済成長を阻害するもの|がっくりさせる|意欲をくじく
phonograph	蓄音機
kwai	元
belladonna	ベラドンナ(ナス科の有毒薬用植物)
oddball	変り者
dingle	樹木の茂った小さな渓谷|チリンチリンと鳴る|ビリビリ震える
deplore	ひどく悲しむ|嘆き悲しむ
hydroponic	水耕の
maltreatment	虐待
reinvest	を再び投資する,再投資する
malaise	不快感|倦怠感
darrow	United States lawyer famous for his defense of lost causes (1857-1938)
tinderbox	火口箱|火災の危険の高い建物|(一触即発の)危険な場所(状態)
streetwise	世慣れた
rococo	ロココ様式(の)
nucleation	核生成
curmudgeon	意地の悪い人|けちな人
mountainside	山腹
deviance	逸脱
arca	type genus of the family Arcidae: ark shells and blood clams
alcove	(部屋の一部を切り込んだ)小部屋|(床の間ふうの)壁の切り込み
quartermaster	(陸軍の)補給係将校|(海軍の)操舵(そうだ)係下士官
foodborne	食中毒|食品媒介
traditionalist	伝統主義者
fondness	優しさ
whet	研ぐ|(刃物)をとぐ|磨く|をそそる|刺激する|研磨
chamois	セーム革|シャモア
snowstorm	吹雪|ふぶき|吹雪のようなもの
multiplicative	乗法
metis	a person in western Canada who is of Caucasian and American Indian ancestry
urethra	尿道
hovercraft	ホーバークラフト(水面・地面から機体を浮かせて進むエアクッション船)
retroactively	遡及的に
stepmother	義母
quip	いやみ|皮肉|気の利いた言葉
emoticon	顔文字
leeward	風下の|風下にある|風下へ(に)|風下|風下の側
mercator	メルカトル
fruitless	無益な
salicylate	サリチル酸塩
ticklish	くすぐったい cf|tickle
goad	突き棒で突く|突き棒|刺激|激励
beneficially	有利
tugrik	ツグルク
pigmented	着色した
ridership	(電車・バスなどの)乗客　特定交通機関の利用者数
deceleration	減速
granulocyte	顆粒球(白血球の一種)
instrumentalist	器楽家|演奏家|道具主義者
displeasure	不満
tourette	トゥレット症候群(Tourette syndrome)|チックという一群の神経精神疾患の内|音声や行動の症状のもの|小児期に発症し約半数は18歳までに消失するとされている
endoplasmic	(細胞内の)内質の
motorised	equipped with a motor or motors; "a motorized wheelchair"|equipped with a motor or motors
usefully	役に立つように|有効に
risotto	リゾット(イタリアの麦類の料理に東洋から伝播した米が融合した料理)
attenuate	やせさせる|細くする|薄める|和らげる|弱める|減ずる
threefold	3倍の(に)
plop	どぶん|ボチャン|ドブン(と落ちる･落とす)
innocently	無邪気に|何食わぬ顔で
darken	暗くする
dak	East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye
steamship	汽船|蒸気船
rogaine	ミノキシジル
unranked	not arranged in order hierarchically
anaemia	=anemia
unaffiliated	ノンセクション
blather	ばかげたことを言う
mass	大量|集団
violator	違反者
refit	〈特に|船〉‘を'修復する|再装備する|〈特に|船が〉修復される|再装備される|(〜の)修復|再装備《+『of』+『名』》
pharmacokinetic	薬物動態学的な
wobbly	不安定な|ぐらぐらする
tirelessly	疲れを知らずに
colonoscopy	結腸鏡検査
pushbutton	押しボタン
crisscross	十文字|十字の|交差する|十字になる
speculum	a mirror (especially one made of polished metal) for use in an optical instrument|a medical instrument for dilating a bodily passage or cavity in order to examine the interior
observant	観察力の鋭い
unhappiness	惨めさ|悲哀|不運|不幸
outstrip	を追い越す
methodical	きちょうめんな
secularism	世俗主義|非宗教的道徳(教育)論
llm	an advanced law degree
monotonous	単調な|一本調子の
dictaphone	ディクタフォン
belay	ザイル等で留める|索止めなどに巻きつける|“Belay that!” he roared|「やめろ」と彼はどなった
glandular	腺の|先天的な|生まれつきの
operatic	歌劇風の
terrorize	恐れさせる
malevolent	悪意のある
stile	(牧場の柵などを人だけが越せて家畜は通れないようにした)踏み越し段|turnstile(回転ドア)
outgrowth	自然の成り行き|結果
epileptic	てんかん(性)の|てんかん患者
nadir	天底|どん底
feedlot	(家畜を屠殺する前に飼料で太らせるための)飼育用地
naught	完全な失敗|ゼロ(=nought|主にUK)|無価値|滅びた
warhead	弾頭
debby	debutante|浮薄な上流社交界の若い女
foreshore	前浜(満潮線と干潮線との間の砂浜)|なぎさ|みぎわ
golan	ゴラン高原
unproductive	非生産的な|不毛の|むだな
curbside	道路脇
nefarious	極悪な|ふらちな|非道な
gah	がーん
flog	むち打つ|なくす|売る
landmine	地雷
oeuvre	一生の仕事|芸術作品|全作品|全仕事
appro	an informal British abbreviation of approval; "he accepted it on appro"|an informal British abbreviation of approval
sahib	だんな|閣下|紳士|～殿|～様
shoestring	靴ひも|(靴ひものように)細長い|(資金･予算)わずかな|乏しい
visualise	ビジュアライズ|可視化|ビジュアライズ|思い描く|想描く|想い描く|イメージ|想見|思いえがく|想像|思描く|想い浮かべる|ビジュアライズ
enrollee	入学者
storehouse	倉庫|宝庫
administrivia	the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization; "he sets policy and leaves all the administrivia to his assistant"|the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization
vermin	社会の害虫
motrin	イブプロフェン
geezer	変な老人|頭のおかしいオイボレ
ankh	(エジプト美術で)輪つき十字形(生殖・長寿の象徴)
misstatement	虚偽表示
detonator	雷管|起爆薬|起爆装置
longshot	ロングショット
quadrature	求積法|矩象
epithet	悪口|罵りの言葉|あだ名|通り名|形容句
callous	たこのできた|(皮膚などの)堅くなった|無感覚な|思いやりのない|冷淡な
adjutant	(陸軍の)副官|補助員|助手|(またadjutant stork|adjutant bird)ハゲコウ(インド・アフリカ産のコウノトリ科の鳥)
spitz	any of various stocky heavy-coated breeds of dogs native to northern regions having pointed muzzles and erect ears with a curled furry tail
molester	いたずらをする人|痴漢|悩ます人
gallium	ガリウム(金属元素)|元素記号はGa
mannered	(複合語で)行儀の～な|(軽蔑的)(作風など)個性の強い|気取った|型にはまった
enmity	敵意|悪意|恨み|憎しみ|反目
referent	対象|(語の)指示物(対象)
rangoon	ラングーン|ヤンゴン
transliteration	音訳
sharia	シャリヤ|シャリア|イスラム法|イスラム聖法|シャリーア
topiary	装飾刈り込み法(の庭園)
smite	襲う|悩ます|をなぐる|を罰する|ぶつかる|強打(する)
buttery	ぶどう酒類貯蔵室|食料品貯蔵室|(UK英)学生にビール･パン･果物などを売る部屋
extendable	capable of being lengthened
optometrist	検眼医|視力測定者
pipette	ピペット(ごく少量の液体またはガスを移す小管)
invalidity	無効|無価値|=invalidism
soundly	堅実に|ぐっすりと|激しく
zany	道化師|ばか者|おどけ者|おどけた|ばかげた
hominid	ヒト科
impersonation	人格化|擬人|権化|体現|物まね|他人の振りをすること(一種の詐欺)
rehash	改作|焼き直し|蒸し返し|繰り返し論議する|言い直す|刻み直す|作り直す|焼き直す
barbican	(城などの)物見やぐら|外堡(ほ)
criminally	犯罪的に
psychopathology	精神病理学|精神医学|精神科
afterthought	あと知恵|あとからの思いつき|結果論
pursuance	(計画・任務などの)遂行《+『of』+『名』》
tink	ちんちん鳴る
faceless	顔のない
humvee	a high mobility, multipurpose, military vehicle with four-wheel drive
hydrotherapy	水治療法(温泉などの病気療法)
anathema	呪い|大嫌いなもの|教会の呪い|破門
counterbalance	相殺する|つりあう量
freightliner	大型貨物(コンテナ)列車
holdall	(旅行用の)大型スーツケース
nitrile	ニトリル|シアン化物
ashram	アーシュラム(ヒンズー教の人々が宗教の教えを受けに来る所)
trapeze	(曲芸･体操用の)空中ぶらんこ
whorl	(巻き貝の)渦巻|輪生体|らせん(の一巻き)
stargazer	天文学者;占星家|空想家|夢想家
preferentially	優先的に
ditty	小歌|短い(単純な)歌
diuretic	利尿の|利尿薬
mangle	めった切りにする|台なしにする|ぶち壊す
unexpired	未経過
hotspur	猪武者|猪武者
throb	動悸を打つ|鼓動する|どきどきする|脈打つ|脈拍|動悸
dysphagia	嚥下障害
inadmissible	許せない
zooplankton	動物プランクトン
belittle	けなす|価値を下げる
philatelic	切手収集の
innocuous	刺激のない|無害の|無毒の|迫力のない|無味乾燥な|退屈な
witter	くだらない話を長々とする
midwinter	真冬|冬至
matchbook	マッチブック(二つ折りの携帯用はぎとり式マッチ)
panchayat	a village council in India or southern Pakistan
cassava	〈C〉キャッサバ(熱帯産植物)|〈U〉キャッサバでんぷん
glace	(仏語)(革･布など)なめらかな|砂糖をまぶした
dozer	ブルドーザ|ブルドーザー
doormat	ドアマット|玄関マット|ぼけ|人にいいようにされる人
musicianship	音楽の技能(知識|才能)
purview	範囲|権限|(法令の)条項
gib	ギガバイト
inwardly	心の中で|密かに
amylase	アミラーゼ(でんぷん糖化酵素)
decongestant	充血除去剤|消炎剤
arbitrate	仲裁する
gonadotropin	ゴナドトロピンは|性腺刺激ホルモンとして正常な成長|性的発達|および生殖機能を調節する|時にGnと略される
cran	a capacity unit used for measuring fresh herring
superstructure	上部構築物|上層|超格子構造|規則格子|建築|建物|ある原理に基づく思想
pernicious	有害な|ひどく有害な|致命的な
heiress	女相続人
pombe	シゾサッカロミセスSchizosaccharomyces pombe|ビール(pombe|スワヒリ語の雑穀ビール)から単離された最初の分裂酵母|(Schizoは分裂|cf|精神分裂病Schizophrenia)
persecute	を迫害する|で悩ます
lacuna	脱落(部分)|引用文|知識の空隙|空白|小窩|くぼみ
anyplace	どこでも
nonsensical	馬鹿げた|愚にもつかない|無意味な
gallows	絞首台(これで単数形)
rheumatism	リウマチ
devotee	熱愛者|帰依者
cowardice	臆病
fabled	伝説的な|作り話の|虚構の|架空の
dosimetry	線量測定
dynamism	動力論
wily	策略にとむ|悪賢い|狡猾な|ずるい
ensue	続く|あとで起こる|あとに続く|結果として起こる
manmade	人造の|人工の
conto	1 conto equals 1,000 escudos in Portugal
phenylephrine	フェニレフリン
drunk	飲んだ
cupcake	カップケーキ
hopelessness	絶望
errand	使い走り|伝言
slimy	ねばねばする|どろどろした|不快な|卑屈な
spinoff	スピンオフ
annexe	=annex
stunningly	驚くほど
reformist	革新主義の|革新主義者|改革派
deliberative	審議の|熟慮の
crossbar	(ラグビー・フットボールなどのゴールの|走り高飛び・棒高跳びの)バー|横木|横線
cicada	セミ(米ではlocust(本来バッタの類)とも言うが|識別できないためと思われる)
estoppel	禁反言
emigrant	移住する|移民(の)
cytomegalovirus	サイトメガロウイルス(ヘルペスウイルス科のウイルスのひとつ)
chump	太い木切れ|厚い肉の切り身|(俗)ばか
subplot	わき筋
neurosis	ノイローゼ
bassinet	ほろ付きゆりかご;ほろ付きのうば車
commissary	物資配給所|販売部|売店|兵站係将校|代表者
derogation	軽蔑
typhimurium	ネズミチフス菌
calamari	イカ|いか
bumblebee	マルハナバチ
hibernation	冬眠
interplanetary	惑星間の
bork	公職への任命を拒否する|(1987年Bork判事の最高裁判事指命が阻止されたことに由来)|破壊する
hullabaloo	がやがや|騷々しさ|騷ぎ|騒ぎ|ごった返し
musket	マスケット銃
erratum	誤り|誤字|誤植|正誤表|(pl|errata)
globetrotter	世界を駆け回っている人
anthracite	無煙炭
altercation	口論
foxtrot	社交ダンスの一種|Foxは創始した米人の名|foxtrotはphonetic alphabetのfに使われるほど著名
patchouli	small East Indian shrubby mint; fragrant oil from its leaves is used in perfumes|small East Indian shrubby mint|fragrant oil from its leaves is used in perfumes|a heavy perfume made from the patchouli plant
merciless	無慈悲な|残酷な
oriole	コウライウグイス(ムクドリの一種)
chipotle	a ripe jalapeno that has been dried for use in cooking
rhesus	アカゲザル(北インド産)
streptomyces	ストレプトマイセス属
lather	に石けん泡を塗る|馬の泡汗|石鹸の泡
shenanigan	いたずら|悪ふざけ|ごまかし
atrocity	残虐(行為)|非道|極悪
proportionally	比例的に
untrained	訓練され(てい)ない
billable	支払請求可能な
tiresome	退屈|退屈な|うんざりする|あきあきする
faraway	遠方の
garnishment	〈C〉(第三債務者に対する)債権差し押さえ通告|〈U〉飾り|装飾
enliven	に活気を与える
twirl	振り回す(こと)|くるくる回す(こと)|クルクル|回る様子
ostomy	surgical procedure that creates an artificial opening for the elimination of bodily wastes
shanty	小屋|掘っ立て小屋
sirloin	サーロイン･ステーキ
lightbulb	電球
potash	あく(灰汁)|カリ|カリウム化合物
chivalry	騎士道
videoconference	ビデオ会議
regrettably	遺憾ながら
hod	ホッド(長い柄がついた木製の容器でれんが・しっくいを入れ肩にかついで運ぶ)|石炭入れ
whitey	白人
laryngeal	喉頭(こうとう)の;(音声が)喉頭音の
swale	スウェール川
pva	ポリ酢酸ビニル
slapstick	どたばたの|どたばた喜劇
