trivalent	(原子価が)3価の
untutored	訓練(教育)を受けていない
wrangler	口論する人|言い争う人
moralism	教訓|説教|道徳主義
stupefaction	感覚(知覚)を麻痺させること|正気を失った状態|仰天|ぼう然自失
seascape	海げしき|海景画
dreamland	ユートピア|眠り|夢の国|理想の国
layoff	一時帰休
rentier	不労所得生活者
clipper	クリッパー|19Cに発達した大型快速帆船|積載量より速度重視|多くのマストと帆を持つ|ティークリッパー(茶)|ウールクリッパー(羊毛)と呼ばれ|カティーサーク号(英)は保存
nightie	ねまき|ネグリジェ
pedant	学者ぶる人|衒学者
textually	テキストで
unreserved	遠慮のない|率直な|制限(制約)のない|無条件の
debater	討議者|討論参加者|討論者|論客
condiment	調味料|香辛料|薬味
disciplinarian	厳格な(人)
washbasin	=washbowl
taskmaster	職工長|親方
hospitably	あいそよく|手厚く
rootless	根のない|社会的足場のない
obtrude	(〜に)〜‘を'押しつける|むりじいする《+『名』+『on』(『upon』)+『名』》|〜‘を'押し出す|突し出す|(〜に)でしゃばる《+『on』(『upon』)+『名』》
cantankerous	意地の悪い|けんか好きの|意地悪の|つむじ曲がりの|けんか腰の
quire	(紙の)1帖(じょう)(24または25枚)
sultanate	サルタンの領土(位)
perplex	(〜で)〈物事〉‘を'『混乱させる』;〈人〉‘を'混乱させる|当惑させる《+『名』+『with』+『名』》
unalloyed	(感情などが)純粋な(pure)|本物の
presbytery	(教会堂の聖歌隊席裏の)内陣・(長老教会の)中会;中会管轄区域・(カトリック教の)司祭館・(キリスト教)長老会(管轄区)・(集合的) 中会管轄下の全教会; (教会の)司祭席
lighter	明りをつける人|ライター|点灯器|たきつけ|艀|light(軽いの比較級)
metamorphism	変成(地下深部での岩石の変化)|=metamorphosis
mongoose	マングース
inconstant	変わりやすい|気まぐれな|移り気の
truckload	トラック積荷
aftercare	病後の養生|(卒業後の)職業指導;(刑務所出所後の)更生指導
propertied	財産(資産)のある
quaver	震える|震音|声が震える|声の震え|震え声
xenon	キセノン(希ガス元素;化学記号はXe)
dresser	化粧ダンス|着付け係
brawn	(人の)筋肉|筋力|《英》煮て塩づけして固めた豚肉(《米》headcheese)
sylvan	樹木の茂った|森の|森に住む
munch	むしゃむしゃ食う
thievery	盗み|盗品
sutra	(バラモン教・仏教)経|経典|スートラ
swanky	しゃれた|派手な
msec	ミリ秒
inheritor	(遺産)相続人|後継者
ungracious	無作法な|粗野な
demonstrator	デモ参加者|示威運動者|実験の助手|実地説明者|証明者
exemplification	〈U〉例をあげること|例示|〈C〉実例(example);好例
piggyback	抱合せ広告|おんぶ|(子供が大人の)背に乗る
longish	やや長い|長めの
quadrille	カドリール(4人が組みになって踊るスクエアダンス;その曲)
tepee	ティピー(北米インディアンのテント小屋)
patroness	(仏語)patronの女性形
healthily	健康で|健全で
lob	(テニスで)〈ボール〉‘を'ゆるく高く打ち上げる|(クリケットで)〈ボール〉‘を'下手投げでゆるく投げる|(テニスで)ボールをロブで返す|(テニスの)ロブで打った球|(クリケットの)下手投げの緩い球
hyphenate	ハイフンでつなぐ
infield	(野球)内野
rightwing	右翼(保守)党員|右派の人々・右翼政党|保守党|(政党などの)保守派|右派|右翼の|右派の・= right-wing
queenly	『女王の』;『女王のような』;女王にふさわしい
forlornly	侘しく|(forlornの副詞形)
crossroad	交差道路|十字路
crewman	乗組員|乗務員|搭乗員
applesauce	リンゴソース|(俗)たわごと
ecstatically	有頂天になって|無我夢中で
fabulously	途方もなく
heartstrings	心の琴線|深い感情|深い愛情
jinx	不幸をもたらす|運を悪くする|ジンクス
prettiness	かわいらしいしぐさ|かわいらしさ|きれいさ|こぎれいさ
cytoskeletal	細胞骨格の
umpteenth	何度目かの
propitiation	なだめること;〈C〉(なだめるための)ささげ物
uncork	コルクを抜く
piratical	海賊の|著作権を侵害する
proctor	代理人|代訴人|試験監督者
attractively	魅力的に
muggy	むし暑い
penumbra	(太陽黒点の)半影(部)|明暗(濃淡)の境
stretchable	伸ばす(広げる|張る)ことのできる
foundling	拾い子|捨て子
potentiate	強化する
seethe	沸騰する|泡立つ|腹をたてる
airframe	(航空機・ロケットの)機体
dispensable	無くてもすむ
nonentity	非実在|取るに足りないこと(状態)
softener	ソフナー|軟化剤|洗濯用柔軟剤|柔らかくする人|和らげる人|軟化装置
highbrow	知的な|知識人|教養人
corruptible	(人が)堕落しやすい|(物が)腐敗しやすい
plumber	配管工|(俗)台無しにする|ぶち壊す
freewill	自由意志|任意決定|自由意志論|自由意志の|自発的な
sibilant	シューシュー音がする|歯擦音
spigot	コック|飲み口|差込み部|蛇口|栓
pushover	くみしやすい相手|カモ
tangentially	接線方向に
coitus	性交(sexual intercourse)
hairdo	女性のヘアースタイル|髪の結い方
grammarian	文法学者
ornery	意地の悪い|おこりっぽい|強情な|下劣な
conversationalist	座談家|話し好きな人|話し上手
schizoid	精神分裂症(の)
wrecker	救難作業員|救難車|レッカー車|建物解体業者
rosewood	ローズウッド|シタン(材)
demagogue	扇動家|煽動政治家|民衆煽動家|デマゴーグ|民衆の指導者
compartmentalize	を区切る
catatonic	緊張
practicability	実行できること|実用性
expensively	費用をかけて|高価に
attractant	引きつける物|誘引物(剤)
stereoscopic	(写真・映画などが)立体的な|立体感を与える;立体(実体)鏡の
unvarnished	塗装してない|生地のままの
gusty	突風の吹く|風の強い
outback	奥地|未開拓の奥地
triptych	(三面鏡のようにちょうつがいでつないだ)3枚続きの絵画
unroll	繰り広げる|解く|開く|広げる|展開する|示す|明らかにする|解ける|開ける
eardrum	こまく|鼓膜
extensible	広げることができる|伸ばせる|伸張性の|伸張性のある|増築可能な
birdie	(幼児語)小鳥さん
benzoic	ベンゾイン樹脂の|安息香[酸]に関する
dimorphic	二形性の|両形|2つの異なる形式で生じるまたは存在する
verve	(芸術作品に現れた)気迫|熱情|(一般に)活気|力|気力
newscast	ニュースを放送する|ニュース放送
eta	(第7ギリシア文字)エータ|Η|η|(ETA)Estimate Time of Arrival|航空機などの到着予定時刻
searcher	サーチャー|調査員
palliation	(罪などの)弁解|取りつくろうこと|(病気などの)一時的な抑え
calculable	計算できる|信頼できる;予想できる
lode	鉱脈|鉱床
dormer	屋根窓(屋根裏部屋の明かりとり窓)
minx	おてんば娘|生意気娘|あばずれ女
voyeurism	のぞき見趣味
flume	(水の流れる)深くて狭い谷|狭谷|(木材運搬・水力供給などのための)人工水路|とい式水露
cecum	盲腸
violator	違反者
effervescent	泡立つ|発泡性の|起沸性の|興奮した|熱っぽい
senescent	初老の|老境にかかった
exorcist	悪魔払い師
poorhouse	(昔の)救貧院
microscopically	顕微鏡で;顕微鏡で見るように
twitchy	引きつった
bejewel	(宝石で)〜'を'飾る
tingly	ゾクゾクする|ヒリヒリする
sarong	サロン|マレー人･ジャワ人などが着用する腰布
prix	グランプリ
meiotic	減数分裂の|(生殖細胞を作る際|通常の体細胞分裂とは異なり、染色体数が分裂前の細胞の半分になる事)
thinkable	考えられる|想像がつく|ありうる(conceivable)
marjoram	マヨラナ(ハッカに似た植物);〈U〉(香料として料理・調剤に用いる)マヨラナ
changeless	変わることのない|不変の
bop	bebop|ビーバップ(ジャズの一形式)
landholding	土地所有
bluebird	ルリコマドリ|ブルーバード(米国産の青い鳴鳥)|警官|ポリ公
threescore	60の|60束の|~and ten 70束
hatchway	=hatch
mocha	コーヒー色|チョコレート色|モカ|上等のコーヒー|モカ革|モカ風味のケーキ|暗褐色|手袋用なめし革
frizzy	ちぢれた
missense	missense mutation|ミスセンス突然変異|遺伝子のコードに塩基置換が起こることにより|コドン部分の塩基配列が変わり|他のアミノ酸をコードするようになる突然変異
serif	ひげ飾り(『M』|『H』などの活字の上下につく細く短い線)
puller	引くもの|プーラー
agglutination	膠着[状態];接着[作用]
puppeteer	人形遣い|人形師|操り人形師|ロボットを操作する人|操る|操作する|人形･人の心を
electrodynamics	電気力学
risperidone	リスペリドン|セロトニン・ドーパミン拮抗薬|(SDA)と呼ばれる非定型抗精神病薬
dilettante	好事家|芸術愛好家|美術愛好家|素人芸術家
doormat	ドアマット|玄関マット|ぼけ|人にいいようにされる人
vitriolic	辛らつな
slob	泥|だらしなく薄汚い人
racketeer	(大勢で)脅迫する|脅迫|不正に金もうけをする人|ペテン師|ごろつき
goof	まぬけ|(俗)とんま(な人)|へま
advisability	勧めるに足ること|事の当否
unexposed	露光されていない
joust	(中世騎士の)馬上槍試合(をする)|試合(競技)に出る(参加する)
promo	宣伝広告|番組予告|販売促進)(の手段)
boor	オランダ人小作農|小百姓|粗野な男|田舎者|不作法者
newspaperman	新聞記者
neuroscientist	神経科学者
polyglot	多言語に通じた(人)|多言語で書かれた|多言語で記した対訳書(特に聖書)|混合
thunderstruck	びっくり仰天した
verbiage	冗漫
execrable	憎むべき|呪うべき|忌まわしい|実にいやな|劣悪な
insidiously	陰険に|狡猾に|知らぬ間に
pasteurize	低温殺菌する
abolitionism	(特に米国の)奴隷制度廃止論
pathologically	病理学的に|病的に|異常に
prodrug	プロドラッグ(そのままでは不活性な医薬品|投与されると|生体による代謝作用を受けて活性代謝物へ変化し|薬効を示す)
carnation	カーネーション|ナデシコ科の多年草|ピンク色の
complementation	相補性
gyre	輪|回転|旋回(する|させる)|渦(巻)
acrobatics	アクロバット
manorial	荘園の|領地の
plenipotentiary	(特に外交使節などが)全権を有する|全権大使(使節)
abscissa	横座標
medico	医師|医学生
allusive	暗示的な
operable	実施可能の
prosciutto	プロシュート|香辛料の効いたイタリアハム
wistfulness	あこがれの|ものほしそうな|物悲しいこと
snowdrift	雪の吹きだまり(堆積)
phrenic	横隔膜の|(生理学上の意味で)精神の|精神活動の
slapstick	どたばたの|どたばた喜劇
windlass	巻き上げ機;(船の)いかり巻き上げ機
licit	合法の
gyro	ジャイロ(ギリシャ風サンドイッチ)
convulse	身もだえさせる|震動させる
idiosyncrasy	特異性|特異な性格|特異体質
vitiate	価値を低下させる|そこなう|不純にする|腐敗させる
pasturage	牧草|牧草地;牧畜業
repine	(〜に)不満足である|不平を言う|じれる《+『against』(『as』)+『名』》
cornucopia	(ギリシア神話)豊穣の角(つの|幼時のZeus神に授乳したとされるやぎの角)|くだもの･花のあふれた角|豊かさの象徴|豊富
geochemistry	地球化学
unpick	〈ししゅう・編物など〉‘を'ほどく;〈着物など〉‘の'縫い目をほどく
