photojournalist,報道写真家
dotage,老年期
thingy,何とかいうもの（口語）
tress,髪の房
excursus,脱線（話）
sympatric,同所的な
unhallowed,神聖でない
docent,講師
yokel,田舎者
madcap,向こう見ずな人
seagoing,航海用の
shiner,青あざ
spat,口論
overhand,上からの
grouper,ハタ（魚）
emasculation,去勢
schoolmistress,女性教師
dogfight,空中戦
excoriation,皮膚剥離
pock,はしかの跡
ambidexterity,両利き
impressiveness,印象深さ
seductress,誘惑者（女性）
hothead,短気な人
huckleberry,ハックルベリー（植物）
divot,芝のはがれ
arabesque,アラベスク模様
hypochondriac,心気症の人
palmetto,ヤシの一種
conurbation,都市圏
interdepartmental,部門間の
respecter,尊敬者
dressmaking,洋裁
shaver,電気かみそり
diphthong,二重母音
sarin,サリン（神経ガス）
sept,一族（ケルト語起源）
housemate,ルームメイト
inspectorate,監査局
clothier,衣料品商
uncap,蓋を取る
changeful,変わりやすい
coexistent,共存する
enterocolitica,腸炎菌
liveable,住みやすい
demagoguery,扇動政治
uneconomic,非経済的な
amanuensis,書記
retrench,削減する
thermosetting,熱硬化性の
stickleback,トゲウオ
indigence,貧困
glamor,魅力
varlet,悪党
squib,短い記事
authoress,女性作家
foolscap,大判紙
misapplication,誤用
overcapacity,過剰生産能力
roseate,バラ色の
disconcertingly,不安にさせるほど
tonsillectomy,扁桃摘出術
clastic,堆積岩の破片からなる
superannuate,定年退職させる
mothball,防虫剤
arteriosclerosis,動脈硬化
counteroffensive,反撃
unnoticeable,気づかれない
wold,丘陵地帯
kickback,リベート
inanity,愚かさ
jogger,ジョギングする人
tobacconist,たばこ屋
drupe,核果（果実の一種）
passerine,スズメ目の鳥
asinine,愚かな
hookah,水タバコ
stingray,エイ
ambidextrous,両利きの
backrest,背もたれ
bloodstain,血痕
intracellularly,細胞内で
copyedit,校正編集する
hyperpolarization,過分極
regimentation,規律化
suchlike,そのようなもの
pastorate,牧師の職務
histochemical,組織化学の
lucre,利益（金銭的）
niceness,親切さ
chromic,クロムの
emcee,司会者（MC）
obiter,副次的意見
rearward,後方へ
taiga,タイガ（針葉樹林帯）
wombat,ウォンバット
orangutan,オランウータン
dolorous,悲痛な
overleaf,（ページの）裏面に
mahout,象使い
straggly,まとまりのない
bullfight,闘牛
ephedrine,エフェドリン
dosimeter,線量計
suasion,説得
catastrophically,壊滅的に
coxswain,コックス（ボートの舵手）
amir,アミール（イスラムの称号）
aureole,後光
midlevel,中程度の
pauperism,極貧状態
pyrexia,発熱
rancorous,憎悪に満ちた
chapbook,小冊子
butterscotch,バタースコッチ（菓子）
ceramide,セラミド
cortege,葬列
fourscore,80（古語）
sharpshooter,狙撃手
neomycin,ネオマイシン（抗生物質）
samizdat,地下出版物
sloppily,だらしなく
descry,見つける
antipoverty,反貧困の
bung,栓
gunk,汚れ
siderophore,鉄捕捉物質
sureness,確実さ
uvula,口蓋垂
dressy,おしゃれな
kanamycin,カナマイシン（抗生物質）
taffy,タフィー（菓子）
geminate,二重の
valuer,評価者
helipad,ヘリポート
hierarchic,階層的な
pomposity,尊大さ
tartaric,酒石酸の
geophysics,地球物理学
lotta,多量（口語）
caecum,盲腸
perspicuous,明晰な
pigsty,豚小屋
notochord,脊索
piebald,まだら模様の
prepuce,包皮
sandpiper,シギ（鳥の一種）
redeploy,再配置する
inboard,船内の
euthanized,安楽死させられた
chino,チノパン（綿素材のズボン）
unconsidered,考慮されていない
unbeaten,負けていない
waterwheel,水車
overeat,過食する
imponderable,計り知れないもの
sander,サンダー（研磨機）
