parachutist	落下傘で降りる人|落下傘兵
prizefighter	職業拳闘選手|プロボクサー
stuntman	スタントマン(映画などで危険な場面の代役をする人;女性はstunt woman)
fluoridation	フッ化物添加[法]
leaguer	連盟加入者(団体|国)|(野球)リーグの選手
pappy	おやじ|ドロドロの|パン粥状の|柔らかな
homonym	(文法)同音異義語
mailroom	郵便仕分け室
taproot	(植物の)直根|主根
buckram	バックラム(洋服の衿芯(えりしん)や製本に用いる|のり・にかわなどで固めた亜麻布または綿布)
mockingbird	マネシツグミ(北米南部産)
dactylic	(古典詩の韻律が)長短短格の|(英詩の韻律が)強弱弱格の
impedimenta	手荷物;(軍隊の)隊に所属する荷物|行李(こうり)|じゃまになる物
sambo	(ロシア語)サンボ|柔道とレスリングを合わせたようなロシアの格闘技
shakiness	震え|揺れ|動揺|不安定
bather	泳ぐ人|水浴びをする人|水着
connubial	=conjugal
declassification	〈書類などを〉機密情報のリストから落とすこと，機密指定から解くこと
cosponsor	(議案の)共同主唱者(提案者);共同スポンサー|〜‘の'共同主唱者(提案者)になる|共同スポンサーになる
endospore	(生命科学)内生胞子
clothespin	(UK英)洗濯挟み(clothes peg)
exterminator	害虫駆除業者
splotchy	汚れ(しみ)のついた;大きな斑点のある
workbox	道具箱;裁縫箱(workbasket)
behoove	ふさわしい|必要である|にとって義務である
doily	ドイリー|レースの花瓶敷き
climatically	気候上;風土的に
yammer	鼻を鳴らす|(子供が)めそめそ泣く|だだをこねる|こぼす|不平をいう|わめく|大声でしゃべり続ける
sweetmeat	砂糖菓子|キャンデー|ボンボン;果物の砂糖づけ
breadbasket	《話》穀倉地帯|《俗》胃袋
caesium	=cesium
machination	陰謀|たくらみ|策謀
cosmography	天地学(自然・宇宙の一般的特徴を扱う科学)|宇宙現状誌(宇宙の現在の構造を記述する学問)
containerization	コンテナによる貨物輸送
defenseman	ディフェンスマン
proteasomal	プロテアソーム(proteasome|タンパク質の分解を行う巨大な酵素複合体)の
forcemeat	フォースミート(詰め物料理などに用いる味付けひき肉)
pokey	poky|牢獄|ブタ箱
comfrey	ヒレハリソウ(毛ばだった葉のムラサキ科の植物)
mulish	強情な|がんこな|御しがたい
skimmer	上澄み(浮きかす)をすくい取る人(もの|穴あきスプーン)|表面すれすれに過ぎるもの|飛ばし読みする人
abstainer	節制する人|(特に)禁酒する人
deary	かわいい人
graffito	(特に|壁・便所などの)落書き
shortcake	《米》いちご・甘く味付けした果物などをあしらったケーキ|《英》厚手の
cotangent	コタンジェト|余接
sutler	(昔の)従軍商人|酒保商人(軍隊について歩いて品物を売る商人)
braise	蒸し焼き|(肉･野菜を)軽くいためてとろとろ煮る
aboveboard	公明正大な|隠すことのない|公明正大に|隠しごとをせずに
inclemency	気候(天候)の厳しさ
overstock	過多|在荷過剰|仕入れ過剰|仕入れ過ぎる|長く搾乳しないでおく|に詰め込み過ぎる|に供給し過ぎる
polysyllabic	(単語が)多音節の|多音節語を特徴とする
rubicund	(顔色などが)赤い|赤らんだ|血色のよい
saute	(仏語)ソテー(にした･する)(にする)|少量の油で強火でいためること･またはその料理
moulder	=molder
downdraft	下降気流
manlike	人間らしい|人間のような|男らしい(manly);(女が)男まさりの
accordant	《補語にのみ用いて》(〜と)一致した|合致した《+『with』(『to』)+『名』》
purgatorial	罪を清める|浄罪の|煉獄(れんごく)のような
splitting	裂ける|割れる|割れるように痛む|キリキリ|腹が痛む様子
floodlight	投光照明|フラッドライト
dairyman	酪農場で働く男|酪農場主(経営者)|酪農製品販売者|牛乳屋
hereunto	=hereto
bulldoze	整地する|おどしつける|ごり押しする|ブルドーザーでならす
cookhouse	炊事場|(特に)船の調理室|(キャンプ・工事現場などの)仮設炊事場
medevac	(戦場の)負傷者救出用ヘリコプター
protestor	抗議者
cupric	第二銅の|銅を含んだ
highschool	高校
bestride	〜‘に'またがる;〜'を'またいで越す
fink	密告者(アメリカのスト破りの名から)
reckoning	計算する|見積り
cheeriness	明るさ|元気|快活
periphrasis	〈U〉迂言(うげん)法|〈C〉迂言的な表現(文章);回りくどい表現(文章)
strikebreaker	ストライキ破りをする人
spiciness	香ばしさ|痛快さ
strop	(かみそりをとぐ)皮砥|〈かみそり〉‘を'皮砥でとぐ
frontrunner	(競技で)先頭を走る選手(馬など);ペースメーカー
tidewater	潮水(海岸・河口に差してきた潮水)|海岸地方
zit	にきび
ziplock	ジッパーのついたビニール袋
aspic	アスピック(肉・魚・野菜の煮汁から作るゼリー)
itty	(幼児語)ちいちゃい(=itty-bitty)
welterweight	ウェルター級|(welterは波やうねりのこと)|ボクシングでは約63|5-66|7kgと最も平均的な体格で|競争率が高い
gamesmanship	(スポーツで)反則すれすれの巧妙な勝ち方
longhaired	長髪の|《軽べつして》芸術家気取りの|インテリの・ヒッピーの
nutter	気違い|狂人|変わり者|木の実を拾う人
signalman	(鉄道の)信号手|信号係;(軍隊の)通信兵
argillaceous	粘土の|粘土質の
harlotry	売春
huskiness	(声の)しわがれ|かすれ
theosophical	神知学の|接神教(論)の
freebie	ただでもらえるもの
autosome	常染色体
wormy	虫のついた|虫の食った;虫だらけの|虫けらのような;浅ましい
barker	ほえる動物|どなる人|客引き|ピストル
biddable	(人が)柔順な|すなおな
jessamine	=jasmine
lectureship	大学の講師の職(地位)
recombinase	リコンビナーゼ|酵素(enzyme)の名
gutless	意気地(根性)のない
gaga	ホモ|ホモの前戯|いかれた|熱狂した|変わった|のぼせ上がった|夢中になって|恍惚の
decant	静かに注ぐ
clannish	氏族の|一族の|党派的な|同族で固まった|排他的な
lancer	(また『lance』)〈C〉(やりで武装した)槍騎兵(そうきへい)|《複数形で》《単数扱い》ランサーズ(男女4組から成る古い舞踏の一種|またその曲)
logjam	行き詰まり|渋滞|流れに停滞した丸太群
perquisite	《話》臨時収入;(合法的な)役得
mummery	無言劇の演技|見せかけの儀式;こけおどし
sunbaked	(陶器・れんがなどが)日干しの;天日でからからになった(堅くなった)|《話》(道路などが)太陽の照りつける
compeer	(階級・能力などが)同等な人|仲間|同僚
hijacking	ハイジャック
ogress	(女の)人食い鬼|酸酷な女|野蛮な女
broider	《古》=embroider
housewares	家庭用品
kooky	(俗)ばかげた|気違いの|妙な
lumberman	材木切り出し人;材木商
highlander	高地人|スコットランド高地人
hyphenation	ハイフネーション(ハイフンでつなぐこと)
interurban	都市間の
beatification	幸せにすること
hooray	=hurray
parainfluenza	パラインフルエンザウイルスは|関連した数種類のウイルスを含み|感冒からインフルエンザ様症候群|肺炎まで多数の呼吸器疾患を引き起こす
cryptosporidiosis	クリプトスポリジウム症|家畜やネズミなどの腸管寄生原虫が糞口経路で伝播する|最も一般的な水系感染症の1つ|腸が障害を受け下痢症状となる
mannerly	礼儀正しい|ていねいな
prolate	(球体が)長形の
brill	ヨーロッパ産のヒラメ
maven	達人|(自称)物知り|通
shirtwaist	カラーとカフスのついたワイシャツ型の婦人用ブラウス(ワンピース)
choirmaster	聖歌隊の指揮者
tetchy	気難しい|怒りっぽい
navvy	土木労働者|土方|土工
shipwright	船大工|造船工|船修理工
cytometer	血球計算器
pompadour	ポンパドゥール(男性のオールバック|または女性の前髪をなで上げて後ろで束ねた髪型)
howbeit	〜とはいえ(nevertheless)|〜だけれど(although)
syllabary	音節[文字]表(日本語の五十音図など)
frustum	円錐(すい)台(円錐の上部を切り取った形)
orthologous	オーソロガス(種分岐相同性の)　参：パラロガス(paralogous|遺伝子重複相同性の)
congresswoman	婦人国会(下院)議員
emoticon	顔文字
stolidity	鈍感|無神経
threadlike	糸のような|細長い|ほっそりした
songster	歌手|歌の作者;詩人|鳴き鳥(songbird)
larkspur	=delphinium
cadenza	カデンツァ(楽曲の中で|独奏(唱)者が伴奏を離れて独自に演奏する華やで技巧的な部分)
crampon	つかみ金(氷・材木・石などの重い物をつかむ)|《複数形で》(また『climbing irons』)アイゼン|鉄かんじき
podiatrist	足病医
theodolite	経緯儀(鉛直角・水平角を測定するのに使う器械)
peppy	加速が速い|活発な|元気いっぱいの|高速運転ができる|酒に酔って|張り切った
rupiah	ルピア|インドネシアの通貨単位
pneumococcus	肺炎球菌
crybaby	泣き虫|弱虫
inflexibly	不屈に|がんこに
superficies	表面|外面;外観|体裁
scrim	スクリム(綿または麻の目のあらい織物;旗・カーテン用)
hereupon	ここにおいて;その直後に
rancidity	いやなにおい(味)のすること|いやなにおい|悪臭;いやな味
fluoresce	けい光を発する
lawbreaking	法律を破ること|法律違反の
overexpress	(生命科学用語)過剰発現する
univ	大学
evacuee	避難者|疎開者
execrate	〜‘を'ひどくきらう;〜‘を'激しく非難する
eluate	溶出液
woodbine	スイカズラ(よじ上り性の低木)|《米》=Virginia creeper
coalfield	炭田|石炭埋蔵地帯
funnily	面白おかしく|滑稽に|奇妙なことに|奇妙に
lecher	好色家
neuralgic	神経痛の
peloton	サイクリングレースなどのメイン集団|先頭集団
scatological	糞便の
bedfellow	政治的同士|仲間
outmost	=outermost
mispronounce	発音を誤る
sepoy	インド人兵|インド人傭兵
mayfly	蜉蝣(カゲロウ)
asepsis	無菌状態
capillarity	毛細管現象|毛状|毛管状
seamy	縫い目のある(出た)|裏面の|見苦しい
lineament	顔だち|人相|特徴
bluefish	青魚|アジ|ニシン|スズキなど
coevolutionary	共進化
pneumoconiosis	肺塵(じん)症(塵やほこりを吸いこんで起こる肺の病気)
despond	落胆する
southeasterly	南東の|南東へ向かう|(風が)南東からの|南東へ(に)|(風が)南東から
wether	去勢した羊
besom	竹ぼうき
stoat	貂|テン|イタチ(夏に毛が褐色)
adagio	(音楽で)ゆるやかに|アダージォの曲(楽章)
quadroon	祖父母4人のうち一人が黒人の混血児
incrust	=encrust
knavish	悪漢のような|ふらちな;不正な
adulterant	(品質を落とす)混ぜ物|混ぜ物をする
nonstarter	見込みのない人;可能性のない考え
obstructionist	議事妨害者
flutist	フルート奏者
jinks	浮かれ騒ぎ
modernistic	現代主義[者]の;現代的な|新しい
steelworker	製鋼所工員|製鋼所職工|鉄鋼労働者
incumbrance	=encumbrance
permissibly	許されて|差し支えなく
potbelly	太鼓腹
preexistence	(霊魂の)先在・前世・生前の魂の存在
aftereffect	後遺症|残効
backfield	(アメリカンフットボールで)後衛
ankh	(エジプト美術で)輪つき十字形(生殖・長寿の象徴)
coryza	鼻カタル|鼻かぜ
sweeping	おおざっぱな|全面的な|さっと動く|掃除|広範な|ごみくず|十把一絡げ
crupper	しりがい(馬具がすべらないように|尾の下に通してくらに結ぶ皮ひも)
cornstalk	とうもろこしの茎
glebe	〈U〉《詩》土|土壌|〈U〉〈C〉(またglebeland)《英》小教区教会耕地|聖職領畑地
oversea	海外の|海外へ|海外向けの
peacekeeper	平和維持軍
ethidium	ethidium bromide(臭化エチジウム)は有機化合物で|紫外線を当てると赤橙色の蛍光を発する
metalworker	金属細工師(職工)
purlieu	〈C〉(まれ)(都市の)周辺地域|郊外|《文》《the purlieus》(〜の)周辺|近隣《+『of』+『名』》
bipartisanship	2党主義
drouth	=drought
flanker	側面にある物(人)|(米式フットボールで)フランカー(攻撃側の最前線両端の競技者の外側に並ぶ競技者)
emend	〈原稿〉‘を'校正する|‘の'誤りを正す
hobnob	懇談|親しくつきあう|親しく話をする
suffusion	(液体・色などが)みなぎること|充満;(顔などの)紅潮
thievish	盗癖のある;泥棒のような;こそこそやる
ineffaceable	(しみなど)消すことのできない;(思い出など)忘れられない|ぬぐい去れない
tabor	テイバー(昔|竪笛の伴奏に用いたタンバリンに似た小太鼓)
upperclassman	(大学・高校の)上級生(3年生または4年生)
isogenic	同系の
puffiness	ふくれ上がっていること|息切れ
inebriate	酒癖のある;酔った|大酒飲み;酔った人|〜‘を'酔わせる
snuffle	=sniffle
bowline	もやい結び(船をつなぎ止めるときの結び方)
caddie	ゴルフのキャディー
elephantiasis	象皮病(皮膚や肉が厚くなる熱帯病)
lateen	大三角帆(地中海の帆船に見られる)
misgovernment	悪政|失政
mambo	マンボ(を踊る)
growly	(動物の)吠える声のような|うなり声の|(人が)がらがら声の|いらいらした
quetzal	ケツァル(中南米産の長い美しい尾を持つ鳥)
amnesiac	記憶喪失者|健忘症患者|記憶喪失症の
bilberry	コケモモ(ヨーロッパ下部山岳地の低木)|その実
dormouse	ヤマネ(リスに似たネズミで冬眠する)
halite	岩塩
sunroof	(自動車の)日よけ屋根
