abortus	流産児
cager	バスケットボール選手
outtake	技術上のミスなどの理由でフィルムやテープから削られた部分|引用(文)|抜粋
transience	一時的であること|はかなさ
setoff	structure where a wall or building narrows abruptly
seraphic	天使のような;気高く神神(こうごう)しい
malevolence	(məlévələns)悪意|敵意
aeronautic	航空の|飛行の|飛行船操縦者の
alcalde	(スペイン・米国南西部で)司法権を持つ市長
methodologically	方法論的
judicature	〈U〉司法[権]|裁判[権]|《集合的に》裁判官
antsy	じっとしていられない|そわそわした|不安な|(性的に)むらむらしている
premed	医科大学予科(生)|医進
lymphoproliferative	リンパ増殖
committeeman	(委員会の)委員
shoeshine	みがいた靴の艶|靴を磨くこと|靴磨き(人)
dystopian	of or pertaining to or resembling a dystopia|as bad as can be; characterized by human misery; "AIDS is one of the dystopian harbingers of the global villages"- Susan Sontag|as bad as can be|characterized by human misery
libation	献酒|神酒|(おどけて)祝い酒|飲酒
miasma	(沼沢地などから発生)毒気|瘴気(しょうき)|悪影響を与える雰囲気
plasmin	プラスミン|タンパク質分解酵素(プロテアーゼ)の一種|フィブリンやフィブリノーゲンを分解して血栓を分解する
blackball	〈人が組織の一員になること〉‘に'反対投票する|〈人〉'を'排斥する|村八分にする|反対投票[古代ギリシアで黒い球で反対の意を表したことから]
sipper	a drinker who sips
astronautical	of or belonging to astronauts or the science of astronautics
angiosperm	被子植物|顕花植物|(種子植物のうち|胚珠が子房に包まれ受精後結実するもの|反:gymnosperm)
nonchalantly	無頓着に|冷淡に|無関心に
trespasser	[家宅]侵入者;違犯者
tamarin	small South American marmoset with silky fur and long nonprehensile tail
timelessness	未来永劫|終古|永久|久遠|万古|万世|生生世世|常世|終天|長久
trammel	馬かせ(馬に側対歩を教えるときに使う足かせ)|《複数形で》(自由を)拘束するもの|束縛|障害|〜の自由を拘束する|‘を'束縛する
irresponsibly	無責任に
salade	a light medieval helmet with a slit for vision
chorea	舞踏病(顔面筋および四肢のけいれんを起こす神経系の病気)
oligomer	モノマー(単量体)が少数結合した重合体がオリゴマー(oligomer)|ダイマー(dimer|二量体)|トライマー(trimer|三量体)|テトラマー(tetramer|四量体)等|多数の重合体はポリマー(polymer)
defensiveness	守勢
conciliator	someone who tries to bring peace
qat	カート|チャット|カット
broadax	鉞
millivolt	ミリボルト(1ボルトの1000分の1)
newsbreak	a short news announcement concerning some on-going news story
phyllo	tissue thin sheets of pastry used especially in Greek dishes
kazak	カザーフ|カザーフ|カザフスタン|カザーフ
ketorolac	nonsteroidal anti-inflammatory (trade name Torodal) that is given only orally
sprog	a new military recruit|a child
kaftan	=caftan
phosphorylate	リン酸化する
gruel	罰する|かゆ
transgressive	慣習に逆らう
acetylate	アセチル化|アセチル化
decriminalization	非犯罪化
treed	追い詰められた
muggy	むし暑い
grievously	悲痛
atomization	微粒化
loofah	(体を洗う)ヘチマ|ヘチマの海綿状繊維|ヘチマ布巾
seersucker	シアサッカー(しまのある縮れた薄織りリンネル･紳士用スーツ生地)
knowable	近づきやすい|理解できる
narrowboat	a long boat that carries freight and is narrow enough to be used in canals
noncommissioned	下士官の|将校辞令を受けていない
rescale	establish on a new scale
cytarabine	シタラビン|抗がん剤の一種|商品名キロサイド(Cylocide)|核酸の誘導体である
hesitancy	尻込み|ためらい|ちゅうちょ
ixl	being nine more than thirty
interposition	介在|介入|干渉|仲裁|挿入物
calling	職業|転職|点呼|召集
amphibole	角閃(かくせん)石(カルシウム・マグネシウムを含む石)
distrustful	信用しない
lodestar	(航海などの)道しるべの星;(特に)北極星|指導原理
hooky	ずる休み
randomisation	無作為化|ランダム化
nightjar	ヨタカ(鳥の名)
heartthrob	鼓動|(俗)熱情|恋人
bouse	haul with a tackle
inefficiently	非効率的
incredulously	疑い深く|簡単には信じないで
obsequious	こびへつらう
regrow	再成長
dissolute	自堕落な|放埓な|放蕩な|放蕩の自堕落な
reck	〜‘を'気にかける|こだわる|(〜を)気にかける《+『of』+『名』》
whorehouse	売春宿|女郎屋
agonise	cause to agonize|suffer agony or anguish
underprice	sell at artificially low prices
procaine	パロカイン(局所麻酔な用いる薬品)
lamplight	灯火
mistrustful	疑い深い
schnitzel	シュニッツェル(ドイツ料理で子牛肉のカツレツ)
cutworm	ネキリムシ(根切り虫)(植物の根を食い切る害虫の総称)
hereon	ここにおいて|この直後に|このすぐ後で
semiannually	半年毎に
coevolution	共進化
hellebore	perennial herbs of the lily family having thick toxic rhizomes|any plant of the Eurasian genus Helleborus
locater	a person who fixes the boundaries of land claims
unprincipled	無節操
backspin	バックスピン(ビリヤード・卓球などで球に逆家転をつけること)
popliteal	膝窩
electrocardiographic	of or relating to an electrocardiograph
uncompetitive	不競合的
envelopment	包むこと|包囲
pacification	なだめること|和解すること|平和|講和;講和条約
nitrogenous	窒素性
destructiveness	破壊性
sackcloth	(ズックなどの)袋地|(昔|服喪または悔悟のしるしとして着た)粗麻服
pathologically	病理学的に|病的に|異常に
sensitizer	増感剤
enrapture	〈人〉‘を'有頂天にする|うっとりさせる
nearsightedness	近眼|近視
entrap	〜‘を'わなにかける|〈人〉‘を'計略にかける;〈人〉‘を'欺いて(〜)させる《+『名』〈人〉+『into』+『名』(do『ing』)》
graben	(地質で)地溝
cyma	(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)|a molding for a cornice|in profile it is shaped like an S (partly concave and partly convex)
overcapacity	設備過剰|生産能力過剰
gelding	せん馬|去勢馬|騸馬
resuspension	再懸濁
disfavor	気に入らないこと|きらう|疎外
boeuf	ビーフ|牛肉|牛
mudslide	土砂崩れ
fidgety	落ち着かない|せかせか(そわそわ)している|(細かいことにうるさく)気難しい
barroom	酒場
thrombophlebitis	血栓静脈炎
chukka	(polo) one of six divisions into which a polo match is divided|one of six divisions into which a polo match is divided|a shoe that comes up to the ankle and is laced through two or three pairs of eyelets; often made of suede|a shoe that comes up to the ankle and is laced through two or three pairs of eyelets|often made of suede
sundress	サンドレス
bacitracin	バシトラシン
intriguingly	興味深いことに
vitrify	〜‘を'ガラス[状]にする|ガラス[状]になる
soundman	a technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast)
sophistry	詭弁(を弄すること)
