sparseness	=sparsity
cancellous	海綿状
volute	らせん|渦巻|巻き|巻|捲線|コイル|鼻甲介
ebullition	爆発
anticlimactic	急降法(anticlimax)の|急降的な
avowedly	明らかに|確かに
qadhafi	カダフィ
gypsophila	カスミソウ属
epididymitis	painful inflammation of the epididymis
moldable	可塑的|可塑性
fondu	フォンデュー|フォンデュ|フォンデュー
antidiuretic	a drug that limits the formation of urine
catapres	クロニジン
clamorous	騒々しい|喧騒
scullery	皿洗い場(大きな家の台所に付属した食器を洗ったりしまったりする小部屋)
nisei	a person born in the United States of parents who emigrated from Japan
bookfair	fair organized by publishers or booksellers to promote the sale of books|bazaar at which books are sold or auctioned off in order to raise funds for a worthy cause
disconsolate	悲しみに沈んだ|わびしい|やるせない|気のめいるような|悲しい
accordionist	アコーディオン演奏者
bedfellow	政治的同士|仲間
unhygienic	非衛生
convolvulus	サンシキヒルガオ(アサガオの一種)
mutism	無言症|無言
tympani	=timpani
quadrangular	四角(辺)形の
wicketkeeper	(クリケットの)ウィケット・キーパー(三柱門の後方にいて通ってくるボールを捕るプレイヤー)
profiteer	暴利をむさぼる人
automatism	(心臓などの)自動運動|自動作用|(人間の行動の)機械的行動
whimsically	in a fanciful manner; "the Christmas tree was fancifully decorated"|in a fanciful manner
trematode	吸虫類(寄生虫の一種|肝臓ジストマなど)　・扁形動物門吸虫綱の動物; 寄生虫
bottlecap	a cap that seals a bottle
blowfly	死肉や傷口に産卵するクロバエ
unhip	時代感覚のない|流行遅れの
outdoorsy	characteristic of or suitable to outdoor life; "a rugged outdoorsy life"|characteristic of or suitable to outdoor life
predicative	断定的な|断定する|叙述的な|述語|叙述語
undershoot	〈飛行機が〉〈滑走路〉‘の'手前で着陸する|〈弾丸・矢などが〉〈目標・的〉‘まで'達しない
lugger	ラガー|lugsail(ラグスル|四辺形の帆の一種)を有する小帆船
gangly	ひょろ長い|のっぽの|ひょろひょろした
unpromising	心細い
angiology	脈管学
telencephalon	終脳
spang	leap, jerk, bang; "Bullets spanged into the trees"|leap, jerk, bang
cardiomegaly	心肥大
pulpy	ドロドロの|果肉の|果肉状の|柔軟な|汁の多い
stepbrother	義兄|義弟
lederhosen	ハーフパンツ
partaker	(〜を)共にする人;(〜の)分担者|関係者《+『of』(『in』)+『名』》
pigmy	=pygmy
bulbar	involving the medulla oblongata; "bulbar paralysis"|involving the medulla oblongata
charnel	納骨堂
extremum	極|極端|極点
broody	(brúːdi)巣につきたがっている(a broody hen)|むっつり考え込んだ|不機嫌な
dialectal	方言の|通り言葉の|方言(通り言葉)に特有の
unproved	not proved; "unproved allegations"; "unproved assumptions"|not proved
untracked	未踏の|無軌道|前人未踏の|人跡未踏の
anticlockwise	=counterclockwise
nucleophile	求核試薬|求核剤|試薬|電子密度が低い原子(主に炭素)へ反応し|多くの場合結合を作る化学種のこと
prompting	せりふ付け|激励|鼓吹|鼓舞|後見|吹き込むこと|扇動
transparence	透明性|透明度
broadloom	広幅織りじゅうたん(縫い目がなく|特に54インチ(137cm)以上の幅がある)
obligingly	好意で|親切にも|思いやりで
funding	資金調達
grandee	大公(スペイン・ポルトガルの最高貴族)|(一般に)身分の高い人|貴人|高官
barkeep	バーテンダー|バーテン
emasculation	去勢|骨抜き|無力化
sigmoidal	S字状の
earplug	耳栓
unexpressed	not made explicit; "the unexpressed terms of the agreement"; "things left unsaid"; "some kind of unspoken agreement"; "his action is clear but his reason remains unstated"|not made explicit
isobutylene	used also in making gasoline components
solipsistic	唯我論主義者の|自己中心[主義]的な
goethite	a red or yellow or brown mineral; an oxide of iron that is a common constituent of rust|a red or yellow or brown mineral|an oxide of iron that is a common constituent of rust
selvage	耳
glycopeptide	糖ペプチド
manfully	潔く
drainpipe	排水管|下水管
contrapuntal	(作曲法で)対位法の|対位法による
ophidian	蛇蝎|長蛇|ヘビ|大蛇|蛇蠍|スネーク|長虫|蛇
tracery	(建築)はざま飾り|トレーサリー(ゴシック式窓上方の装飾的骨組み)
coltsfoot	tufted evergreen perennial herb having spikes of tiny white flowers and glossy green round to heart-shaped leaves that become coppery to maroon or purplish in fall|perennial herb with large rounded leaves resembling a colt's foot and yellow flowers appearing before the leaves do; native to Europe but now nearly cosmopolitan; used medicinally especially formerly|perennial herb with large rounded leaves resembling a colt's foot and yellow flowers appearing before the leaves do|native to Europe but now nearly cosmopolitan|used medicinally especially formerly
electrodynamic	電気力の;電気力学の
slackness	無気力|惰気|ずぼら
fluorescently	蛍光
pangolin	toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites
ascendent	尊属|祖|高祖|先祖|始祖|ルーツ|曩祖|先つ祖|先世|祖先|先人
behoove	ふさわしい|必要である|にとって義務である
nonflammable	不燃性の
tailrace	放水路
arborvitae	any of several Asian and North American conifers of the genera Thuja and Thujopsis
crumpet	小麦粉と酵母で作る塩味|または甘い軽食パン|主にイギリスおよびイギリス連邦諸国で食される
seemly	ふさわしい|適切な;礼儀にかなった|たしなみのよい|上品な
scutellaria	タツナミソウ属
forswear	誓ってやめる
pointlessly	in a pointless manner; "he spent his life in pointlessly tiresome drudgery"|in a pointless manner
pancreatin	パンクレアチン
technophile	a person who is enthusiastic about new technology
myelofibrosis	骨髄線維症
microliter	マイクロリットル
scullion	(男子の)皿洗い人|台所の下動き|下劣な人
naughtiness	わんぱく
deciliter	デシリットル|dl
timework	時間給の仕事
allometric	非比例的
fastidiousness	凝り性
anorectic	摂食障害|摂食障害
demoniac	悪魔に取りつかれたような人|鬼
penury	貧乏|欠乏
conjuror	手品遣い|奇術師|手妻使い|手妻遣い|手妻使|魔術師|手品師|マジシャン|手妻遣|神がかり
wainscot	羽目板|腰板|〈壁〉‘に'羽目板を張る
supernal	天空にある|高い|天上の|天の(heavenly)
antithyroid	抗甲状腺の
curcuma	ウコン
womenfolk	《話》婦人たち|女性たち|(一家の)女たち
comedown	(地位・身分・名誉などの)失墜・下落・零落
unorganised	無機的|無機的
lepas	type genus of the family Lepadidae
amelanchier	North American deciduous trees or shrubs
oboist	オーボエ奏者
nonrandom	非ランダム
maidenhair	アジアンタム(ハコネソウ・クジャクソウなどのシダ類)
corydalis	a plant of the genus Corydalis with beautiful compound foliage and spurred tubular flowers|annual or perennial herbs of Himalayan China and South Africa|type genus of the Corydalidae
woodpile	まきの山
jocular	(人･事が)おどけた|こっけいな|おかしい|ひょうきんな
mantid	predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer|predacious long-bodied large-eyed insect of warm regions|rests with forelimbs raised as in prayer
senhor	a Portuguese title of respect; equivalent to English `Mr'|a Portuguese title of respect|equivalent to English `Mr'
microdissection	顕微解剖
tightwad	しみったれ
indurate	〈岩・組織など〉‘を'硬くする|硬化する|〜‘を'無感覚にする|がんこにする|〜‘を'慣れさせる|硬くなる|硬化した;無感覚な
gyrate	螺旋状の|旋回する
fathomless	測れないもど深い|底なしの|不可解な
comprehensibility	理解できること|分かり易さ
insularity	島であること|島国根性|孤立|狭量
rehouse	〈人〉‘を'新しい家に住まわせる|よい住居に移す
arcsecond	秒|二番
minibike	小型オートバイ
weeper	呼び出し
icepick	アイスピック
laterite	紅土|ラテライト
endearingly	かわいらしく|心を引きつけるように
sturdiness	たくましさ;がんじょう;がん強
haematopoietic	造血性
calamine	カラミン(異極鉱;化粧水などに使われる)
kingsnake	any of numerous nonvenomous North American constrictors; feed on other snakes and small mammals|any of numerous nonvenomous North American constrictors|feed on other snakes and small mammals
muckrake	《話》醜聞をあばく|政治の腐敗を暴露する
monarda	モナルダ
unfreeze	溶ける|熔融|融かす|熔化|鎔ける|溶かす|溶融|解凍|蕩かす|解かす|放つ|放す
pressurise	加圧|加圧|加圧
sheepfold	羊を入れるおり(囲い)
cautery	腐食剤|焼灼
spiciness	香ばしさ|痛快さ
plentifully	in a bountiful manner
wakeful	寝ずに見張っている|眠れない
centrism	中道政治
hyponym	下位語|狭義語
groaner	a person who groans
physiography	(fìziάgrəfi)自然地理学|地形学(geomorphology)
signalization	a conspicuous indication
shearwater	ミズナギドリ
mystically	in a mystical manner; "chant mystically"|in a mystical manner
antral	(解剖学)腔の|空洞の
homelike	自宅のような|家庭的にくつろいだ気分の|気楽な
deoxyribose	デオキシリボース
externalization	客観化|客観化
dracaena	ドラセナ
didder	びくびくする|ガタガタ|揺らぐ|動揺|揺ぐ|ぶるぶるする|震撼|打震える|がくがく|震える
fiddlehead	クサソテツ
preservationist	someone who advocates the preservation of historical sites or endangered species or natural areas
unsociable	打ち解けない|人づき合いの悪い
epigastric	of or relating to the anterior walls of the abdomen; "epigastric artery"|of or relating to the anterior walls of the abdomen|lying on or over the stomach
electroplate	〜‘に'(通例銀の)電気めっきをする
neutropenic	好中球減少
kolinsky	チョウセンイタチ[の毛皮]
coziness	快さ
ascitic	of or relating to or resulting from an abnormal accumulation of protein and electrolyte rich fluid in the peritoneal cavity
indiscernible	目に見えない|識別できない
appreciatively	感謝して
drear	=dreary
buffoonery	おどけ|clowning
fungicidal	殺真菌性
upfield	高磁場
climacteric	肉体の転換期;厄(やく)年|更年期
anthesis	開花
rashness	不注意|命知らず|向こう見ず|無鉄砲|軽はずみ|無謀
tantalizingly	誘うように|魅力的に|じらすように
hayloft	(馬小屋の納屋の2階にある)干し草置き場
typhon	テュポン
consistence	整合性|一貫|一致|一貫性
fledge	羽毛でおおう
dkl	デカリットル
metalworker	金属細工師(職工)
curser	のろう人|悪態をつく人|ののしる人
coverslip	顕微鏡スライドの上で見本をカバーするガラスの小さくて細い部分
myrica	deciduous aromatic shrubs or small trees
missis	嚊
veridical	本当の|真成|リアル|真の|本当|まぶ|実際的|真実|真誠
kinfolk	宗族|一門|一族|家筋|眷族|眷属|家門|血族|氏族|家系
prohibitionist	酒類製造販売禁止論者
totalisator	computer that registers bets and divides the total amount bet among those who won
mesencephalon	中脳
buttonwood	アメリカスズカケノキ(北米産)
megillah	長ったらしい説明|くどい話
letterer	レタリング専門家
agrimony	キンミズヒキ
digitise	デジタル化
coadjutor	補佐司教|補助司教|助手|補佐役
weltanschauung	世界観|宇宙観
swad	a bunch; "a thick swad of plants"|a bunch
leukocytosis	白血球増多症
nightwalker	夜間うろつきまわる人(泥棒|売春婦など)
isoptin	ベラパミル
hemin	ヘミン
unsuitability	不適
nonpregnant	非妊娠
endue	〈人〉‘に'(資質・才能などを)与える|授ける《+『名』〈人〉+『with』(『in』)+『名』》
chophouse	焼き肉専門店
raita	an Indian side dish of yogurt and chopped cucumbers and spices
underwing	moth having dull forewings and brightly colored hind wings
