navicular	せん状骨|舟状
godhood	神格|神性
tunny	マグロ(tuna)
whitethorn	thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America|thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries|established as an escape in eastern North America
microtome	ミクロトーム
bellbird	any of several tropical American birds of the genus Procnias having a bell-like call
plugger	someone who is an active supporter and advocate
brancusi	コンスタンティン・ブランクーシ
columbarium	納骨堂
jimsonweed	チョウセンアサガオの一種(有毒)
meritless	without merit; "a sorry horse"; "a sorry excuse"; "a lazy no-count, good-for-nothing goldbrick"; "the car was a no-good piece of junk"|without merit
phytoestrogen	植物性エストロゲン|エストロゲンはステロイドホルモンの一種で|卵胞ホルモンまたは女性ホルモンと呼ばれる
boronic	of or relating to boron
blameworthy	非難すべき|とがめるべき
akka	アッコ
keycard	a plastic card that has a magnetically coded strip that is scanned in order to operate a mechanism
arbovirus	アルボウイルス
immoderate	度を越えた
acuteness	鋭さ|熱心さ|切迫|鋭さ|鋭敏|聡明|切迫|鋭さ
complainer	不平家|苦情を言う人
unaccountably	どういうわけか
fluorochrome	蛍光色素
antigonus	アンティゴノス
rhomboid	偏菱(へんりょう)形|長斜方形|ひし形の|長斜方形の
fatback	豚のわき腹上部の脂身[肉](通例塩漬けにされる)
exobiology	宇宙生物学(地球外の生物を研究する学問)
snowcapped	(山が)雪をいただいた
jurisprudential	relating to the science or philosophy of law or a system of laws
sanely	正気で|分別をもって
gruffly	in a gruff manner; "`No,' he replied gruffly"|in a gruff manner
soppy	びしょびしょの;(天気が)雨ふりの(rainy)|《英話》ひどく涙もろい|めそめそした
guidepost	道標|道しるべ|指針|指標
capacitate	〜'を'可能にする;〈人〉‘に'能力(資格)を与える
aneurism	動脈瘤
permissibility	admissibility as a consequence of being permitted
ostinato	オスティナート
welkin	空(sky)
berceuse	ララバイ|子守唄|子守歌|ベルスーズ|揺籃歌|子守り歌
matrilineal	based on or tracing descent through the female line; "matrilineal inheritance"|based on or tracing descent through the female line
photostat	写真版|写真版|写真版
biovar	次亜種|生物型|ビオバル
untraditional	not conforming to or in accord with tradition; "nontraditional designs"; "nontraditional practices"|not conforming to or in accord with tradition
daringly	in an original manner; "daringly he took the first step"|in an original manner|in an adventurous manner; "daringly, he set out on a camping trip in East Africa"|in an adventurous manner
fireguard	(炉の前の)囲い金網|ストーブ囲い(fender)
breviary	(カトリックの)日課祈祷書
unburied	not buried
nucleoprotein	核蛋白質
centralism	中央集権制|中央集権主義
entertainingly	in an entertaining manner; "Byron's consumed memoirs possessed the merit of being well and entertainingly written"|in an entertaining manner
insatiate	満足することない|飽くことのない
intolerably	耐えられないほどに
