blende	閃亜鉛鉱
cavort	はねまわる|はねる|遊び戯れる|はしゃぎまわる
siderite	菱(りょう)鉄鉱;隕(いん)鉄
matricide	〈U〉〈C〉母殺し|母殺しをする者
fricassee	フリカッセ(鳥・子牛・ウサギなどのこま切れ肉を用いた汁の少ないシチュー)|〈肉〉‘を'フリカッセにする
rotifer	minute aquatic multicellular organisms having a ciliated wheel-like organ for feeding and locomotion; constituents of freshwater plankton|minute aquatic multicellular organisms having a ciliated wheel-like organ for feeding and locomotion|constituents of freshwater plankton
justness	正しさ|公正|正当|合法
proteinaceous	relating to or of the nature of protein
sophora	cosmopolitan genus of trees and shrubs having odd-pinnate leaves and showy flowers; some species placed in genus Podalyria|cosmopolitan genus of trees and shrubs having odd-pinnate leaves and showy flowers|some species placed in genus Podalyria
gyratory	渦を巻く;旋回する|回転する
charwoman	雑役婦|日雇い女
azido	アジド
blueness	ブルー|青|青み|青味|青碧|青色
glowworm	ツチボタル(雌は羽がなく尾の先から微光を放つ)
unpatented	(of devices and processes) not protected by patent; "unpatented inventions"|(of devices and processes) not protected by patent
paddlewheel	外輪(昔の汽船の両舷(けん)の外側についた水かき車)
walkaway	楽勝|楽勝の試合
subtribe	亜族
unuseable	not capable of being used
tucket	ファンファーレ
inspirit	〜‘を'元気づける|鼓舞する
countersign	(特に戦場で歩哨・斥候などの)合い言葉|応答信号|副署(他の人の文書に確認のためにする署名)|〜‘に'連署(副署)する
somnambulist	=sleepwalker
brabble	argue over petty things; "Let's not quibble over pennies"|argue over petty things
pluperfect	過去完了|大過去
smoother	スムーズに
winey	having the taste of wine; "a rich winy taste"|having the taste of wine
cambric	(上等の)白麻布
deamination	removal of the amino radical from an amino acid or other amino compound
confabulation	おしゃべり|談笑
tattletale	他人の秘密を漏らす人
polystichum	small to medium-sized terrestrial ferns especially holly ferns; in some classification systems placed in Polypodiaceae|small to medium-sized terrestrial ferns especially holly ferns|in some classification systems placed in Polypodiaceae
dowser	someone who uses a divining rod to find underground water|forked stick that is said to dip down to indicate underground water or oil
rattigan	ラティガン
arhat	羅漢|阿羅漢
eldership	the office of elder
drumlin	ドラムリン(氷河堆積物の土の長円形の丘陵)
corroboree	オーストラリア原住民の祭;その踊り(歌)|《話》騒々しいパーティー(踊り)
centerfielder	(野球で)センター|中堅手
cashbook	現金出納簿
overindulgence	甘やかし過ぎ|わがまま;(〜に)ふけり過ぎること《+『in』+『策名』》
pushup	腕立て伏せ
myoblast	筋芽細胞(筋線維を形成する)
hanker	あこがれる|こがれる|渇望する
abjure	宣誓して捨てる
debauch	〈人〉'を'堕落させる;〈生活など〉'を'退廃させる|放蕩(ほうとう)|道楽;らんちき騒ぎ
splotch	染み|汚れ|斑点|汚れがつく|染みがつく|染みの原因になる|に染みをつける|を汚す
crofter	小作農
gramp	おじいちゃん
calkin	a metal cleat on the bottom front of a horseshoe to prevent slipping
songster	歌手|歌の作者;詩人|鳴き鳥(songbird)
commingle	混ざり合う
dispossess	(特に法律に基づいて)(財産・土地などを)〈人〉‘から'取り上げる|没収する《+『名』〈人〉+『of』+『名』〈物〉》
paralyse	麻痺させる|無力にする|麻痺
rumple	〜‘を'しわにする|くしゃくしゃにする|しわになる|くしゃくしゃになる|しわ(wrinkle)
lacewing	any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae); larvae feed on insect pests such as aphids|any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae)|larvae feed on insect pests such as aphids
goalpost	ゴールポスト
phagocyte	食細胞
mothball	防虫剤|をしまい込む
holidaymaker	休日の行楽客|休日を楽しむ人
gaddi	a cushion on a throne for a prince in India
tattooist	入れ墨師
evildoer	悪事を行う人|悪人|悪者
anaerobe	嫌(けん)気性生物(空気・遊離酸素を必要としない細菌類)
patronise	贔負|顧客となる|ひいき|後援|擁護|ひいき
foraminifer	有孔虫
snowfield	雪原
cremate	〈死体〉'を'火葬にする
deportee	国外追放者|被追放者|流刑者
entrain	〜‘を'列車に乗せる|列車に乗る
mutineer	19
fertilise	肥やす|肥す
steelworker	製鋼所工員|製鋼所職工|鉄鋼労働者
sideburn	片鬢
theosophist	神知学者|接神論者
liquify	液化|溶解|液化|溶解
tartlet	タートレット
mortify	くやしがらせる|恥をかかせる|抑制する|(肉欲･感情などを)抑える
popover	軽焼きマフィン・(軽い焼き菓子の一種)
sparge	the act of sprinkling or splashing water; "baptized with a sprinkling of holy water"; "a sparge of warm water over the malt"|the act of sprinkling or splashing water|agitate by introducing air or compressed gas; "sparge the water"|agitate by introducing air or compressed gas|scatter with liquid; wet lightly; "Sprinkle the lawn"|scatter with liquid|wet lightly
microsome	ミクロソーム|細胞をホモジナイズ(すりつぶす)して遠心分離すると|最初に核が|次にミトコンドリアが沈殿し|最後に上澄みから得られる小胞体などを含む部分|タンパク質合成活性などがある
undersell	を控えめに売り込む|値引いて売る|より安く売る|不当に低く印象づける
detractor	中傷者|けなす人
pompon	ポンポン|ポンポン
armlet	腕輪|腕飾り(手首でなく腕上膊(じょうはく)部にはめる)|小さな入り江
