deputy	代理人|副～|代理|副|代理の
supplement	補足|追加|補遺|補角|を補う
probability	ありそうな事柄|ありそうなこと|蓋然性|見込み|公算|確率|可能性
petition	嘆願|請願(書)|申し立て(書)|を請求する|を願う
expense	支出
eligibility	適任|適格(性)|有資格
hub	(車輪の)ハブ|中心|集線装置
bread	パン
alien	在留外国人|異邦人|異星人
excel	しのぐ|優る
chase	を追う|を追跡する|を追い払う|追撃|狩り
subsequent	それに続く|その後の|次の|後に来る
viewer	見る人|見物人|検査官|テレビ視聴者|聴視者|観覧者
radiation	放射線|放射|輻射|放熱
shade	陰|光(熱)をさえぎるもの|陰影|わずかな違い|を陰にする|サングラス
grain	穀物|種子|粒|少量|1粒|グレイン|粒にする|木目
moral	道徳の|道徳的な|精神的な|教訓|品行
pride	プライド|誇る|自尊心|高慢|うぬぼれ|横柄|尊大|自慢の種|全盛
arrow	矢
hacker	ハッカー|他人のシステムへの不法侵入者
adequate	適した|適当な|適切な|十分な
trigger	誘発する|引き金|制動機|ばね止め|誘因|きっかけ
receptor	レセプター(受容体)
powder	パウダー|粉
hence	それゆえに|今から先|故に|今後
tap	こつこつ叩く|開発する|引き出す|栓を抜く|靴の音|飲み口|栓|蛇口|盗聴|電話盗聴(傍受)装置|盗聴する
entirely	全く
throat	のど|咽喉|喉|気管|食道
rider	ライダー
cure	を治療する|(悪い習慣など)を直す|治療法
ion	イオン
syndrome	シンドローム|症候群(病的諸傾向)|一連の事物(事件)|ある状況下での行動様式|病的現象
harbor	(考え･計画など)を心にいだく|をかくまう|港|避難所
closely	きっちりと|近く|親密に
seriously	真面目に|本気に|深刻に|重く|まじめに|まじめな話だが|ひどく
tail	尾|尻尾|尾状のもの|後部|下っ端|に随行する|見張り|尾行|尾行者|見張りの者
soap	せっけん|石鹸|を石鹸で洗う
pollution	公害|汚すこと|汚染|汚れ
leaf	葉
licence	許可する|に免許を許す|免許(証)|気まま|破格
pointer	助言|アドバイス|指し示す人|指摘者|むち|猟犬
remind	を思い出させる
hazard	危険にさらす|危険|冒険|偶然|運|災害|障害|要因となるもの
personality	個性|人物|人格|名士|人間であること|独特な雰囲気|テレビによくでる有名人
worship	礼拝する|崇拝する|礼拝|賛美|を崇拝する
elsewhere	他の場所に|他のところで|他のどこかで
insider	会員|インサイダー|企業部内者またはその内情を知っている人|内部者
effectiveness	有効
abroad	外国で|外国へ
urge	強く迫る|説得する
ebony	(ほめて)漆黒の|真っ黒の|黒檀(こくたん)(の)
cord	コード|紐
lifetime	生涯(の)|一生(の)
overseas	海外|海外の
hybrid	混成語|雑種|合いの子|ハイブリッド|混成物
relate	関係がある|を関係づける|を述べる|話す
vista	展望|眺望|ながめ|見通し|予想
tribe	部族|種族|一族
spare	スペア|貯え|手放す(to treat mercifully)|勘弁する|容赦する|出し惜しむ|を取っておく|を使わない
partial	一部分の|不完全な|一部(分)の|不公平な|とても好きな
beverage	飲料|飲み物
yoga	ヨガ|ヨガの行(瞑想的修行法)
whereas	･･であるのに
copper	(軽蔑的に)警官|銅|銅板|銅器|銅製品|銅貨
everybody	誰でも
succeed	成功する|あとを継ぐ|続く|継承する
treasure	大切にする|(思い出など)を取っておく|宝|財産|富|重要な物
sublime	気高い|崇高な|雄大な|卓越した|高尚にする|浄化される|(化学)昇華する
defend	防衛する|守る
counseling	カウンセリング
ordinary	普通の|ありふれた|直轄の
acceptable	容認できる
glad	うれしい
reception	receiveの名詞形|歓迎会|披露宴|聴取|応接|入会
nobody	誰も(一人も)～ない|(特に地位や財産のない)とるに足りない人
shareware	シェアウェア
plaza	(スペイン語)(都市の)広場|プラザ|市場
nova	ラテン語で新星の意味
romantic	ロマンテックな人|伝奇物語的な|ロマンチックな|実際的でない|非現実的な
wise	賢い|博識な|賢そうな|えらそうな|知らせる|教える
margin	利ざや|限界|余白|縁|余裕
stability	安定(性)
southwest	南西(部)|南西の|南西へ
cherry	サクランボ|桜
axis	中心線|軸
fragrance	芳香
grass	芝生|草|牧草|牧草の種をまく|(俗)マリファナ|大麻
institutional	組織的な
thermal	熱の|温度の|熱による|温泉の|暖かい
metabolism	代謝|新陳代謝|物質交代
independence	独立心|独立|自立|自活
warrant	正当な理由となる|を保証する|に請け合う|令状|証明書
harvest	収穫する|刈取る|報い|収穫|収穫高|収穫期|結果|取り入れる
cloudy	雲の|曇った
stupid	愚かな|ばかな
surround	を取り囲む|サラウンド
personally	個人的に|自分自身で|直接に|自分としては
acrobat	曲芸師
vital	きわめて重大な|致命的な|生命の|生命維持に必要な|活気のある
plenty	たくさん|豊富|多数|多量|豊富さ|十分に|たっぷり
excellence	優秀|卓越|長所|美徳
cheat	をだます|ごまかす|浮気する|詐取|カンニング|だますこと|ごまかし|詐欺師|不正行為
departure	新機軸|出発|発車|逸脱|背反|出航|門出|離脱
somewhere	どこかに|ある時|何時か|およそ
lucky	幸運な
wealth	豊富|富|裕福|財産
allocation	割り当て
survival	生存(者)|生き残ること
sole	唯一の|独占的な|独身の|足の裏|蹄鉄|シタビラメ|シタガレイ
acquire	を習得する|を獲得する
binary	二進法の
warrior	勇士|武人|武士|軍人
celebration	祝賀|式典
attendance	出席
diagram	図解
