century,世紀
project,計画|プロジェクト
war,戦争
interest,興味|利子
toward,〜の方へ
everything,すべてのもの
week,週
remember,覚えている
situation,状況
stay,滞在する|とどまる
difference,違い
chapter,章
fire,火|発砲する
term,期間|用語
property,財産|特性
quite,かなり|全く
specific,具体的な|特定の
occur,起こる
claim,主張する
someone,誰か
response,返答|反応
single,単一の|独身の
walk,歩く
source,源|出所
theory,理論
especially,特に
due,〜が原因で|予定された
lot,たくさん|区画
serve,仕える|提供する
figure,数字|人物|姿
economic,経済の
else,他の
near,近くの
blood,血
outside,外側|外で
car,車
appear,現れる
inside,内側|内部に
wall,壁
evidence,証拠
deal,扱う|取引
influence,影響
son,息子
top,頂上|最上部
herself,彼女自身
myself,私自身
treatment,治療|扱い
represent,代表する
boy,少年
non,〜でない
purpose,目的
record,記録する|記録
towards,〜の方へ
various,様々な
thus,それゆえ|このように
morning,朝
bed,ベッド
per,〜につき
consider,考慮する
movement,動き|運動
eat,食べる
attention,注意
late,遅い
society,社会
paper,紙|新聞|論文
choose,選ぶ
fight,戦う
object,物体|反対する
offer,提供する|申し出る
section,区分|部分
job,仕事
sign,サイン|兆候
education,教育
brother,兄弟
alone,一人で
challenge,挑戦
program,番組|計画|プログラム
size,大きさ
tree,木
draw,描く|引く
letter,手紙|文字
fear,恐れ
production,生産
concern,心配|関係する
expression,表現
similar,似ている
court,裁判所|宮廷
culture,文化
performance,上演|業績
likely,〜しそうな
seek,探す
range,範囲
key,鍵|重要な
easy,簡単な
happen,起こる
whose,誰の
mouth,口
stage,段階|舞台
lie,横たわる|嘘をつく
access,アクセス|接近
available,利用できる
wish,願う
plant,植物|工場|植える
disease,病気
cut,切る|削減する
quality,品質|質
surface,表面
organization,組織
population,人口
necessary,必要な
develop,発展する|開発する
network,ネットワーク
management,管理|経営
main,主要な
current,現在の|流れ
sleep,眠る
complete,完全な|完了する
hair,髪
dark,暗い
address,住所|対処する
therefore,それゆえに
effort,努力
amount,量
application,申請|応用
natural,自然の|当然の
begin,始める
actually,実際に
attempt,試みる
continue,続ける
direct,直接の|指示する
context,文脈|状況
standard,標準
try,試す
text,本文|テキスト
attack,攻撃する
affect,影響を与える
potential,可能性
drink,飲む
demand,要求する|需要
probably,たぶん
impact,影響
issue,問題|発行する
wife,妻
author,著者
cross,横切る|十字
forward,前へ
team,チーム
pain,痛み
office,事務所|職場
game,試合|ゲーム
quickly,素早く
technology,技術
town,町
opportunity,機会
truth,真実
national,国家の|全国的な
red,赤い
feeling,感情|感じ
desire,欲望|望む
price,価格
today,今日
region,地域
flow,流れる|流れ
reach,到達する
personal,個人的な
list,一覧|リスト
stand,立つ
loss,損失
usually,普通は
character,性格|登場人物
suggest,提案する
concept,概念
perhaps,たぶん
environment,環境
arm,腕
major,主要な|専攻
difficult,難しい
visit,訪れる
principle,原則
poor,貧しい|劣った
touch,触れる
physical,身体の|物理的な
window,窓
simply,単に
although,〜だけれども
growth,成長
accept,受け入れる
significant,重要な
respect,尊敬する|尊重
teacher,教師
bad,悪い
improve,改善する
simple,簡単な
wide,広い
whom,誰を
notice,気づく
shape,形
content,内容
choice,選択
trade,貿易|取引
