hereditary,遺伝性の
ham,ハム
warranty,保証
crawling,這うこと|クロール（検索エンジン用語）
browser,ブラウザ
raft,いかだ
stature,身長|地位
impend,差し迫る
thence,そこから
biochemical,生化学の
baggage,手荷物
orthodox,正統の
subdivision,細分化|地区
crane,クレーン|ツル
gravely,重大に|厳かに
detrimental,有害な
northeast,北東
subsistence,生計|最低限の生活
cinnamon,シナモン
neutrality,中立
aristocratic,貴族の
stabilization,安定化
covert,秘密の|覆い
worthless,価値のない
intracellular,細胞内の
marsh,沼地
quilt,キルト|掛け布団
bake,焼く
tolerant,寛容な
whisk,泡立て器|泡立てる
entitlement,資格|権利
fright,恐怖
moor,荒れ地|係留する
involuntary,不随意の|不本意の
pouch,袋
moss,コケ
volcano,火山
grudge,恨み
impedance,インピーダンス|抵抗
strife,争い
rotten,腐った
suburban,郊外の
bureau,局|事務所
facto,事実上の
sinful,罪深い
torque,トルク|ねじり
fetus,胎児
endothelial,内皮の
demise,死去|終焉
edit,編集する
filthy,不潔な
cellulose,セルロース
pelvic,骨盤の
incremental,漸進的な|増加の
geological,地質学の
attribution,帰属|原因と考えること
contour,輪郭|等高線
hearty,心のこもった|元気な
ivory,象牙
ultra,超〜|極端な
unilateral,一方的な
cation,陽イオン
repose,休息
ledge,岩棚|出っ張り
anecdote,逸話
discard,捨てる
advantageous,有利な
pirate,海賊
injure,傷つける
haze,かすみ|もや
calory,カロリー［calorieの古綴］
calamity,災難
outlaw,無法者|禁止する
merchandise,商品
dispatch,派遣する|発送
complication,合併症|複雑さ
barge,はしけ|乱入する
cocaine,コカイン
latch,掛け金
vendor,販売業者
despise,軽蔑する
broth,スープ|だし
preventive,予防の
irrespective,関係なく
allele,対立遺伝子
crystalline,結晶の|透明な
waterfall,滝
triangular,三角形の
vaccination,予防接種
wee,とても小さい
affectionate,愛情深い
confidently,自信をもって
pickup,拾うこと|回収|回復
interpretive,解釈の
deem,〜と見なす
grease,油|潤滑油
portable,携帯可能な
straighten,まっすぐにする
teen,ティーンエイジャー
fugitive,逃亡者|一時的な
someday,いつか
lit,照らされた|酔っ払った（俗）
bead,ビーズ|玉
cubic,立方体の
drunken,酔った
housekeeper,家政婦
cache,隠し場所|キャッシュ
infringement,侵害
genotype,遺伝型
ether,エーテル
kettle,やかん
aide,補佐官|助手
hose,ホース
uplift,高揚|持ち上げる
everlasting,永遠の
microscopic,顕微鏡レベルの
hideous,ひどく醜い
unlock,解除する
inversion,逆転
neutron,中性子
bipolar,双極性の
syntactic,統語的な
bracelet,ブレスレット
zip,ジッパー|勢いよく動く
advisory,助言の|勧告
resultant,結果として生じる
extracellular,細胞外の
pronounce,発音する|宣言する
joyful,喜ばしい
imposition,課すこと|負担
visibly,目に見えて
peep,のぞく
regularity,規則性
ebook,電子書籍
southwest,南西
belonging,所属
predecessor,前任者
viz,すなわち［videlicetの略語］（ラテン語由来）
cartilage,軟骨
furiously,猛烈に
radiant,輝く
individuality,個性
consolidate,統合する|強化する
alienation,疎外
partake,参加する|分け合う
increment,増加
correlate,相関する
compassionate,思いやりのある
precarious,不安定な|危険な
magnesium,マグネシウム
mentality,精神構造
blockade,封鎖
homosexual,同性愛の
inlet,入り江|吸気口
cosmetic,化粧の|外見の
lumber,材木|ドタドタ歩く
hawk,タカ|行商する
famously,有名に
synagogue,ユダヤ教の会堂
negation,否定
wisely,賢く
rotate,回転する
revolver,回転式拳銃
invariant,不変の
excel,秀でる|優れる
tricky,扱いにくい|難しい
brandy,ブランデー
glacier,氷河
mismatch,不一致
emancipation,解放
pm,午後［post meridiemの略］|首相［prime ministerの略語］
prairie,大草原
faithfully,忠実に
inflict,与える（苦痛など）
superintendent,監督者
renounce,放棄する
manhood,男らしさ|成人期
indifferently,無関心に
calculus,微積分
playground,遊び場
crunch,バリバリ噛む|危機
awaken,目覚めさせる
pharmacy,薬局
extant,現存する
accession,加盟|即位
underscore,強調する|下線
audible,聞こえる
endogenous,内因性の
cavern,洞窟
measurable,測定可能な
alphabet,アルファベット
socket,ソケット|受け口
memorandum,覚書
clatter,ガチャガチャ音
loser,負け犬|敗者
innumerable,無数の
foresee,予見する
creed,信条
revert,戻る
concurrent,同時に起こる
yearly,年1回の|年間の
victorious,勝利した
ovarian,卵巣の
gag,口止めする|ギャグ
showcase,展示する|見せ場
asymmetry,非対称
expansive,広範囲の|広がる
habitual,常習的な
developer,開発者
experiential,経験に基づく
morbidity,罹患率|病的状態
hegemony,覇権
cunt,女性器|いやなやつ（卑語）
atrial,心房の
fiduciary,信託の|受託者
maze,迷路
sociologist,社会学者
allergy,アレルギー
identifiable,識別可能な
bestow,授ける
jewel,宝石
homicide,殺人
markedly,著しく
oblige,義務づける|感謝させる
poisonous,有毒な
fragrant,香りの良い
pivot,軸|旋回する
underline,下線を引く|強調する
gardener,庭師
sentimental,感傷的な
deviate,逸脱する
divert,そらす|迂回させる
holiness,神聖さ
curl,カールする|丸まる
pivotal,極めて重要な
slippery,滑りやすい
realist,現実主義者
recollect,思い出す
abusive,虐待的な
nickel,ニッケル|5セント硬貨
bile,胆汁|怒り
formative,形成の|発達の
epilepsy,てんかん
etc,など
dancer,ダンサー
eruption,噴火|発生
genetically,遺伝的に
dictatorship,独裁政治
multiplicity,多様性
ale,エール（ビール）
aversion,嫌悪
suffering,苦しみ
diverge,分岐する
chronicle,年代記|記録する
ascent,上昇
awkwardly,ぎこちなく
introductory,導入の|入門の
physicist,物理学者
brat,ガキ（俗語）
slate,粘板岩|候補者リスト
gloss,つや|注釈
butler,執事
blindness,盲目
elaboration,精緻化|詳述
lighten,軽くする|明るくする
squirrel,リス
futile,無駄な
resilient,回復力のある
woodland,森林地帯
glimmer,ちらつき|微光
spice,香辛料
canyon,峡谷
tighten,締める
epistemology,認識論
solubility,溶解度
mosaic,モザイク|寄せ集め
lithium,リチウム
heroine,女性の英雄|ヒロイン
smartphone,スマートフォン
pointer,助言|ポインタ
glitter,きらめき
gram,グラム［=gramme］〈アメリカ英語〉
enlightenment,啓発
limestone,石灰岩
cheerfully,元気よく
opioid,オピオイド
nitrate,硝酸塩
derivation,由来
rumor,噂
goin,行く［=going］（口語）
rhythmic,リズミカルな
richness,豊かさ
profitability,収益性
afar,遠くに
conceptualization,概念化
elf,妖精
backbone,背骨|中核
coercion,強制
skate,スケート
depressive,抑うつの
grapple,取り組む
dealer,販売業者|ディーラー
pathogen,病原体
irradiation,放射線照射
momentary,一瞬の
unravel,解明する|ほどく
rethink,再考する
passionately,情熱的に
tidal,潮の|潮汐の
snort,鼻を鳴らす|一気に吸う
issuer,発行者
confuse,混乱させる
statistic,統計値
entirety,全体
bolster,支える|強化する
flashlight,懐中電灯
leakage,漏れ
diligence,勤勉
silhouette,影絵|輪郭
vernacular,日常語|固有の
volcanic,火山の
unlawful,不法な
vine,つる植物
tertiary,第3の|三次の
infinity,無限
sulfate,硫酸塩
tremor,震え|揺れ
exclaim,叫ぶ
inventor,発明者
elusive,つかみにくい|理解しづらい
buffalo,バッファロー
trademark,商標
phosphorus,リン
scalar,スカラー
siren,サイレン
charcoal,木炭
reminiscent,思い出させる
respectfully,敬意を込めて
rogue,悪党|ならず者
populist,大衆主義の
topical,時事の
sunrise,日の出
incur,被る|招く
motorcycle,オートバイ
dx,診断［diagnosisの略語］|変化量［Δxの略語］
slam,強く打つ
ventricle,心室
scowl,にらむ
industrialization,産業化
pry,こじ開ける|詮索する
mundane,日常の|つまらない
lecturer,講師
dummy,模型|ダミー
lily,ユリ
elemental,基本的な|自然の力に関する
paramount,最重要の
patriotic,愛国的な
proprietary,所有の|独自の
fiddle,いじくる|バイオリン（俗）
spacious,広々とした
anytime,いつでも
outburst,爆発|突発
st,通り［streetの略語］|聖［saintの略語］
clamp,締め具|締める
chick,ひよこ
negro,黒人（差別的表現）
iconic,象徴的な
hobby,趣味
warp,ゆがむ
unhealthy,不健康な
heartily,心から
molar,臼歯
vile,ひどい
honorable,尊敬すべき
char,炭|焦がす
bullshit,でたらめ
mustard,マスタード
perturbation,動揺
centrality,中心性
attributable,起因する
err,誤る
wonderfully,素晴らしく
thematic,主題の
manually,手動で
infamous,悪名高い
pollen,花粉
exposition,展示会
deformity,変形
gamma,ガンマ
acidic,酸性の
neuron,神経細胞
duel,決闘
barley,大麦
spiritually,精神的に
delta,デルタ
remorse,後悔
blackness,黒さ
portrayal,描写
intermittent,断続的な
gravitational,重力の
bony,骨の
symptomatic,症状の
immersion,没入
modernist,現代主義の
naive,世間知らずの
anatomical,解剖学の
ethos,気風
salon,サロン
tuck,押し込む
madam,奥様
wholesale,卸売りの
prosper,繁栄する
pancreatic,膵臓の
subtract,引く
bun,パン
permissible,許される
starter,始動装置
autobiography,自伝
ce,西暦［common eraの略語］
hasty,性急な
crate,木箱
empirically,経験的に
moderately,適度に
malaria,マラリア
plight,苦境
delicacy,珍味
applicability,適用性
ho,おい
endorsement,支持
expanse,広がり
harmonious,調和のとれた
neuronal,神経の
fieldwork,現地調査
scoop,すくう
beetle,甲虫
intravenous,静脈内の
repeal,撤廃する
aperture,開口部
composure,落ち着き
checklist,確認リスト
respiration,呼吸
specialize,専門とする
rugged,ゴツゴツした
violin,バイオリン
upload,アップロードする
irresistible,抗しがたい
ballet,バレエ
embark,乗り出す
transgender,トランスジェンダー
cabbage,キャベツ
dielectric,誘電体
stumble,つまずく
reversible,可逆的な
transgression,違反
avenge,復讐する
asymmetric,非対称の
vet,獣医
smack,平手打ち
schematic,図式的な
unbearable,耐えられない
doom,破滅
vaginal,膣の
tort,不法行為
holding,保有
periodical,定期刊行物
quarry,採石場
inhale,吸い込む
fro,行ったり来たり
stadium,スタジアム
bluff,はったり
performer,演者
shew,示す
estimator,推定者
slash,切り裂く|斜線
sneer,あざ笑い
trope,比喩
pottery,陶器
manor,荘園
unpack,解凍する|解く
degenerate,堕落する
causality,因果関係
surrogate,代理の
chromatography,クロマトグラフィー
prefix,接頭辞
armchair,安楽椅子
condom,コンドーム
biomedical,生物医学の
mathematician,数学者
malignancy,悪性腫瘍
nudge,軽く突く
proactive,積極的な
anew,新たに
modulate,調整する
enrichment,強化
annotation,注釈
linguistics,言語学
attic,屋根裏部屋
memorize,暗記する
methane,メタン
nay,否（古語）
tramp,放浪者
redeem,取り戻す
socialization,社会化
ascend,上る
reconsider,再考する
arrogance,傲慢
relentless,容赦ない
southeast,南東
novice,初心者
consonant,子音
reed,葦
creditor,債権者
diesel,ディーゼル
dealing,取引
incarnation,化身
sludge,汚泥
yawn,あくび
drown,溺れる
timid,臆病な
blot,染み
vomit,嘔吐する
illicit,不法の
poultry,家禽
intensify,強める
saline,塩水の
elucidate,明らかにする
triumphant,勝利した
vastly,大いに
filtration,濾過
fractional,部分的な
unrest,不安|動乱
allergic,アレルギーの
ester,エステル（化学用語）
coax,説得する
abolition,廃止
cylindrical,円筒形の
unworthy,価値のない
courtroom,法廷
outweigh,勝る
immortality,不死
parchment,羊皮紙
weld,溶接する
horseback,馬上
frantically,必死に
plume,羽|煙柱
hillside,丘の斜面
underwater,水中の
statesman,政治家
anemia,貧血
individualism,個人主義
sensual,官能的な
reciprocity,相互主義
durable,耐久性のある
commotion,騒動
rotor,回転子
aristocracy,貴族階級
capacitor,コンデンサー
facilitator,促進者
exclamation,感嘆詞
categorical,断定的な
intruder,侵入者
immensely,非常に
objectivity,客観性
prestigious,名声のある
railing,手すり
seminal,画期的な
outstretch,伸ばす
phantom,幽霊
working,働く
mama,ママ
subunit,小単位
thirsty,喉が渇いた
compatibility,互換性
adore,崇拝する
turbulence,乱気流
milieu,環境
junk,がらくた
treason,反逆
prostitution,売春
oblivious,気づかない
shaky,ぐらぐらした
envision,想像する
redefine,再定義する
plow,耕す
treasury,財務省
inertia,慣性
abyss,深淵
retinal,網膜の
concede,認める
captivity,捕らわれ
frail,もろい
skepticism,懐疑論
causation,因果関係
goodwill,善意
wizard,魔法使い
commune,共同体
gulp,ごくりと飲む
indulgence,甘やかし
spectator,観客
pitiful,哀れな
inconvenience,不便
interviewer,面接官
magician,手品師
demonic,悪魔の
flicker,ちらつき
circus,サーカス
lavish,贅沢な
psyche,心|精神
healer,治療者
clump,塊
boiler,ボイラー
preoccupation,没頭
solicit,懇願する
gallant,勇敢な
relinquish,放棄する
etiology,病因学
apostle,使徒
ppm,百万分率
endemic,風土病の
reassure,安心させる
surname,姓
poster,ポスター
brew,醸造する
mystic,神秘的な
clergyman,聖職者
nano,10億分の1（接頭辞）
peg,くぎ
unison,調和
dividend,配当
traveller,旅行者
awhile,しばらく
clot,血の塊
knowledgeable,博識な
discriminatory,差別的な
tangle,もつれ
divergent,分岐した
bounce,跳ね返る
abscess,膿瘍
shrimp,エビ
recognizable,認識できる
eradicate,根絶する
exhaustive,徹底的な
misconduct,不正行為
superb,素晴らしい
excite,興奮させる
squash,押しつぶす
trump,切り札
informative,有益な
enlarge,拡大する
carpenter,大工
modality,様式
stocking,ストッキング
estrogen,エストロゲン
pang,激しい痛み
masterpiece,傑作
gust,突風
competency,能力
granddaughter,孫娘
congress,会議|議会
squeak,キーキー鳴く
cleanse,浄化する
concur,同意する
overflow,あふれる
furthermore,さらに
hey,やあ
westward,西へ
formality,形式的なこと
ape,猿
gasoline,ガソリン
clarification,説明
recreational,娯楽の
mercury,水銀
deepen,深くする
dichotomy,二分法
pleasantly,心地よく
zoom,急に近づく
femoral,大腿の（解剖学用語）
tenderly,優しく
unconditional,無条件の
crater,クレーター
judiciary,司法
saliva,唾液
pear,梨
vocation,職業
epithelium,上皮
fluorescent,蛍光の
oracle,神託
hoarse,かすれ声の
distort,歪める
dopamine,ドーパミン
pane,窓ガラス
taxable,課税対象の
vertically,垂直に
oddly,奇妙に
chalk,チョーク
plump,ふっくらした
civilisation,文明［=civilization］〈イギリス英語〉
proverb,ことわざ
catastrophic,壊滅的な
om,オームΩ（物理単位）
ammonia,アンモニア
radioactive,放射性の
inject,注射する
peninsula,半島
quench,消す
analogue,類似物
enjoyable,楽しい
tack,画びょう
starvation,飢餓
hr,時間［hourの略語］
befall,降りかかる
tactic,戦術
underestimate,過小評価する
selectivity,選択性
subsystem,下位システム
outskirt,郊外|周辺
hegemonic,覇権的な（政治学用語）
stenosis,狭窄（医学用語）
trustworthy,信頼できる
shipment,出荷
papa,パパ
whisky,ウイスキー
ceremonial,儀式の
dude,やつ（口語）
whiteness,白さ
impetus,勢い
concession,譲歩
affliction,苦悩
bunk,寝台
plough,すき
gig,演奏会
unfinished,未完成の
guerrilla,ゲリラ
stanza,連（詩）
guild,組合
unnoticed,気づかれない
milestone,節目
endpoint,終点
patriotism,愛国心
conducive,役立つ
dew,露
purposely,わざと
nucleotide,ヌクレオチド
dialectic,弁証法
moth,蛾
mercenary,傭兵
mol,モル
deletion,削除
stunt,曲芸
diffraction,回折
eagerness,熱心さ
saloon,酒場
earl,伯爵
maturation,成熟
remotely,遠くに
dangling,ぶら下がった
ordeal,試練
chilly,肌寒い
adhesive,接着剤
caravan,キャラバン
equate,等しいとみなす
reactivity,反応性
suspend,中止する
yo,やあ（呼びかけ）
heterosexual,異性愛の
morale,士気
prep,準備
inhibitory,抑制する
alight,降りる
pluck,引き抜く
shrill,甲高い
benevolent,慈悲深い
marijuana,マリファナ
confine,制限する
evacuation,避難
grind,粉砕する
redundant,余分な
overarch,またがる
paralysis,麻痺
manure,肥料
urbanization,都市化［=urbanisation］〈アメリカ英語〉
faction,派閥
lizard,トカゲ
opening,開口部
maple,カエデ
rainy,雨の
digestive,消化の
regulator,調整者
nuanced,微妙な差異のある
acetate,酢酸塩
torrent,急流
tentative,試験的な
brook,小川
ta,ありがとう（略）
rosy,バラ色の
ovary,卵巣
trout,マス
preferably,できれば
uniformity,均一性
eg,例えば
artifact,人工物
hearing,聴覚
dubious,疑わしい
hydrolysis,加水分解
feudal,封建の
attest,証明する
diner,食堂
anomaly,異常
converter,変換器
perennial,多年生の
hostess,ホステス
adrenal,副腎の
receptive,受け入れやすい
multicultural,多文化の
ethic,倫理
cosmos,宇宙
chronological,年代順の
cardboard,段ボール
suffrage,選挙権
grit,根性
fortnight,2週間
rein,手綱
hasten,急ぐ
multilateral,多国間の
exemplary,模範的な
clumsy,不器用な
adrenaline,アドレナリン
chestnut,栗
piss,小便（俗）
narration,物語
drastically,劇的に
autoimmune,自己免疫の
tedious,退屈な
totality,全体
traction,牽引
supplementary,補足の
emulate,まねる
anaerobic,嫌気性の
donation,寄付
educator,教育者
courageous,勇敢な
constable,警官
decorate,装飾する
diaspora,離散
joyous,喜びに満ちた
evaporation,蒸発
climatic,気候の
majestic,壮大な
genomic,ゲノムの
survivor,生存者
mildly,軽く
iterative,反復的な
surfactant,界面活性剤
throughput,処理能力
ante,前払い金
vividly,鮮やかに
compilation,編集
disperse,散らす
remnant,残り
yoke,くびき
postcolonial,脱植民地化後の（歴史・政治用語）
willow,ヤナギ
infiltration,浸透
infarction,梗塞
transistor,トランジスタ
diversification,多様化
psalm,詩篇
whore,売春婦
fret,いらいらする
extravagant,浪費する
vortex,渦
eccentric,風変わりな
corrective,矯正の
salvage,救助
veto,拒否権
deference,敬意
edible,食用の
payoff,報酬
paw,（動物の）足
bruise,あざ
motivational,動機付けの
examiner,試験官
mantra,マントラ（宗教語）
apoptosis,アポトーシス
peacefully,平和に
neonatal,新生児の
satin,サテン（絹織物）
planetary,惑星の
rubbish,ごみ
distributor,配給者
suicidal,自殺の
baron,男爵
robotic,ロボットの
cookie,クッキー
enrollment,登録
palpable,明白な
ardent,熱心な
humankind,人類
voter,有権者
grape,ぶどう
indictment,起訴状
widen,広げる
untouched,手つかずの
isotope,同位体
burger,バーガー
cosmopolitan,国際的な
unavoidable,避けられない
eve,前夜
aviation,航空
pluralism,多元主義
impair,損なう
symbolism,象徴主義
flutter,はためく
ominous,不吉な
adversity,逆境
preschool,幼稚園
bloc,圏
censorship,検閲
revel,楽しむ
wrestling,レスリング
pituitary,下垂体の
reunion,再会
synthesize,合成する
cessation,停止
freshwater,淡水
wont,習慣
inflow,流入
decorative,装飾の
thoracic,胸部の
malice,悪意
inseparable,切り離せない
hesitant,ためらう
kinetics,運動学
maxim,格言
stoop,前かがみになる
predicament,困難な状況
henceforth,今後は
puncture,刺す
ter,3つの（ラテン語由来）（接頭辞）
completeness,完全性
marvellous,素晴らしい
externally,外部に
fable,寓話
stainless,錆びない
hi,やあ
patio,パティオ
coexist,共存する
pa,父［=papa］（口語）|パスカル（物理単位）
agonist,競合物質
cruiser,巡洋艦
inaccurate,不正確な
strategically,戦略的に
discredit,信用を失わせる
dungeon,地下牢
counteract,対抗する
shadowy,影の多い
addict,中毒者
symbolize,象徴する
nationwide,全国的な
concubine,側室
metastatic,転移性の
font,書体
synonymous,同義の
augment,増加させる
ok,大丈夫|了解
observational,観察の
leisurely,のんびりした
ordinarily,通常は
razor,かみそり
cocoa,ココア
sacrament,聖礼典
guinea,モルモット
aerobic,好気性の
parity,同等
cherish,大切にする
reportedly,伝えられるところでは
trot,早歩きする
whereabouts,所在
whine,泣き言を言う
rabbi,ラビ
circulate,循環する
tiptoe,つま先歩き
monastic,修道院の
ut,ド（音階）
uniqueness,独自性
metaphorical,比喩的な
provisional,暫定的な
photographic,写真の
solicitor,弁護士
leukemia,白血病
wrench,レンチ
pelvis,骨盤
filler,充填物
nuisance,迷惑
dissatisfy,不満にさせる
knob,つまみ
bondage,束縛
disparate,異なる
intelligible,理解できる
loom,織機
