newspaper	新聞|新聞紙
capable	手腕のある|能力のある|有能な|ができる
advice	助言|忠告|アドバイス
discipline	訓練する|規律|訓練
vol	本などの巻(かん)|volume|(vol|と表示)
finding	発見|結論|(裁判官|陪審)認定|決定|裁定|結果|事実認定|付属品類
assist	列席する|手伝う
careful	注意深い
visual	視覚の|視力の|目に見える
obligation	負担|恩義|義務|債券|債務|義理|お陰
educational	教育上の
arrive	到着する
aspect	面|様子|外観|性状|顔つき|姿|(文法)動詞の相|アスペクト
stomach	食欲|胃|腹|好み|～したいという気持ち
carbon	炭素(非金属元素)|元素記号C|カーボン紙
weather	気候|天気
specifically	明確に|特に
bow	(発音 bάʊ) おじぎ|おじぎをする|屈伏する|服従させる|へさき|船首|犬の鳴き声(bow-wow)|(発音 bóʊ)弓
differ	異なる
priest	聖職者|司祭|祭司|奉仕者
smooth	なめらかになる|ならす|円滑な|なめらかな|滑らかな|滑らかにする
embrace	抱きしめる|包含する|捕える|囲む|抱擁|包囲|容認|(遠回しに)性交
van	コンテナ|大型有蓋トラック|バン|小荷物車|先頭|先導者
regional	局地的な|地域|地区
district	区|地区|区域|地域|地方
flight	飛行|(飛行機の)便
fat	太った|肥満(者)|脂肪|脂身|脂質
unknown	未知の|知られていない|未経験の|計り知れない|未知の人
sick	病気の
outcome	結果|成果
finance	財務|財政|賄う|資金を調達する|財政学
liquid	不安定な|液体(の)|流動性の|流暢な|透明な
mirror	鏡|模範|映す
resolution	決議案|決議|決定|決心|決意|決断|転換|変換|分解|分解能
fluid	変りやすい|流動性の|流体(の)|流動体
examination	試験|調査
parent	親
reflection	反射|反映|熟考
crack	〜にひびを入れる|割る|神経が参る|コカイン|パリッ|ピシッ|雷の音
darkness	暗がり|暗さ|無知|失明|秘密
fault	過失|誤り|欠点|過ち|責任|断層
secondary	二流の|衛星|代理人|第2の|二次的な|補助的な|(学校･教育が)中等の
commitment	献身|傾倒|約束
territory	販売区域|領土|地域|地方|分野|領域|縄張り
extreme	極端な|非常な|極度の|過激な|最後の|窮境|危機|最後の手段
phrase	言いまわし|言葉遣い|成句|熟語|慣用句|語法|句
reward	褒美|報奨|報酬|償い|謝礼|懸賞金|に報いる
sudden	突然の
extra	割増料金|割増の|余分の|余計な|特別の|号外|余分に|臨時の
cluster	かたまり|束|一団|群集|(花|果実の)房|群がる|房になる
session	セッション|立会い時間|開会|会期|集まり
reply	返事をする|答える|返事|答え
software	ソフトウエア|利用法
participation	関与|参加|加入|にあずかること
plot	(陰謀など)を企てる|構想をねる|地区|小区画の土地|脚色|筋
widely	広く|大きく
sing	(を)歌う
gentleman	男のかた|紳士|例の男|諸君
distinct	はっきりした|全く異なる
stable	安定した|不変の|断固とした|しっかりした|馬屋
proof	証明|証拠|試験|論証|に耐える|検査済みの|保証付きの|校正刷り
defense	防衛|防御|弁護|被告
leg	足
gently	育ちがよく|穏やかに|徐々に
distinction	区別
visible	明白な|目に見える|明らかな|今手元にある
dose	(薬の)一服|投薬する
sell	売る|売れる
wet	を濡らす|湿る|に小便をする|濡れた|保存された|酔った|雨降りの|禁酒反対者|湿気
poem	詩
fill	満たす
union	労働組合|結合|合同|連合国家|連邦|組合|英国国旗|同盟
functional	機能の
milk	牛乳|ミルク
incident	起こりやすい|ありがちな|出来事|事件(ささいに見えるが大きな外交問題に発展するような)
