loony	頭がおかしい
foreplay	(性行為における)前戯
mutate	変化する|突然変異する|母音変化する
whimsy	気まぐれ|物好き|奇抜な言葉･行動
voluptuous	官能的な|なまめかしい|肉欲にふける
complacent	自己満足の|満足そうな|悦に入って|ひとりよがりの
hardworking	勤勉な|よくはたらく
antagonism	敵意|反対
unaccompanied	連れのない|ただひとりの;(〜に)伴われない《+by(with)+名》|(音楽演奏が)無伴奏の
uhh	うう
maximization	最大化
absenteeism	長期欠勤|無断欠勤|常習的欠席
quantifiable	定量化できる
leptin	レプチン|脂肪細胞によって作られ|飽食シグナルを伝達し|エネルギー消費増大をもたらし|肥満の抑制や体重増加の制御の役割を果たすホルモン
penalize	罰する
isometric	等大の|等距離の
retraction	引っ込ませること|取り消し|撤回
loveless	愛のない;愛させない;かわいげのない
demarcation	境界|分界|区分|管轄|縄張り|限界
cerebrospinal	脳脊髄の|中枢神経系の
impure	澄んでいない|混ざり物のある|不純な
gridiron	=grill{名}1|《米》フットボール競技場
innermost	最も奥の|深く心に秘めた|心底の(=inmost)
rumba	(スペイン語)ルンバ|キューバの民族舞踊音楽
wry	ゆがんだ|皮肉たっぷりな|こじつけた|曲がった
spunk	(口)勇気|気力
confocal	共焦点
alms	施し物|信施|施し|慈善
meditative	瞑想的な
pica	異食症|栄養価の無いもの(土・紙・毛・氷・チョークなど)を無性に食べたくなる症候|小児と妊婦に多い|(picaはラテン語でカササギ)
quell	鎮圧する|抑えつける|止める|鎮める|抑える
equivalently	同等に
incase	=encase
stringed	弦のある;《複合語を作って》;弦の
gaucho	ガウチョ(南米|特にアルゼンチンの草原地方のカウボーイ;インディアンとスペイン人の混血人が多い)
evasive	回避する|言い逃れの|回避的な
factorial	要因の|階乗の
ferment	混乱|酵素|発酵する･させる|沸き立たせる|刺激する
guesswork	当てずっぽう|当て推量
replete	十分に備えた|充満した
inconceivable	想像もつかない
failing	に失敗する
calmodulin	カルモジュリンカルシウム結合タンパク質|(多種類のタンパク質に制御を行うため|様々な細胞機能に影響を与える)
mausoleum	陵|廟|大霊廟|壮大な墓|みたまや|みささぎ
anklet	(靴の)留め革|足首までの短いソックス
claret	クラレット(フランス産の赤ぶどう酒)|赤紫色|赤紫
beholder	見る人
determinism	決定論
normality	常態|標準的なこと
unsung	詩歌によってほめたたえられない
ingot	(金属の)鋳塊|鋳棒
mitogen	マイトジェン|分裂促進因子|有糸分裂促進剤
intensification	強化|増大
carafe	ガラス瓶
liver	肝臓|レバー|きも|茶褐色|の生活者
mistletoe	ヤドリギ
tryout	適性試験|テスト|オーディション
surmise	推測(する)
stagecoach	駅馬車|郵便馬車
manageability	扱いやすいこと|処理しやすいこと
soundproof	防音の|〈部屋・建物など〉‘を'防音する
bramble	イバラ(植物)
homogenous	均質な
policyholder	保険契約者
tidewater	潮水(海岸・河口に差してきた潮水)|海岸地方
expendable	消耗の
follicular	濾胞(ろほう)|動物の組織にある完全に閉じた袋状の組織
shiner	宝石
gonorrhea	淋病(病名)
lawmaker	立法者|legislator|(国会)議員
flavorful	風味豊かな
cosponsor	(議案の)共同主唱者(提案者);共同スポンサー|〜‘の'共同主唱者(提案者)になる|共同スポンサーになる
