redden	赤くする
caveman	洞窟人|穴居人
polyphony	(音楽で)対位法|多声音楽
flywheel	(回転を助ける)はずみ車
canonization	列聖|列聖式
expiation	〈U〉(罪などの)償い|埋め合わせ|〈C〉(罪などの)償いとなること|償いの手段
sauerkraut	ザウアークラウト(塩漬けにして発酵させたキャベツ)
repatriate	本国へ帰す|本国へ送還する|引揚者
doomsday	最後の審判の日|この世の終わり(the Judgement Day)|地球最後の日
weirdness	凄味|奇異さ|不気味さ
druggist	=pharmacist|ドラッグストアの経営者|薬屋
coniferous	球果を結ぶ|松かさをつける
unfasten	〈結んだもの・締めたもの〉‘を'解く|緩める;開ける|〈自〉|〈結んだものなどが〉解ける|緩む
intemperance	不節制;暴飲[暴食]
fatalistic	運命論者
playroom	遊戯室
teachable	(学科などが)教えることができる;(人が)よく教えを聞く
poco	(音楽などで)やや|少し
telescopic	望遠鏡の;望遠鏡で見た|(目など望遠鏡のように)遠くが見える|遠目の利く|(望遠鏡のように)伸縮自在の|たたみ込み式の
ingot	(金属の)鋳塊|鋳棒
cad	育ちの悪い男|ごろつき|不良|手伝いの人|地元の人|町の少年
indefensible	弁明の余地のない
motile	自動性の|運動性の|運動型の
lave	〜‘を'洗う(wash)|浸す|〈流れなどが〉〈岸〉‘を'洗う
eugenic	優生学上の|優秀な子孫を残す
neglectful	不注意な
rightist	右翼の|右派|保守主義者
organelle	細胞器官
traditionalism	(宗教上の)伝統尊重主義
insensibility	(〜に対する)無感覚《+『to+名』》|(〜に対して)感受性のないこと|無関心《+『to+名』》|人事不省
undiminished	減じていない|衰えない
anthropometric	人体計測
expansionism	拡張論(政策)
extramarital	婚外性交の
irresolute	(人が)決断力のない;(議論などが)ぐずぐずした
hunchback	亀背|身体障害者
harpsichord	ハープシコード(ピアノ以前の楽器)
litigant	係争当事者
endothermic	吸熱の|吸熱を伴う
ladylike	貴婦人らしい|淑女にふさわしい;上品な|しとやかな
expeditious	急速な|迅速な
dramatization	脚色
phosphor	燐|(蛍)燐光体|蛍光体
buzzword	決まり文句|宣伝文句|キャッチフレーズ|(商売上･仲間内などの)専門語
censer	(特に教会の儀式のときに用いる鎖のついた)つり香炉
healing	ヒーリング|回復する|治療の|回復|治癒|治療
proteasome	プロテアソームはタンパク質の分解を行う巨大な酵素複合体|細胞周期制御|免疫応答といった細胞中の様々な働きに関わる
fairyland	おとぎの国
undershirt	アンダーシャツ
spheroid	回転楕円体(面)
supercilious	おうへいな
farmstead	(土地・建物を含めた)農場
anthropomorphism	擬人説|神人同形法(人間以外のもの|特に神に人間の形態・属性があるとする説)
corny	つまらない|古くさい|ださい|穀物の
massif	中央山塊
credibly	信用できて|確かな筋から
levator	挙筋|(きょきん|まぶたや唇など|身体の部分を持ち上げる働きをする筋肉)
reputedly	評判では
revivalist	信仰復興論者
unfurl	(帆|旗などを)広げる
arthritic	関節炎患者|関節炎の
nullity	〈U〉(法律上の)無効;〈C〉(文書・行為などの)法律上無効のもの|〈U〉無;無力|無意味|〈C〉つまらぬ人(物)
reclusive	孤独好きの|わびしい|寂しい
recline	もたせかける|もたれる|寄り掛かる|横になる
gerund	(文法)動名詞
footer	フッター(脚注)
individualize	に個性を与える
plucky	勇気のある|元気な|断固たる
herewith	これとともに|同封して|この機会に|これによって
springy	弾力がある|泉の多い
calorimeter	熱量計
betel	キンマ(東インド産コショウ科の植物)
legibility	(文字が)読みやすいこと
trachomatis	Chlamydia trachomatis(クラミジア･トラコマチス)|主に目と性器に感染するクラミジア(真性細菌)の一種
mouldy	=moldy
reliquary	聖骨箱|遺物の
ampere	アンペア(電流の強さの単位;《略》amp.)
shortsighted	近視の|先見の明のない
demystify	の神秘(あいまいさ)を除く|なぞを解く
broomstick	ほうきの柄
headwaters	(川の)源流|上流
punctually	時間(期限)どおりに
striatal	線条体
bellum	(ラテン語)戦争|戦い|(Si vis pacem|para bellum|汝平和を欲さば|戦への備えをせよ)
inclement	厳しい|険悪な|寒さやあらしのひどい|苛酷な
misinform	に誤りを伝える|誤解させる
delightedly	嬉しがって|喜んで|嬉しそうに
abjure	宣誓して捨てる
scatterplot	散布図
genitourinary	泌尿生殖器の
oboe	オーボエ
hijack	乗っ取る|強奪する
bicameral	(議会が)二院制の
clayey	粘土の|粘土質の
fivefold	5倍の|5重の|5倍に|5重に
jettison	船外投棄|捨てる
porphyry	斑岩 (ex|a porphyry that has a phenocryst of quartz or orthoclase 石英や正長石の斑晶を有する斑岩
overpass	高架道路|歩道橋|跨線橋
tannery	なめし革工場|皮なめし|皮なめし工場
regency	摂政の|執権職|摂政時代|摂政政治
unread	(書物が)読まれない|学問のない
proteolysis	タンパク質分解
prayerful	祈りを込めた|信心深い
statesmanship	政治家魂|政治家の資質|政治的手腕
dreamless	(眠りが)夢を見ない
frill	フリルを付ける|フリル
quince	マルメロ(の実)|西洋カリンとも呼ばれる
italic	(活字が)イタリック体の|《複数形で》イタリック体活字|斜字体
breakaway	離脱(した)|分離(的な)
linebacker	ラインバッカー(守備の選手)
operon	オペロン(Operon)|一つの転写因子によって同時に発現が制御される複数の遺伝子が存在するゲノム上の領域|あるいはその複数の遺伝子の組のこと
imperiously	傲然と|横柄に|専制的に
overexpressed	過剰発現された
albatross	執拗な心配のもと|アホウドリ(航海中にこの鳥が飛ぶと嵐の前兆とされた)|アルバトロス(parより3打少ない|ゴルフ用語)
aspectual	(動詞の)相の
beefy	肥満した|たくましい
monophosphate	一リン酸塩|食品添加物ほかに使用される
tumorigenesis	腫瘍形成
mourner	哀悼者|会葬者|ざんげ者
indecency	わいせつ|みだら
roundtable	ラウンドテーブル
fidgety	落ち着かない|せかせか(そわそわ)している|(細かいことにうるさく)気難しい
newsworthy	報道価値のある
cobweb	クモの巣
uncountable	数えられない;無数の(numberless)|不可算名詞(おもに抽象名詞・物質名詞で不定冠詞(a|an)をつけることなく|また複数形にならない)
sundial	日時計
auscultation	聴診
armband	腕章
critter	生き物|動物|人|家畜|(神話の)奇妙な動物
tricycle	三輪車
moodily	不機嫌に
denouement	(劇などの)大円団|終局|解決|やま|こみいった事件の結末
iambic	(韻律で)弱強格の|=iambus|《複数形で》弱強格の詩
firebrand	たいまつ|燃え木|扇動者|(激情を)あおる者|火つけ役
muscarinic	ムスカリン性の|ムスカリンの|ムスカリン作用薬(神経伝達作用薬)
ream	(ríːm)リーマーで穴を仕上げる|搾り器(reamer)で(果物を)搾る
pediment	ペディメント|古代建築の三角形の切妻壁(gable)
calamitous	災難を伴う|不幸な|災難の多い|いたましい
centralize	中央集権化する|中心に集める
guano	グアノ|鳥糞石|人工肥料
androgynous	雌雄両性の|(同一花序に)雌雄両花のある|男女両性の
gynecologist	婦人科医
capstone	かさ石|冠石
combust	燃やす
titter	クスクス笑い|パイかぶれ|女好きの男|忍び笑い|クスクス笑う|忍び笑いをする|クスクス笑いながら言う
breakneck	危険きわまる
conifer	針葉樹|球果植物
clearing	手形交換|清掃
swag	みやげ品|花飾り|貴重品|盗品|密輸品|だらりと垂れる|沈む|ゆすぶる
uncircumcised	割礼を受けていない|ユダヤ人でない|異邦人の|異教[徒]の
vexatious	いらだたしい
synergistically	相乗的に
monomeric	単一遺伝子性の|単量体の|(反)multimeric|polymeric
haughtiness	高慢|傲慢
uncorrected	訂正されていない
catabolic	(生物学)異化作用の(生物が外界から摂取した物質を化学的に分解し|より簡単な物質に変える反応)|(反)anabolic
predicative	断定的な|断定する|叙述的な|述語|叙述語
harpy	ハーピー(顔と体が女で鳥の翼とつめを持った貪欲な怪物|ギリシア神話)
oilfield	油田
butternut	バターナッツ(クルミの一種);その木
dowel	目くぎ|合わせくぎ|くぎではめる
carbonation	(特に飲料の)炭酸ガス飽和
wizened	しなびた
haplotype	haploid genotypeハプロタイプ|HT(半数体の遺伝子型)|男性のY染色体のHT(ペアがなく乗換えがなく父から息子へ伝承)は父系の調査に|ミトコンドリアDNAのHTは母系の推定に使用
partway	ある程度;途中まで
unspoiled	損なわれていない|甘やかされていない|昔のままの
wraparound	端を重ね合わせて着る衣類(巻きスカートなど)
malleability	(mˈæliəbl)|展性(箔に広がる性質|cf|引っ張って伸びる性質は延性ductilityという)
whoa	どうどう(馬を止める)|そこまで
footwork	フットワーク
gaoler	=jailer
sitting	座(ってい)ること
bookish	本好きの
concordant	一致した
backwoods	(特に北米の)森林地帯|辺境
cephalic	頭蓋(ずがい)の
swill	がぶがぶ飲む|痛飲
calling	職業|転職|点呼|召集
unshaken	揺れない|びくともしない
helmsman	操舵手
adjournment	休会|休止
pockmark	あばた
muffler	マフラー
spoof	いたずらにだますこと|いたずらにだます
befuddle	混乱させる|泥酔させる
oracular	神託(託宣)の(ような)|威厳のある
reinvest	を再び投資する,再投資する
zeitgeist	時代精神|時代思潮
obsess	(悪霊･妄想が)～に取り付く
testicle	精巣|コウ丸|睾丸
confluent	合流する|支流
resurgent	よみがえる|蘇生する|復活する|生き返った人
ramus	(器官)枝|(鳥)羽枝(うし)|脊椎動物の下顎枝|Ramus(人名)
aphid	アブラムシ
locator	賃貸人|権利者|位置を示すもの
adulteration	〈U〉混ぜ物をすること|〈C〉粗悪(不良)品
inshore	海岸に近い|近海の;海岸に向かう|海岸に向かって
guava	グアバ|熱帯性の低木で果実は食用|飲用になる|(Google Guava)|Javaのプログラミングで共通して使われるライブラリをまとめたもの
dastardly	卑劣な
shackle	手かせ足かせ
honk	(警笛)を鳴らす|ガンが鳴く|(警笛)が鳴る
interweave	織り合わせる
magnetically	磁気によって|磁気を帯びて;人を引きつけるように|魅力的に
sisterly	姉妹の;姉妹のような;仲のよい
oratorical	演説の|雄弁の|雄弁家の|雄弁家ふうの
couture	高級婦人服仕立て|ドレス･メーキング|ファッションデザイナー|婦人服
scholasticism	(中世の)スコラ哲学
geomagnetic	地磁気の
turntable	回転盤
clozapine	クロザピン|統合失調症の治療薬|非定型抗精神病薬である
curable	治癒できる|直せる
drawdown	(井戸･貯水池などの)水位低下|一時的電圧降下|ローンの借用総額|削減|縮小
quintessence	精髄|神髄|典型|本質
hobo	渡り労働者|浮浪者|ルンペン
chirality	キラリティー(chirality)は3次元の図形や物体や現象がその鏡像と重ね合わすことができない性質(例|左右の手)|キラリティがあることをキラル(chiral)という
toothy	歯を見せる
sardonically	冷笑的に|皮肉に
gratis	無料で|ただで|ただの
jackpot	積立賞金|積立掛金|(俗)大当たり|賭事の大当たり
pap	子供だまし
typographical	印刷(術)の
calcination	か焼(かしょう)(石灰を焼いて生石灰にすること)
aggrandizement	大きく見せること|誇張すること
cardiorespiratory	心肺の
upbraid	叱責する|とがめる|しかる
pidgin	混成語|2つ以上の言語を「いいとこ取り」し単純に合成した語
learning	学問|学識学習
redheaded	赤い頭をした|赤毛の
splay	外側へ広がった(開いた)|ぶざまな|ぶかっこうな|斜面|隅切り(窓や扉の両側面の壁が傾斜した部分)|〜‘を'広げる|伸ばす|〜‘を'斜めにする;〈窓や扉[の壁面]〉に斜角をつける
airily	軽やかに;快活に|浮き浮きして
turnkey	(刑務所の)看守|牢(ロウ)番
vegetarianism	菜食主義
deponent	(法廷における)宣誓証人
divalent	二価|二価の
scintillation	シンチレーション|きらめき|ひらめき|火花|閃光
fondle	かわいがる|愛撫する
filmy	(カーテン・氷など)非常に薄い|薄い膜のような|(湯気などで)うっすらとおおわれた
soothsayer	占い師|予言者
subpopulation	(科学･機械工学用語他)部分母集団|分集団
sunbeam	太陽光線
fluorescein	フルオレセイン|顕微鏡観察に用いられる蛍光色素の一種|他に色素レーザーの媒体|法医学における血痕の探索|色素追跡用などに広く利用される
sidearm	横手投げの|横手投げで|携帯武器(腰につけるピストル・剣など)
anemic	無気力の
memorably	印象的な
clamorous	騒々しい|喧騒
thankless	感謝されない|感謝の気持ちを表わさない|報いられない|忘恩的な|恩知らずの
barcode	バーコード
luckless	不幸な|不運な
snapper	鯛|フエダイ類
lithosphere	地殻
flagon	(食卓用または聖餐(せいさん)式用)細口びん|大型のぶどう酒びん
adiposity	肥満
mineralogy	鉱物学
busyness	多忙|忙しくすること|忙しさ
zona	ゾーン|地帯
caw	かあかあと鳴く|カーカー|カラスの鳴き声
rationalistic	合理主義的な|理性主義的な
ruthenium	ルテニウム(金属元素;化学記号は『Ru』)
pooh	ばかな! フン|くまのプーさん
erosive	浸食性の
mastiff	マスチフ(大型犬の犬種名」」)
bumblebee	マルハナバチ
simulacrum	幻影|面影|像|似姿|にせ物
plastid	プラスチド(色素体)|植物や藻類に見られ|光合成等の同化作用|糖や脂肪などの貯蔵|様々な化合物の合成などを担う細胞小器官の総称|葉緑体が代表的
meteorologist	気象学者
seafront	シーフロント|海に面した側|海岸通り|海岸遊歩道
cud	食い戻し|反芻動物が胃から戻して噛む食物
agitator	扇動者|かきまぜ機
frat	男子生徒|男子学生の社交クラブ(fraternityに由来)
apologetics	(キリスト教を弁護する神学上の)護教論|弁証論|擁護論(術|学)
stably	しっかりと|安定して
cleaver	包丁|肉切り包丁
splenomegaly	巨脾症|脾腫(ひしゅ)
boathouse	艇庫;ボート小屋
diffident	内気な|自信がない|遠慮がちな|おずおずした
lacrosse	ラクロッス|ラクロス(ホッケーに似た球技)
sclera	鞏膜(きょうまく)(角膜とともに眼球をおおっている堅くて白い膜)
aminotransferase	アミノトランスフェラーゼ|アミノ基転移を引き起こす酵素(アミノ基をアミノ酸から他の化合物に変える)
perfuse	(医)灌流する(臓器や組織に液体を流すこと)|灌流適用する
conjectural	憶測上の
oxidizer	オキシダイザー(ロケット燃料を爆焼させる酸素を生み出す物質)|酸化剤
inoculate	(人･動物にワクチンなどを)接種する|予防接種をする
bowstring	弓のつる
gravitas	きまじめさ|実直さ
antisense	(生化学)アンチセンス|「遺伝子配列に相補的で機能を失わせるような」の意
subcutaneously	皮下に
prognostication	予言|予測|前兆
putatively	推定上|一般に考えられられているところでは
infest	〈害虫・盗賊などが〉‘に'横行する|はびこる
gamete	(生物)配偶子|生殖体(高等動物の卵と精子の総称)
transiently	一時的に
codeine	コデイン(鎮痛・催眠剤)
landfall	陸地接近|地滑り|山崩れ|圧勝
uppercase	大文字
burthen	=burden
diplomatist	外交的手腕のある人|《まれ》=diplomat
portage	運搬|運賃|連水陸送(陸路)
deliverable	配送品|配達可能な|到達可能な
glutinous	粘着性の
truncate	先端を切取る|切り捨てる
manicure	マニキュア|にマニキュアをする|(芝生を)刈り込む
bicker	言い争う|口論(する)
prohibitively	法外に
pumice	軽石|〜‘を'軽石で磨く
swathe	包帯
imperturbable	動じない|冷静な
remorseless	無慈悲な
underbelly	(動物の)下腹部(動物の最も柔らかい部分)|弱点|急所|泣き所
hooligan	ごろつき|悪党|不良|よた者|与太者
baba	ラム酒入りケーキ
vinaigrette	ビネグレットソース(酢･油･コショウ･香料などで調味したサラダ用のソース)|気付け薬入れ
weakling	弱虫の|虚弱者|弱虫|弱い
splurge	誇示する|収入以上の金を使う|贅沢にふける|散財する|大きな顔をしている|のけぞり返っている|贅沢三昧をする
scallop	ほたて貝
glutamic	グルタミン酸の|グルタミン(glutamine)はアミノ酸の一種
unfamiliarity	精通していないこと
persecutor	迫害する者
squeamish	ショックを受ける|気難しい|すぐに吐き気を催す
topless	上部のない|非常に高い
bullish	雄牛のような|頑固な|(株式市場)楽観的な|強気筋の
gastronomic	美食(法)の|料理法の
inlay	はめ込む
beachfront	ビーチフロント|浜辺沿いの
salami	サラミソーセージ
gainful	有利な
phospholipase	リン脂質を脂肪酸とその他の親油性物質に加水分解する酵素
denigration	侮蔑|名誉毀損|汚すこと
racer	競走者|レーサー|競走用自転車|競走馬
minimalism	ミニマリズム(1950年代に始まった形と色の極端な簡素化を強調した彫刻と絵画の芸術運動)
patronize	を保護･奨励する|をひいきにする|取り引きする
serotype	血清型
snigger	くすくす笑う|忍び笑い
benefaction	〈U〉慈善|寄進|寄金|〈C〉寄付金[額]
inconsistently	一貫性なく
kilter	好調
nonce	当面の目的|目下|当座|その場限りの|臨時の|性的異常者|強姦犯人|卑劣な奴|ばかげたこと
turbo	turbochargerターボチャージャー|内燃機関の熱効率を高めるために利用される過給機の一方式
mishandle	の取り扱いを誤る|へたにいじくる|まずく処理する|虐待する|手荒く取り扱う
farcical	茶番めいた|笑わせる|無益な
banshee	家族に死人のでることを泣いて予告する女の幽霊
troth	忠実|誠実|真実
speculator	投機師|思索家|投機家
antiquary	=antiquarian
pistachio	ピスタシオノキ|ピスタシオ(ナッツ)
bemoan	を悲しむ|嘆く
cosh	(武器として用いる金属・石などを詰めた)こん棒
feminization	女性化
conviviality	陽気さ|酒宴好き;お祭り気分
mutational	突然変異(性)の
reprogram	再プログラム(する)
unabashedly	恥ずかしがらずに
unfilled	満たされていない
marshland	湿地帯|沼沢地|沼沢地帯
