nebulous	曇った|不透明な|星雲上の|ぼんやりした|かすんだ|漠然とした
dilettante	好事家|芸術愛好家|美術愛好家|素人芸術家
ouija	ウィジャ板
vassal	(封建時代の)封臣|領臣|家来|召使|奴隷
kookaburra	カワセミ(=kingfisher)|水に飛び込んで魚を捕まえる|ワライカワセミは laughing kookaburra
lineal	直系の
gainful	有利な
droll	滑稽な|ひょうきんな
terrarium	陸槽(陸生動物・植物を飼育する容器)
methodically	念入りに
sustainment	保持|持続|整備|保有|確保|維持|メンテナンス|保守|扶養|補修
compote	〈C〉(果物・菓子を盛る)足付き皿|〈U〉砂糖づけ(砂糖煮)のくだもの
whomsoever	whomeverの強意形
viciously	道徳に反して|よこしまに|意地悪く|ひどく
skyward	空に向かって
suntan	(健康的な)日焼け
monogamous	一夫一婦の
inflame	に火をつける|を燃やす|を明るくする|を熱くさせる
hypersonic	(音速の5倍に及ぶ)極超音速の
indistinct	はっきりしない
nevirapine	a non-nucleoside reverse transcriptase inhibitor (trade name Viramune) used to treat AIDS and HIV
chlorination	塩素処理;塩素殺菌
presynaptic	シナプス前の
trachomatis	Chlamydia trachomatis(クラミジア･トラコマチス)|主に目と性器に感染するクラミジア(真性細菌)の一種
manus	ハンド|御手手|手|お手て|お手手|お手々|御手々
tenfold	10倍の(に)
bluefin	flesh of very large tuna|largest tuna; to 1500 pounds; of mostly temperate seas: feed in polar regions but breed in tropics|largest tuna|to 1500 pounds|of mostly temperate seas: feed in polar regions but breed in tropics
constrict	締めつける|圧縮する|押え付ける
bushido	traditional code of the Japanese samurai which stressed courage and loyalty and self-discipline and simple living
pilsner	a pale lager with strong flavor of hops; first brewed in the Bohemian town of Pilsen|a pale lager with strong flavor of hops|first brewed in the Bohemian town of Pilsen
knotty	もつれた(complicated)
speller	スペリングブック|綴り字教本|字を綴る人
phytophthora	疫病菌
limnology	陸水学
demagogue	扇動家|煽動政治家|民衆煽動家|デマゴーグ|民衆の指導者
tuft	ふさ|小さな房|小さい束|小さな丘
chancel	(教会堂の)内陣
crystallize	結晶化する|考えなどを具体化する
klutz	ぶきっちょ|のろま|どじ
bloodbath	血の海|血の粛正|大量殺戮(さつりく)|大虐殺(massacre)
inexorably	冷酷に|無情に|容赦なく
dissension	意見の相違|不和の原因|紛争
diopter	ジオプトリー(レンズの屈折力の大きさを示す単位)
geb	ゲブ
weft	(織物の)横糸
counterculture	反体制文化|反文化
sunshade	(店舗用)日よけ|(婦人用の)日がさ(parasol)
imidazole	イミダゾール|含窒素芳香複素環式化合物の一つ
falsity	事実に反すること|偽りの言葉|欺瞞|虚偽|不信行為|不正直|裏切り
appendage	添加物|付加物
crustacean	甲殻類の
geographer	地理学者
volant	with wings extended in a flying position
airwave	放送電波
dendrobium	デンドロビウム
ballgame	野球の試合
joist	根太
clairvoyance	千里眼|透視力
ductwork	配管
orthographic	of or relating to or expressed in orthography
oversea	海外の|海外へ|海外向けの
interlocutor	対話者|対談者
knick	小物
indwell	宿る|内に住む|内在する
fizzy	シューシュー泡立つ|発泡性の
bluegill	米国Mississippi川流域産のクロマス科の談水魚
perplexity	当惑|途方に暮れること|紛糾|混乱|難問|難局
lameness	跛行|gimp|片ちんば
stockist	特定商品仕入れ業者(会社)
cementitious	like or relevant to or having the properties of cement; "the adhesion of cementitious materials"|like or relevant to or having the properties of cement
bannock	《英・スコットランド》バンノック(オートミールを主体にした菓子パン;米ではトウモロコシを用いる)
couverture	chocolate that contains at least 32 percent cocoa butter
tightrope	綱渡りの綱
pithy	(文体が)力強い|簡潔な|簡潔にして要を得た|髄のある
birdcage	鳥かご|鳥かごのような場所|留置所
natriuretic	of or relating to natriuresis
mortise	ほぞ穴|切り組む|切り組む
hysterically	異常に興奮して|ヒステリー気味に
windsurf	ウィンドサーフィン
shortbread	ショートブレッド
blissfully	穏やかに
gratin	(仏語)グラタン
malign	有害な|悪性の
draftsman	製図係員|起草者|製図家(工)|立案者|デッサン画家
monsignor	(Roman Catholic Church) an ecclesiastical title of honor bestowed on some priests|an ecclesiastical title of honor bestowed on some priests
unpretentious	見栄をはらない
sounder	音響器
galvanic	(化学反応によって生じた)直流電気の|(笑い・動作などが)ひきつった|どきっとさせる
raze	完全に破壊する
oof	お金|強さ|現金|効力|ウーン|ウッ
cornflower	矢車菊|ヤグルマソウのほうが一般的|bachelor's button とも
parlance	語調
lethargic	(異常なほど)だるい|無気力の|不活発の
umlaut	母音変異|ウムラウト記号(¨)
dustbin	ごみいれ
marshland	湿地帯|沼沢地|沼沢地帯
nosocomial	院内
slob	泥|だらしなく薄汚い人
knell	(nél)|悲しみの鐘|弔いの鐘|鐘の音
misinterpret	の解釈を誤る
buckshot	鹿弾(バックショット)と呼ばれる装弾は|散弾(Shot)より大きな鉛の弾を飛ばすための装弾|鹿|猪などの大きな獲物用
isotherm	等温線
chalcedony	玉髄(半透明の石英の一種)
erasable	capable of being effaced; "the fire's worst scars were effaceable by a comprehensive program of reforestation"; "a signal too loud to be erasable in a single pass through the erase head"|capable of being effaced
suitor	請願者|原告|求婚者
cichlid	シクリッド
cruciate	shaped like a cross
masseur	男のマッサージ師
bevy	(小鳥などの)群れ|(少女などの)一団|グループ
lithosphere	地殻
scad	any of a number of fishes of the family Carangidae
