croon	低音の歌い声|小声で唄う|口ずさむ
ethology	動物行動学
midweek	週の真ん中
musketeer	銃兵
vouchsafe	〈返事・特典など〉‘を'賜る|与える
armorial	紋章の
longbow	大弓|長弓
affaire	通常|情事|不適な関係に使われる
bogie	ボギー(ゴルフ用語) (boggy|沼地は別語)
nimbus	(宗教画などの)後光 ・光輪・(人・もの・場所にただよう)輝かしいふんい気; 後光 (halo)・光輪; 栄光;雨雲
objectivism	客観主義|客観論
tureen	ふた付きの深皿
pugilist	(pjuː|dʒəl|ɪst) )(プロ)ボクサー|けんか(議論)好きな人
tromp	殴る|ぶちのめす|完敗させる|打つ
candidature	=candidacy
prig	堅苦しい人
hanker	あこがれる|こがれる|渇望する
neuroleptic	神経弛緩薬
workingman	働く人|労働者|労務者|職人|工員
literalism	文字通りに解釈すること|直訳調|写実主義
thiazide	チアジド|心臓|肝臓|腎臓病による高血圧や浮腫を治療するために使われる利尿剤
keratinocyte	ケラチノサイト|角質細胞|ケラチン生成細胞|角化細胞|ケラチン細胞
vaporous	蒸気が充満した|蒸気を出す|霧のかかった|はかない|空想的な|妄想的な|誇大な|実質のない
liquorice	=licorice
headpiece	兜|帽子|頭|頭脳
liveried	お仕着せ(livery)を着た|そろいの服を着た
metalworking	金属細工術
overdraw	〈預金・限度額など〉‘を'超過して借りる;〈小切手〉‘を'過振りする|〜‘を'誇張して描写する
sexless	男女の別のない|性的魅力のない|セックスレス
tipple	(恒常的に)酒を飲む|アルコール飲料
ammeter	電流計
bangle	腕輪|くるぶし飾り
vole	ハタネズミ(小型のネズミ族の総称)
longboat	長艇
suffuse	満たす
prejudge	前もって判断する
woodcock	ヤマシギ
buttercup	キンポウゲ(春に美しい花をつける植物)
howsoever	たとえ〜でも
leprous	ハンセン病(らい病)にかかった;ハンセン病の|らい病の
unchristian	(宗教が)キリスト教でない|キリスト教的精神に反する
chiaroscuro	(イタリア語)キアロスクーロ|白と黒のスケッチ (light and dark)
futurism	(芸術の)未来派
prevaricate	言い紛(まぎ)らす|言い逃れる|うそをつく|お茶を濁す
foist	(偽物など)を人につかませる|押しつける|そっと挿入する|偽って～の作だとする
arty	芸術家ぶった(気取りの)|芸術品まがいの|こりすぎた
skylark	ヒバリ|ばか騒ぎする
gazer	見詰める(凝視する)人
shortlist	最終選抜候補者名簿|〈人〉‘を'最終的選抜候補者名簿に載せる
photocopier	写真複写機
amusingly	面白おかしく
coastguard	《集合的に》(米国の)沿岸警備隊|(またcoastguardsman)(個々の)沿岸警備隊員
hemochromatosis	ヘモクロマトーシス|血色素沈着症|血色素症
shabbily	みすぼらしく;卑しく
trilateral	三辺の|三者から成る|三辺形
undersecretary	次官(deputy secretary|大臣|長官の補佐)|政務次官
assize	〈U〉判事と陪審員による裁判|《複数形》《英》巡回裁判(ロンドンから定期的にイングランドの各州に裁判官が派遣されて行う裁判)
libitum	自由
gaffe	(特に社交･外交上の)失敗|へま
tenon	(木工で)ほぞ
slinky	しなやかな|セクシーな|腰をくねらす|内緒の|コソコソした
sorbet	シャーベットsherbet
fibril	小繊維|根毛
ideologue	イデオロギーの信奉者|空論家|夢想家
haemodynamic	血行動態
croft	(屋敷続きの)小農園;(家畜数頭を飼育する程度の)小牧場|(小さな)小作地
recalcitrance	手に負えないこと|強情|反抗
raga	ラーガ(インド音楽の旋律の一つ;その曲)
pleb	庶民
creeped	(女性が男性に対し)気味が悪い感じ|這い回るような
mimeo	=mimeograph
bobble	ふらつく|よろめく|へまをする|(野球)打球をとり損なう|ファンブルする
jailhouse	刑務所
sportsmanship	スポーツマン精神|スポーツマンシップ
meshwork	網細工
sprocket	鎖歯車の歯|=sprocket wheel
villus	絨毛
trophoblastic	絨毛(性の)|栄養膜の
thiosulfate	チオ硫酸塩|チオ硫酸塩は自然に存在する化学物質で|「チオ」は硫酸イオンの酸素原子が硫黄原子で置換された「S₂O₃²⁻」 を含む塩を示す
shibboleth	シボレテ(聖書で|ギレアデ人がshの音を発音できないエフライム人を区別する目的で発音させた言葉);ある集団を特徴づける習慣・言葉遣い・昔は重要であったが現在では重要性のない表現や習慣
rouble	=ruble
pundit	専門家|博学者|インド人の賢者|博識者
bailey	外壁|城の中庭
seabird	海鳥
underclothes	下着|肌着(underwear)
ukulele	ウクレレ
optician	(特に)眼鏡商|光学器機商
malinger	(特に軍務|労働などを避けるために)仮病を使う
marsupial	有袋動物|有袋目の|袋(状)の
amortize	(無形固定資産などを)償却する
cogency	(理由・議論などの)説得力|なるほどと思わせること
vilification	悪口|中傷
mealy	(míːli)(mealier|-iest)粉状の|粉(こ)を吹いた(mealy potatoes粉吹きジャガイモ)|食事を含んでいるか食事でできている(containing meal or made of meal)
diamagnetic	反磁性の|逆磁気の
urology	泌尿器科|泌尿器科学
arrogate	(自分の物に)〈権力・特権など〉'を'不当に帰する(占める)《+『to』 one『self』+『名』》|(自分に)〜‘が'あると理由もなく言う《+『to』one『self』+『名』》
lunate	三日月形の
vim	精力|気力|活力
loopy	愚かな
swordsmanship	剣術の腕前;剣術|剣道
estrange	遠ざける|引き離す|の心を離す|の仲を裂く|疎遠にする
antennal	触角の
pedophilia	小児性愛
cabana	(海辺やプールサイドの)簡易更衣所|小屋
sportswear	スポーツウェア|運動着
bloat	ふくれさせる|ふくれる|慢心する
chloroquine	(医)クロロキン(抗マラリア薬|アミノキノリン系)
resuspended	再懸濁
antifreeze	不凍液
foremast	前檣(ぜんしょう)
loveable	(=lovable)|愛らしい|愛すべき
splat	薄い平板
doh	(音階の)=do
qualm	(kwάːm)良心のとがめ|不安
mandamus	(上級裁判所から下級裁判所への)職務執行令状
toenail	足指の爪|斜めに打ち込んだくぎ|丸カッコ|くぎを斜めに打ち込んでを固定する
phenotypically	表現型(肉眼で見える生物の形質)
helmeted	ヘルメット(かぶと)をかぶった
spiritless	元気のない
chondroitin	コンドロイチン|動物体内にみられるグリコサミノグリカン(ムコ多糖)の一種
lanthanum	ランタン(希土金属元素;化学記号は『La』)
overtop	〜‘の'上にそびえる|〜‘より'高い|〜‘より'すぐれる
dirk	(特にスコットランド高地人の)短刀
chauvinist	偏愛主義者|狂信的愛国主義者
suspenseful	サスペンスに満ちた
overmaster	〜‘を'圧倒する|克服する
predetermine	を予定する|を運命づける
flippancy	軽薄|軽薄な言葉(行為)
rigueur	(仏)絶対条件|厳格|厳しさ
puffin	ツノメドリ(はでなしま模様で三角の口ばしを持つ海鳥)
pulverize	(議論などを)粉砕する|粉にする|粉々に砕く|液体を霧状にする
barnacle	フジツボ (acorm barnacle|rock barnacleなどはフジツボ目の総称)
brioche	ブリオッシュ(小麦粉・卵・イースト・バターなどで作る軽くて甘い菓子パン)
icebox	冷蔵庫|アイスボックス
letdown	減少|(気の)ゆるみ|失望|(空)(着陸前の)下降
kamikaze	神風特攻隊のような|無茶な
