acute	鋭い|激しい|緊急の|急性の|ひどい|重大な
advocate	弁護する|擁護する|主張する|弁護士|支持者|運動家
forgive	許す|借金を帳消しにする
involvement	関わり|巻き込むこと
reputation	名声|世評|評判|好評
captain	キャプテン|船長
permanent	永久の|(半)永久的な|永続する|耐久の|常設の
destruction	破壊|破滅
helpful	助けになる|役立った|有用な|役に立つ
corporation	社団法人|株式会社|法人|公団
rough	手触りの荒いもの|でこぼこの|ざらざらした|毛深い|荒れた|未加工の|乱暴者|スケッチ|下書き
pulling	引いている
curse	呪う|冒涜する|呪い(の言葉)|悪態|悪口(を言う)|破門する
softly	柔らかに|柔らかく|静かに|優しく
angel	天使
crazy	気がくるった|無茶な
tour	ツアー|周遊する|旅行する|巡業する|観光旅行
folk	(特定の)人々|town folk 町の人たち|(people のほうが一般的)
massive	がっしりした|大きな塊になった|大きく見える|充実した|大きく重い|壮大な
welfare	福祉|厚生|幸福|社会事業|福祉補助を受けている
plastic	プラスチック(の)|ビニール(の)
graduate	卒業する|卒業生|大学院生
electric	電気の
loose	ゆるい|しまりのない|容器に入っていない|自由な|矢離れ|結末|成り行き|放つ
license	鑑札|許可証|免許(証)|気まま|破格|に免許を許す
disability	障害|身体障害
commission	任務|依頼|委員会|手数料
holy	信心深い|神聖な
curious	好奇心の強い
anywhere	どこにも|どこかに
potentially	潜在的に
friendship	友情
southern	南方の|南の|南へ行く|南からの
beast	けだもの|獣|畜生|動物|牛馬|家畜|獣のようなやつ|人でなし
correlation	関連|相関|相互関係
regret	を後悔する|残念に思う|後悔|遺憾
instrument	手段|器具|法律文書
prince	王子|王|皇族|皇子|プリンス|公爵|君主
achievement	達成|業績
elect	(投票によって)選ぶ|選挙する|決心する|当選した|選ばれた人|選民
circuit	回路|迂回
scatter	散乱させる|をまき散らす|散らす
array	陣列|隊列|装い|整列させる
sensor	センサー(光･熱･音などに反応する感知器)
retreat	引退|避難所|退却|退却の合図|撤退する|避難(所)
pitch	ピッチ|程度|投げる|(テントを)張る
