facetious	冗談の|滑稽な|ひょうきんな|愉快な
dressmaking	婦人服仕立[業]|洋裁
integrase	インテグラーゼ|ウイルスDNAを細胞染色体につなぎ合わせる酵素
civilly	ていねいに|礼儀正しく
unhurt	けがのない|害を受けない
incredulity	容易に信じないこと|疑い深いこと
rebuff	そっけない拒絶|拒絶(する)|ひじ鉄砲(を～に食わせる)|挫折させる
epididymis	精巣上体 (精子を蓄え|精管へ送り出す精巣内の管)
colorblind	色盲
obligee	債権者|権利者|恩を受けた人
instinctual	instinctive|本能の|本能的な|天性の|直覚的な
exhumation	発掘
shorebird	海辺の鳥(クサシギ・タシギ・チドリなど)
businesslike	実務的な
begrudge	出し渋る
netizen	ネット空間の市民の意|ネット利用者
diacritical	区別に役立つ;発音を区別する
landward	陸の方へ|陸に向かって|(海岸から離れて)陸地寄りにある|陸に面した;陸地の方へ向かう
amusingly	面白おかしく
ostentatious	見せびらかしの|これみよがしの|見栄を張る|けばけばしい
tannic	タンニンの;タンニンから得た
radiosonde	ラジオゾンデ(気球からの電波で上空の気象を知らせる装置)
snigger	くすくす笑う|忍び笑い
mooch	(俗くそったれ|素人投資家|だまされやすい奴|バーゲン商品をあさる客|くすねる|ずる休みする|ねだる|ぶらつく|知らん顔をする
sacrum	仙骨(腰椎(ようつい)と尾骨の間の骨)
neurotoxin	神経毒
ratepayer	地方税納税者
gnarl	(木の)節(ふし)|こぶ
silverside	トウゴロイワシ(縞模様がある小型の魚)|(主に英国)牛のもも肉の上の部分
headwind	(船･飛行機などの)向い風|逆風
hurler	投手
piebald	(特に馬などが)白黒まだらの|(特に)白黒まだらの馬
unawares	不意に|思いがけなく
scornful	冷笑的な|軽蔑した|横柄な
vitriolic	辛らつな
offscreen	画面外の
newfangled	新奇の|新式の|最新流行の
crosswise	十字に|すねて
coinfection	同時感染
overstay	国内在留期間切れで不法に残る人|長居する|売り時を逃す|売り時を失する
tuneful	旋律の美しい
disillusion	幻滅
ablative	奪格|名詞の格の一つで|主に起点･分離(～から)を示す
barbarity	〈U〉野蛮|非道|〈C〉野蛮な行為|残虐行為
abbess	尼僧院長|修道女の長
mescaline	メスカリン(メスカルより採取した幻覚作用のある薬)
humdrum	単調な|退屈な|平凡な|退屈な話
telomeric	テロメア(telomere)の
capitulate	降伏する|抵抗をやめる|交渉する|屈服する
commonweal	公共の福利(福祉)
fatness	肥満
mincer	ひき肉機
bookbinder	製本屋
macron	長音符(記号)(母音の上につけて長母音を示す)
offstage	舞台裏|舞台横の(で)
paintwork	(自動車などの)塗装された面
censer	(特に教会の儀式のときに用いる鎖のついて)つり香炉
fixedly	しっかりと固定して;動かさないで
feebly	弱々しく
prurient	好色な|いん乱な|わいせつな
swage	型鉄|〜‘を'型鉄で曲げる(型をつくる)
nightshift	〈C〉(昼夜交替制の)夜勤[時間]|〈U〉《the ~》《集合的に》(工場などの)夜間労働者
defecation	脱糞|排便
threadbare	(衣服などが)すり切れて糸目の見える|着古した|(人が)みすぼらしい身なりの|陳腐な|言い古された
uneconomic	むだづかいをする|浪費の|不経済な
pillory	さらし台|さらし台にさらす
excreta	排出長(汗・尿・便など)
crewel	ししゅう用の毛糸
militate	不利に作用･影響する
overstep	の度を超す|行き過ぎる|踏み超える
interrelation	(〜の間の)相互関係《+『between』+『名』》
conveyer	コンベヤ|運搬人|運搬機|運搬装置|輸送装置|伝達者|譲渡人
piffle	センスのないくだらん話
parolee	仮出所者
festoon	花づな|花綱(で飾る)
fatherly	父の|父らしい|慈父のような
clavicle	鎖骨(collarbone)
reprove	に小言を言う|を叱る|非難する|意見する
caricaturist	[風刺]漫画家
talcum	=talcum powder|=talc
palatal	《名詞の前にのみ用いて》口蓋(こうがい)の|(子音の発音が)硬口蓋音の|硬口蓋音
anatomist	解剖学者
ductility	引き伸ばせること|《文》従順
bugler	らっぱ手|らっぱ吹き
licentiate	(特に大学の発行する)免許状所有者|開業有資格者
permute	〜‘の'順序を変える|(数学で)〈数〉‘を'置換する
inflammable	可燃性の
antonym	反意語|反義語
nougat	ヌガー(木の実がはいった砂糖菓子)
multifactorial	(生命科学)多因子性の
unheeded	注意されない|重大な結果を招く
biped	2足ある|二足動物
reviser	校閲者|監修者;校正をする人|再履修者
antiquary	=antiquarian
mantissa	(対数の)仮数
skittish	(馬などが)ものに驚きやすい|ものおじする|(女)はねっ返りの|おてんばな
nacelle	(飛行機の)機関室|乗務員室
sacrosanct	特に神聖な|至上神聖な|犯すべからざる
revetment	(石やれんがの)擁壁(ようへき)|(特に)護岸舗装
whacky	=wacky
legalism	お役所的形式主義|規則一点張り|法律上の事柄|法律尊重主義|法律問題
negus	ニーガス酒(ワイン・湯・砂糖・香料などを混ぜて作った飲料)
netherworld	下界|地獄
prostration	へばり|意気消沈|衰弱|平伏
