inundate	水浸しにする|氾濫させる|充満させる
uncleanness	不潔[さ]
foldout	(雑誌などの)折り込み写真
ritzy	きざな|贅沢な|とてもハイカラな|デラックスな|高級な|豪華な|豪勢な|豪奢な|俗物の|優雅な
jingo	好戦的愛国主義者
deportment	《米》(特に若い女性の人中での)態度|ふるまい(behavior)|《英》(特に若い女性の)立ち姿|歩く姿
quotidian	日々の|ありふれた|平凡な
steelwork	鋼鉄製品;鋼鉄部品
freeholder	土地・不動産自由保有権者
invidious	しゃくにさわる|不愉快な|ねたましい
abortus	流産児
cager	バスケットボール選手
outtake	技術上のミスなどの理由でフィルムやテープから削られた部分|引用(文)|抜粋
shitload	大量のもの
birddog	鳥猟犬
transience	一時的であること|はかなさ
seraphic	天使のような;気高く神神(こうごう)しい
malevolence	(məlévələns)悪意|敵意
aeronautic	航空の|飛行の|飛行船操縦者の
alcalde	(スペイン・米国南西部で)司法権を持つ市長
judicature	〈U〉司法[権]|裁判[権]|《集合的に》裁判官
antsy	じっとしていられない|そわそわした|不安な|(性的に)むらむらしている
premed	医科大学予科(生)|医進
lymphoproliferative	リンパ増殖
committeeman	(委員会の)委員
shoeshine	みがいた靴の艶|靴を磨くこと|靴磨き(人)
libation	献酒|神酒|(おどけて)祝い酒|飲酒
miasma	(沼沢地などから発生)毒気|瘴気(しょうき)|悪影響を与える雰囲気
interactor	インタラクター|相互作用物質
plasmin	プラスミン|タンパク質分解酵素(プロテアーゼ)の一種|フィブリンやフィブリノーゲンを分解して血栓を分解する
blackball	〈人が組織の一員になること〉‘に'反対投票する|〈人〉'を'排斥する|村八分にする|反対投票[古代ギリシアで黒い球で反対の意を表したことから]
angiosperm	被子植物|顕花植物|(種子植物のうち|胚珠が子房に包まれ受精後結実するもの|反:gymnosperm)
nonchalantly	無頓着に|冷淡に|無関心に
trespasser	[家宅]侵入者;違犯者
kvetch	(kvétʃ)|不平|不満をいう|愚痴をこぼす|不平|苦情|愚痴
trammel	馬かせ(馬に側対歩を教えるときに使う足かせ)|《複数形で》(自由を)拘束するもの|束縛|障害|〜の自由を拘束する|‘を'束縛する
irresponsibly	無責任に
chorea	舞踏病(顔面筋および四肢のけいれんを起こす神経系の病気)
oligomer	モノマー(単量体)が少数結合した重合体がオリゴマー(oligomer)|ダイマー(dimer|二量体)|トライマー(trimer|三量体)|テトラマー(tetramer|四量体)等|多数の重合体はポリマー(polymer)
millivolt	ミリボルト(1ボルトの1000分の1)
tkt	ticket
kaftan	=caftan
gruel	罰する|かゆ
transgressive	慣習に逆らう
decriminalization	非犯罪化
muggy	むし暑い
loofah	(体を洗う)ヘチマ|ヘチマの海綿状繊維|ヘチマ布巾
seersucker	シアサッカー(しまのある縮れた薄織りリンネル･紳士用スーツ生地)
knowable	近づきやすい|理解できる
