epididymal,精巣上体の（医療）
hydrous,水和した（化学）
tizzy,混乱状態（俗語）
hollyhock,アオイ（植物）
concision,簡潔さ（古語）
icehouse,氷倉
bombardier,砲兵
libelous,名誉毀損の
lumpectomy,乳房腫瘍摘出術（医療）
manageability,管理可能性
nonaggression,非侵略
carouse,酒盛りする（古語）
molder,腐る（古語）
hullabaloo,大騒ぎ（俗語）
monotheist,一神教徒
overawe,威圧する（古語）
woodchuck,アメリカマーモット
clubfoot,内反足（医療）
vindictively,復讐心で
yada,など（俗語）
bunion,外反母趾（医療）
prohibitory,禁止する（古語）
illusionist,手品師
virulently,悪意に満ちて
indirectness,間接性
latchkey,ラッチキー
sycophantic,おべっかの（古語）
reduplicate,重複する（古語）
sepal,萼片（植物）
hoarding,囲い（古語）
intaglio,エングレービング（彫刻）
horsewhip,馬鞭
ichor,神の血（古語）
raffia,ラフィア（植物繊維）
tangibility,有形性（古語）
solarium,日光浴室
krona,クローナ（通貨）
cabriolet,カブリオレ（馬車・車）
verger,教会の管理人
dhoti,ドーティ（インドの男性用布）
appositive,同格の
colicky,疝痛の
immovably,動かせないほど
soja,大豆
bosun,水兵長
jokey,冗談好きな
oakum,古麻糸
absurdist,不条理派作家
rascality,悪ふざけ
squiggly,波線の
workpeople,労働者
outre,異様な
cepacia,セパシア菌
failsafe,安全装置
rheometer,流動計
unemployable,雇用できない
defeatism,敗北主義
huffy,怒りっぽい
valance,カーテン飾り
shindig,パーティー
inconsequent,重要でない
cytarabine,シタラビン（薬）
manumit,解放する
sweepstake,宝くじ
bounder,無作法者
wc,トイレ
oarsman,漕ぎ手
blinker,ウィンカー
unsaddle,鞍を外す
swank,見せびらかす
gunmetal,ガンメタル
trotter,足早に歩く人
battlefront,戦線
darksome,暗い
brigandage,盗賊行為
hardboiled,頑固な
southwesterly,南西の
schnitzel,シュニッツェル（料理）
whitecap,白波
semifinal,準決勝
backstreet,裏通り
unionize,組合を作る
indrawn,内に引き込まれた
simpleminded,単純な
cryostat,低温保持装置
misquote,誤引用する
misspend,無駄遣いする
uhm,うーん
mailer,郵便配達人
hyperosmolar,高浸透圧の
mannish,男っぽい
guerdon,報酬
straggle,散らばる
creaminess,クリーム状
messily,散らかって
noone,誰も〜ない
roguery,悪だくみ
collaborationist,協力者
fissionable,核分裂性の
supercargo,船荷監督
theretofore,それまで
admonitory,忠告的な
mender,修理人
pastrami,パストラミ（肉料理）
grebe,カイツブリ
bellboy,ベルボーイ
beheading,斬首
vinous,ワインの
wouldn,〜しなかっただろう［=wouldn’t］（口語）
waxwork,蝋人形
chartreuse,シャルトリューズ（色）
daylong,一日中の
palindrome,回文
disconcert,当惑させる
ramify,分岐する
ballgame,野球の試合
libidinous,好色な
chervil,チャービル（ハーブ）
alot,たくさん
penetrable,貫通可能な
sleaze,不正行為
sycophant,おべっか使い
bogy,幽霊
sidetrack,脇道に逸らす
roundel,円形のもの
wolfhound,ウルフハウンド
fogey,古風な人
balsa,バルサ材
snakeskin,蛇革
acanthus,アカンサス（植物）
playact,演技する
abscission,落葉
leastways,少なくとも
univalent,単価の
hummock,小丘
carminative,消化促進の
tremolo,トレモロ
durance,拘束
shamrock,シャムロック（クローバー）
aphoristic,格言的な
farrow,子豚を産む
kickboxing,キックボクシング
baklava,バクラヴァ（菓子）
frum,敬虔な
supersession,置換
moonbeam,月光
maintainer,維持者
plexiglass,プレキシガラス
rheumatology,リウマチ学
anaconda,アナコンダ
dept,部門
supererogatory,過度の善行
clomipramine,クロミプラミン（薬）
grandiloquent,大言壮語の
knockoff,模造品
predicable,述語可能な
moronic,愚かな
lyrically,詩的に
fumigant,燻蒸剤
vaccinia,ワクシニア（ウイルス）
postdate,後日にする
froward,反抗的な
mignonette,ミニョネット（花）
blowfly,ハエ
polyploidy,倍数性
weatherman,天気予報士
chasten,懲らしめる
lechery,好色
wheaten,小麦の
aerofoil,翼断面
meanderings,曲がりくねった道
potlatch,贈答儀礼
yucky,まずい
burgess,自治都市議員
natty,しゃれた
strudel,シュトゥルーデル（菓子）
mastership,支配権
puce,赤紫色
enchilada,エンチラーダ（料理）
yeasty,酵母の多い
backbite,陰口を言う
unmannerly,無作法な
drollery,滑稽さ
joss,神像
aniseed,アニスの種
formidably,手ごわく
obscurantism,難解主義
optative,希望の
mantilla,マントーラ（ベール）
taffrail,舷側手すり
garnishee,差し押さえられる人
stepchild,継子
extrication,救出
freethinking,自由思想
hardball,硬球
noncooperation,不服従
pard,ヒョウ
bondholder,債券保有者
abaft,船尾側に
concessive,譲歩的な
forepaw,前足
unruliness,手に負えなさ
popper,栓抜き銃
strongbox,金庫
trounce,打ち負かす
vandal,破壊者
wop,イタリア系蔑称
traipse,歩き回る
bifocals,遠近両用眼鏡
falconry,鷹狩り
anneal,焼きなます
lenity,寛容
megabyte,メガバイト
embitter,苦しめる
photojournalism,報道写真
baulk,ためらう
greaseproof,油防止の
horsewoman,女性騎手
wardship,後見
desiccant,乾燥剤
whereto,どこへ
dietetics,栄養学
floury,粉状の
outfall,排水口
bestiary,動物記
cockiness,生意気さ
gavage,強制給餌
macadam,舗装道路
camellia,ツバキ
bazooka,バズーカ
comber,櫛で整える人
billing,請求
ferryboat,フェリーボート
matriarchy,母系社会
requital,報復
aurochs,ウーロックス（野牛）
ductwork,配管
monied,裕福な
forewarn,事前に警告する
coequal,同等の
earthward,地表の方へ
pellagra,ペラグラ（栄養障害）
halitosis,口臭
alfresco,屋外で
princeling,小公子
serviette,ナプキン
wimpy,弱々しい
botch,しくじる
swimmingly,順調に
oversell,誇張して売る
adjoin,隣接する
mpg,マイル/ガロン
suburbanite,郊外住民
designator,指定者
misname,誤って名付ける
subcapsular,被膜下の
seminarian,神学校生
contrarily,逆に
soppy,べたべたの
marauder,略奪者
gunfighter,ガンマン
incorruptibility,不正不屈
muezzin,アザーン呼び手
mawkish,感傷的な
simony,聖職売買
dependably,頼りにできる
landmine,地雷
lodestar,指針
cubbyhole,小さな収納
hemagglutinin,赤血球凝集素
hindmost,最後尾の
jocularity,冗談好き
drachma,ドラフマ（貨幣）
basketry,かご細工
pusillanimous,臆病な
wisecrack,しゃれ
terminable,終了可能な
jocose,冗談好きな
headwind,向かい風
frameshift,フレームシフト
hoodoo,呪い
sonicated,超音波処理された
sophisticate,洗練された人
upholder,支持者
hoopla,大騒ぎ
shorty,背の低い人
antinomian,律法否定者
perinuclear,核周囲の
gorgon,ゴルゴン
surrealistic,シュールな
toucan,オオハシ
mistranslation,誤訳
ferrule,金属輪
whelk,ウバガイ
pollster,世論調査員
cirque,円形劇場
nearsighted,近視の
tauntingly,あざけるように
enterocyte,腸上皮細胞
sweetbread,仔牛膵臓
telluride,テルル化合物
urokinase,ウロキナーゼ
hallucinogen,幻覚剤
remount,再装着する
deplorably,嘆かわしく
elephantine,巨大な
orgiastic,狂乱の
loquacity,おしゃべり
mislabel,誤ってラベルを付ける
chomp,むしゃむしゃ食べる
electrostatics,静電気学
protraction,延長
schmuck,間抜け
counterterrorist,対テロの
cinchona,キナノキ
ineffably,言葉にできないほど
bally,非常に
unlikelihood,ありそうもなさ
eider,エイダー（鳥）
peptone,ペプトン
ropy,ねばねばした
hoodwink,だます
bureaucratically,官僚的に
lodestone,磁石鉱
earache,耳痛
splashy,派手な
noncombatant,非戦闘員
bibliophile,蔵書家
deviltry,悪事
duckweed,アオウキクサ
potbellied,腹の出た
abortus,流産胎児
bantam,小型の
collodion,コロジオン
horrify,恐怖させる
technocrat,技術官僚
inspirit,元気づける
statesmanlike,政治家らしい
biculturalism,二文化主義
endotoxemia,内毒素血症
episodically,断続的に
yuck,うわっ
shirtsleeve,袖なしシャツ
homogenizer,均質化装置
shading,陰影
infelicitous,不適切な
megalomaniac,大言壮語者
antihero,反英雄
copperplate,銅版体
fiendishly,極悪に
numeration,数え方
colorant,着色剤
draggled,汚れた
formamide,ホルムアミド
beeper,ビーパー
blimp,飛行船
insouciant,のんきな
pilfer,盗む
overfit,過学習する
afters,デザート
dashpot,ダンパー
miter,斜め継ぎ
sandblast,砂吹き付け
chromaticity,色度
nutcase,狂人
slacker,怠け者
tocsin,警鐘
empyrean,天空
costar,共演者
maturely,成熟して
mariachi,マリアッチ（音楽）
statehouse,州議事堂
marc,搾りかす
sloe,スローベリー
sturdiness,頑丈さ
tailpipe,排気管
binnacle,羅針儀台
dowse,水脈探知する
intercalary,閏の
macaroon,マカロン
thereabout,おおよそ
vac,真空
schoolfellow,同級生
corundum,コランダム
electrify,感電させる
scoffer,あざける人
duffer,無能者
freakishly,異常に
warmhearted,心優しい
chooser,選ぶ人
cowshed,牛小屋
cribbage,クリベッジ（カードゲーム）
hokey,わざとらしい
evanescence,消えゆくこと
obduracy,頑固さ
beautician,美容師
hempen,麻の
seraphic,天使のような
telomeric,テロメアの
campy,ひけらかしの
hardscrabble,貧しい
pertinacious,粘り強い
fervency,熱心さ
antiterrorism,反テロ活動
inscrutability,不可解さ
kudzu,クズ（植物）
kestrel,チョウゲンボウ
rescript,公式文書
tolerantly,寛大に
candelabrum,燭台
outvote,票で負かす
voltaic,電圧の
percolator,パーコレーター
seafarer,船乗り
stanchion,支柱
crossway,交差点
penurious,貧しい
glassful,一杯分
invitational,招待の
leafage,葉
denominate,命名する
diacritical,発音記号の
triplex,三重の
discolor,変色する
decipherable,解読可能な
halter,首ひも
thirstily,渇望して
unglued,ばらばらの
commonalty,庶民
equerry,侍従
paperboard,板紙
hydrangea,アジサイ
kaftan,カフタン
skittle,スキットル（遊具）
passel,多数
vacuolation,液胞形成
aga,アーガ（称号）
gaudily,派手に
pushchair,ベビーカー
dingle,谷
manatee,マナティ
exclamatory,感嘆的な
horseshit,たわごと
underdress,下着
diaphoretic,発汗性の
umpteen,非常に多くの
angularity,角ばり
blackcurrant,カシス
dorky,ダサい
foghorn,霧笛
tessellate,敷き詰める
whopper,大きなもの
alienable,譲渡可能な
northeasterly,北東の
upholsterer,椅子張り職人
hormonally,ホルモン的に
wintery,冬の
denature,変性させる
homoeroticism,同性愛的傾向
hortatory,勧告的な
precognition,予知
snazzy,派手でしゃれた
minutia,細部
semiskilled,半熟練の
superheat,過熱する
ultimo,先月
malefic,有害な
careen,傾く
ahoy,やあ
onside,有利な位置に
thready,糸のような
brinkmanship,瀬戸際政策
dragnet,一網打尽
diddle,騙す
incurved,内側に曲がった
soapbox,演説台
topiary,生け垣の彫刻
sunbathe,日光浴する
vaquero,カウボーイ
schoolman,学者
hemline,裾の高さ
krypton,クリプトン
coactivator,共同活性化因子
reamer,リーマー
wishbone,鶏の骨
headroom,頭上の余裕
gb,ギガバイト
onrushing,突進する
gammon,ハム
idiotically,馬鹿げて
bathos,陳腐さ
corncob,トウモロコシの芯
voracity,貪欲
senna,センナ
chickadee,シジュウカラ
packing,梱包
chromatid,染色分体
artilleryman,砲兵
handbill,ちらし
compendious,簡潔な
dither,ためらう
afterbirth,後産
flyby,フライバイ
streetwise,街慣れした
guardroom,守衛室
osteopathy,整骨療法
rehydrated,水和した
washtub,洗い桶
intone,抑揚をつけて言う
chorister,合唱団員
certifiable,認定可能な
oriel,出窓
suss,見抜く
bordello,売春宿
kc,ケンタッキー州
permute,順列を作る
rounders,ラウンダーズ（野球）
stalactite,鍾乳石
strikeout,三振
adjure,懇願する
disfranchisement,選挙権剥奪
inrush,流入
floatation,浮上
scabby,かさぶたの
virago,女傑
subzero,氷点下の
techie,技術者
marge,マージ
shipshape,整然とした
snick,小さな切れ目
shtick,得意芸
cline,緩やかな変化
nightlight,ナイトライト
respirable,呼吸可能な
taxol,タキソール
hightail,急いで逃げる
brushwork,筆致
crankcase,クランクケース
hasp,掛金
swami,スワミ（ヒンドゥー聖職者）
womanliness,女性らしさ
defaulter,債務不履行者
homophile,同性愛者
racialist,人種主義者
isobar,等圧線
sunbonnet,日除け帽
wineskin,酒袋
editorialize,論評する
endearingly,愛らしく
handwork,手仕事
supercharger,スーパーチャージャー
timberline,森林限界
wicked,邪悪な
ducat,デュカート（金貨）
ancestress,女性の先祖
inferentially,推論的に
nutcracker,くるみ割り
fellah,フェラ（農民）（古語）
judicature,司法制度
abase,卑下する
ambrosial,神々しい
chalcedony,カルセドニー（宝石）
scoreless,無得点の
sleepyhead,眠たがり
