reword	〜‘を'言い直す|書き替える
intermarriage	(血族)結婚
demodulation	復調
haply	多分
leftward	左側の|左に向かう
misclassification	誤判別
trounce	(人を)うんとなぐる|こらしめる|こきおろす|けなす
tinder	火口(昔 点火に用いた燃えやすい物質)
backfield	(アメリカンフットボールで)後衛
gadgetry	(家庭用などの)小道具･機械類|(器具類の)がらくた
omniscience	全知|全知の神|博識
shakily	震えて|よろよろして
streambed	a channel occupied (or formerly occupied) by a stream
leaden	重い|鉛色の
pizzicato	ピチカートの(弦楽器の弦を指ではじく奏法)|ピチカートで|ピチカートで演奏される部分
advantageously	有利に
masochistic	自虐的な
jolson	ジョルソン
iglu	イグルー
cheapskate	しみったれ|けちんぼ
liposome	リポソーム
chauvinism	盲目的愛国心|ショービニズム(盲目的な愛国主義)
fastidious	好みのむずかしい|潔癖な|細心の|気難しい
ensconce	落ち着かせる|隠す|忍ばせる|安置する|定着させる
newsy	ニュースの多い|話題の豊富な|おしゃべりな
flabbergast	(人を)びっくり仰天させる|(受身)めんくらう
spectrometric	分光測定
exonuclease	核酸を鎖の末端から逐次的に加水分解する酵素がエクソヌクレアーゼ|(反対に鎖の内部から切断していく酵素がエンドヌクレアーゼ)|遺伝子組換え技術の中核となる酵素
sagacity	賢明
limey	英国人|英国人移民|英国水兵|英国船|英国の
tonsillitis	扁桃腺炎
drachma	ドラクマ(現代ギリシアの貨幣単位);(古代ギリシアの)ドラクマ銀貨
disown	を自分のものだと認めない|に責任がないという|(子)を勘当する
cutesy	かわい子ぶった
polychrome	多色の
sessile	(植物が)無柄(へい)の|(動物が)固着した|定着性の(イソギンチャクなどについていう)
liger	ライガー(雄のライオンと雌のトラの間に生まれた子)
agitprop	アジテーションとプロパガンダ|アジ宣伝の
battler	戦士|武者|闘士|戦闘員
wistfully	物欲しそうに
pillbox	ピルボックス|ピルボックス形婦人用帽子|マッチ箱のような家|丸薬入れ|小型の乗り物
disloyal	不実の
potentate	有力者|勢力家|君主|支配者
nisus	苦労|ご苦労|労苦|骨折り
counterinsurgency	対ゲリラ(活動)|対ゲリラ計画|対反乱計画
philander	(男が)戯れに恋をする|(女に)言い寄る|いちゃつく
polemical	論争の
normalise	ノーマライズ|ノーマライズ
neighborly	exhibiting the qualities expected in a friendly neighbor
culebra	クレブラ島
defector	離反者|離党者|脱党者|脱落者|亡命者
hemagglutinin	赤血球凝集素
ohmic	of or relating to or measured in ohms
wrinkly	皺(しわ)になりやすい|皺の寄った
typesetter	植字工|植字機
hornbill	サイチョウ|(熱帯林の樹上で生活する|くちばしの大きな派手な色彩の鳥)
intraepithelial	上皮内の
oleo	=oleomargarine
radiotelephone	無線電話|無線電話機
lansoprazole	ランソプラゾール
lasher	ラッシャ
unrecognised	無認識|気づかれていない
piteous	哀れな|悲しそうな
sadhu	(ヒンズー教の)聖者
perfunctory	いい加減な
parsec	パーセク
pitta	ヤイロチョウ
calcine	〜'を'焼いて生石灰にするか焼(かしょう)する|焼いて生石灰になる|生石灰
falsetto	裏声
bullfighting	闘牛
puissance	(国王の)権力|勢力
muesli	ミューズリー(穀物・豆・乾燥果物など;朝食でミルクとまぜて食べる)
osmium	オスミウム(金属元素;化学記号は『Os』)
criminalization	legislation that makes something illegal; "the criminalization of marijuana"|legislation that makes something illegal
perfidy	不誠実
centralisation	セントラリゼーション|中央集権化|中央集権|セントラリゼイション
psalter	詩篇
spikey	大くぎのような|先端のとがった|(口語)怒りっぽい|(spikyと同義)
comsat	コムサット(大陸間の通信衛星;communications satelliteの略)
insubordination	不服従|不従順|反抗
dilator	a muscle or nerve that dilates or widens a body part|a drug that causes dilation|a surgical instrument that is used to dilate or distend an opening or an organ
fnma	a federally chartered corporation that purchases mortgages
impious	神を敬わない|不信心な
festschrift	記念論文集
dilaudid	ヒドロモルフォン
myalgia	筋肉痛
coextensive	(空間的・時間的に)同一の広がりを持つ
phenylpropanolamine	an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections; "drugs containing phenylpropanolamine are being recalled"|an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections
stiffly	堅く
patristic	of or relating to the writings of the early church fathers
nastiness	意地の悪さ
interloper	免許営業者|もぐり商人
ischaemia	虚血
processional	行列の
lacrimal	=lachrymal|涙腺(るいせん)の近くにある
afire	(叙述的)燃えて
reformulate	再開発
sabertooth	剣歯虎
groundswell	(世論などの)盛り上がり
prude	きわめて慎み深い女|慎み深さを装う女|淑女ぶる女
immensity	広大|無限
halacha	Talmudic literature that deals with law and with the interpretation of the laws on the Hebrew Scriptures
medroxyprogesterone	メドロキシプロゲステロン
uncharacteristically	柄にもなく
hogwash	豚のえさ(残飯などに水を加えたもの)|くだらないもの|ナンセンス
pheochromocytoma	褐色細胞腫
wyler	ワイラー
buttercream	バタークリーム
goy	a Christian as contrasted with a Jew
predestine	《しばしば受動態で》〈神が〉(〜に)〈人〉‘を'運命づける|‘に'宿命を負わせる《+『名』+『for』+『名』|(〜するよう)〈人〉‘を'運命づける《+『名』+『to』 do》
therapeutically	治療上
spacewalk	宇宙遊泳|宇宙遊泳する
arsenide	a compound of arsenic with a more positive element
hesitantly	しぶしぶと
saturnia	type genus of the Saturniidae: emperor moth
unkempt	(髪が)くしを入れてない|もじゃもじゃの|だらしのない|乱れた
healing	ヒーリング|回復する|治療の|回復|治癒|治療
adjudicatory	concerned with adjudicating
unappealing	魅力のない
thuja	red cedar
siltstone	シルト岩
wringer	強奪者|絞り手
humorously	滑稽
victoriously	勝ち誇って|勝って
legitimation	準正|合法化
lubeck	リューベック
overstuff	stuff too much; "The pillow was overstuffed"|stuff too much
trioxide	三酸化物、三酸化の、3酸化・化合物の中の酸素数が3個のもの。一酸化=monoxide。二酸化=dioxide。三酸化=trioxide。四酸化=tetroxide。五酸化=pentoxide
acceptably	in an acceptable (but not outstanding) manner; "she plays tennis tolerably"|in an acceptable (but not outstanding) manner
astrolabe	(昔の)天体観測儀
undertone	基調
microcrystalline	微結晶性
hermeneutic	interpretive or explanatory
neuroprotective	神経を保護する
paternalistic	温情主義の|家族主義的な
bushmaster	熱帯アメリカ産の大形の毒ヘビ
undernourish	〜‘に'十分の栄養を与えない|‘を'栄養不足にする
croaker	the lean flesh of a saltwater fish caught along Atlantic coast of southern U.S.|any of several fishes that make a croaking noise
iatrogenic	医原性
kaki	柿|柿
cavy	テンジクネズミ(南米産)
decease	死亡する|死亡
tactful	気転のきく
friable	(岩などが)砕けやすい|もろい
cytological	細胞学的な
dismember	手足を切り離す|国土をバラバラにする
ziplock	ジッパーのついたビニール袋
secessionist	脱退(党)論者;《しばしばSecessionist》(米国南北戦争当時の)分離論者|脱退の|脱退(党)賛成の;脱退主義の|脱党論の
palatinate	宮中伯領(昔|パラチン伯の管轄下にあった領地)・（the ～） プファルツ|パラティネート (ドイツ南西部の地域)
steganography	符号化
watchword	合い言葉
endocrinologist	内分泌学者
knower	a person who knows or apprehends
scoutmaster	偵察隊長|ボーイスカウトの隊長
prissy	おかまみたいな|小うるさい|取り澄ました|紳士面した|女々しい|やかまし屋の|ホモの|神経質な
julep	=mint julep
zoonotic	of or relating to or constituting zoonosis; "the Ebola virus is believed to be zoonotic"|of or relating to or constituting zoonosis
spillane	スピレイン
oxygenate	に酸素を送り込む|酸化する|酸素で処理する
puncher	穿孔(せんこう)機|打ち抜き器|パンチャー
southeasterly	南東の|南東へ向かう|(風が)南東からの|南東へ(に)|(風が)南東から
funnily	面白おかしく|滑稽に|奇妙なことに|奇妙に
bergson	アンリ・ベルクソン
masterly	巧みな
handwoven	made on a handloom; "handwoven tablecloth"|made on a handloom
claystone	fine-grained rock consisting of compacted clay particles
butchery	屠殺|肉屋|屠殺業|殺生|ぶちこわし|虐殺|だいなしの大へま
treacle	=molasses
variably	変わりやすく|不定に
subtractive	減じる|減算の
happenstance	思いがけない出来事|偶発事態
uncollectible	不良
parasympathetic	副交感神経の|副交感神経
menhir	立て石|立石
socialisation	社会化|社会化|社会化|文化化
deadweight	〈U〉自重(車・船などのそれ自体の重さ);死重(自力で動けない物の重さ)|《a dead weight》《比喩(ひゆ)的に》重荷
unconstitutionally	in an unconstitutional manner; "the president acted unconstitutionally"|in an unconstitutional manner
macrame	マクラメ|マクラメ
foolhardy	無鉄砲な|向こう見ずな|無謀な
downshift	〈自動車のトランスミッション〉‘を'低速ギアに替える|低速ギアへの切り替え
unflattering	へつらわない
lagan	goods (or wreckage) on the sea bed that is attached to a buoy so that it can be recovered
nightcap	(寝るときかぶる)ナイトキャップ|(寝る前に飲む)寝酒|(野球)ダブルヘッダーの第2試合
sensationalism	感覚論|興味本位|人気取り|扇情主義
dianthus	ナデシコ・カーネーションなどセキチク類の植物
leaguer	連盟加入者(団体|国)|(野球)リーグの選手
granulomatous	relating to or characterized by granulomas
macula	黒点|太陽黒点|黄斑|斑
musher	a traveler who drives (or travels with) a dog team
dacron	ダクロン
yukawa	Japanese mathematical physicist who proposed that nuclear forces are mediated by massive particles called mesons which are analogous to the photon in mediating electromagnetic forces (1907-1981)
analogical	expressing, composed of, or based on an analogy; "the analogical use of a metaphor"|expressing, composed of, or based on an analogy
overspend	spend more than available of (a budget)|spend more than available of (a budget) |spend at a high rate
chive	エゾネギ
bibliophile	愛書家|蔵書道楽家
waggon	=wagon
pepsin	ペプシンは消化系の中で最初に見つかったタンパク質|胃でポリペプチド鎖が分解され|腸でアミノ酸やジペプチドの断片となり|吸収され代謝エネルギーや新しいタンパク質の原料となる
leghorn	〈C〉《しばしばL-》レグホン(よく卵を産むニワトリの一種)|〈U〉麦わらさなだの一種|〈C〉麦わらさなだで作った婦人用帽子
arava	アラバ|レフルノミド
hydrofoil	水中翼船
signboard	看板
directness	まっすぐ|直接|率直
conflate	異本を合成する|一つにまとめる|合成する|混ぜる|融合する
neurotoxic	神経毒の
bluebook	ブルーブック|青書(国会や政府の報告書|cf|white book)|(米口語)紳士録|大学の記述式試験
unnaturally	人工的|人為的
unsanitary	非衛生的な|不潔な
deerskin	鹿皮
midbrain	中脳
missense	missense mutation|ミスセンス突然変異|遺伝子のコードに塩基置換が起こることにより|コドン部分の塩基配列が変わり|他のアミノ酸をコードするようになる突然変異
hame	ヘメ
sesquicentennial	150年[祭]の|150年祭
pervasiveness	広播性
picking	掘ること|採集|摘み残り|摘むこと
exegetical	relating to exegesis
cholla	arborescent cacti having very spiny cylindrical stem segments; southwestern United States and Mexico|arborescent cacti having very spiny cylindrical stem segments|southwestern United States and Mexico
unexposed	露光されていない
wonton	ワンタン|ワンタン
panoply	盛装|よろい･かぶとひとそろい|一式
maillot	女性用水着|体操用タイツ|バレエ用タイツ
credulity	軽々しく信じること|過信
gannet	large heavily built seabird with a long stout bill noted for its plunging dives for fish
polymorph	多形
oversupply	供給過剰
precancerous	前癌状態の
unscramble	〈混乱したもの〉‘を'元どおりにする|整頓する|〈混線した通信など〉‘を'分かるようにする|〈暗号〉
hematuria	血尿
purana	a body of 18 works written between the first and 11th centuries and incorporating legends and speculative histories of the universe and myths and customary observances
picosecond	ピコ秒
incoherence	支離滅裂
stuffing	お召し|調味料|詰め物|詰まり|御召し|詰り|詰め物
narwhal	イッカク(寒帯の海に住む鯨の一種で|雄には角のような長いきばが一本ある)
calamus	羽柄|羽柄
marginalisation	周辺化
nonessential	本質的でない
rightness	正確|適正|適切|正義|公正|高潔
warty	いぼ(こぶ)の多い|いぼいぼの
blowup	爆発|《話》かっとなること|(写真の)引き伸ばし
derangement	混乱|発狂|撹乱
reticule	(昔の)小物入れ・（網製）手さげ袋; （コンピュータ）レティクル (ICの回路パターンの焼き付けられた原版)
mucky	汚ない(dirty)|(天気が)ひどい
pervious	admitting of passage or entrance; "pervious soil"; "a metal pervious to heat"|admitting of passage or entrance
caisson	ケーソン|潜函(せんかん)(橋やダムなどの水中工事で用いる)|(またcamel)浮き箱(沈没船を浮揚させるのに用いる)|(砲兵隊用の)二輪弾薬車
windowpane	(1枚の)窓ガラス
midshipman	海軍少尉候補生|海軍兵学校生徒
longhair	《しばしば軽べつして》インテリ|知識人・クラシック音楽愛好家・ヒッピー
exothermic	発熱の
isolationism	孤立主義
overman	〈職場など〉‘に'人員を配置し過ぎる|過剰配員する
swiftness	迅速さ
diplomatically	外交上|外交的に;如才なく
samizdat	(特に旧ソ連における発禁書などの)地下出版[物]
androgynous	雌雄両性の|(同一花序に)雌雄両花のある|男女両性の
westernmost	最西の|西端の
nullity	〈U〉(法律上の)無効;〈C〉(文書・行為などの)法律上無効のもの|〈U〉無;無力|無意味|〈C〉つまらぬ人(物)
discriminative	裁判上
whipper	スイッチャ
jotting	覚え書き|メモ|覚書|備忘録|メモランダム|覚書き|手控え|控え
cholestasis	(医)胆汁うっ滞|胆汁分泌停止
boatswain	(商船の)甲板長|水夫長;(軍艦の)掌帆長
hearthstone	〈C〉炉石|〈U〉炉辺|家庭
tinplate	ブリキ
geologically	with respect to geology; "geologically speaking, this area is extremely interesting"|with respect to geology
bulbul	ヒヨドリ
superintendence	(〜の)監督|指揮|管理《+of+名》
pepcid	ファモチジン
austerlitz	アウステルリッツ|アウステルリッツ
granma	グランマ|おばあちゃん|(=nan|nana|nanny|granny|grandma|granma|gran)
fermenter	発酵槽
transversely	in a transverse manner; "they were cut transversely"|in a transverse manner
nitrification	硝化|硝化
unperturbed	＜perturb|(かき乱す|不安にする) かき乱されない|ろうばいしない|平静な|落ち着いた
featureless	特色のない
pasteurization	低温殺菌
imperil	あやうくする|危うくする|危険にさらす
retool	工場の機械設備を改善する|を再編集する|を改組する
porterhouse	腰上部とあばらの間の肉で作った最上のビーフステーキ
illusive	錯覚を起こさせる|迷わせる
moire	波紋織の絹|波紋模様
contractility	収縮性
animatronic	アニマトロニクス(ロボットや機械を利用し|人の動きを再現すること)
canty	lively and brisk
ripeness	成熟
streaky	筋のついた|しまのはいった|《話》(性質などが)むらのある
bourdon	a pipe of the bagpipe that is tuned to produce a single continuous tone
antiperspirant	汗よけ|発汗抑制薬品
neurophysiological	of or concerned with neurophysiology
laryngoscope	喉頭(こうとう)鏡
vapid	おもしろくない
tsetse	ツェツェ蠅
adulteration	〈U〉混ぜ物をすること|〈C〉粗悪(不良)品
debridement	surgical removal of foreign material and dead tissue from a wound in order to prevent infection and promote healing
unremitting	休む(絶える)ことがない|根気強い;(〜に)根気強い《+in+名》
semite	セム人|セム語派|セム人
primula	プリムラ(サクラソウ属の草花)
interoffice	(会社などの)各部課間の|会社内の
evanescent	(次第に)消えてゆく|束の間の|消え入るような|繊細な|はかない
overshoe	オーバーシューズ(靴の上にはく雨・防寒用のゴムの靴)
atavistic	形隔世遺伝的な|先祖返り的な
semiautomatic	半自動式の
panicle	円錐花序
sward	外皮|芝生|芝地|草地|草土|芝生で覆われる|芝生で覆う
aglow	燃え立つように照り輝いて|情熱に燃えて|輝いて
eschatological	of or relating to or dealing with or regarding the ultimate destiny of mankind and the world
slimmer	細い
naan	ナン
erratically	不規則に|進路を一定せずに|常軌を逸して
unapologetic	悪びれない
europol	欧州刑事警察機構
achromatic	無色の;色消しの
inebriate	酒癖のある;酔った|大酒飲み;酔った人|〜‘を'酔わせる
ranter	熱弁家|大ぼら吹き
teleological	of or relating to teleology
vulcanize	undergo vulcanization; "vulcanize rubber"|undergo vulcanization|subject to vulcanization; "vulcanized rubber"|subject to vulcanization
hexagram	六角星形
deist	理神論者
bugbear	(悪い子を食べてしまうという)お化け|(しばしば根拠のない)こわいもの
quarterdeck	後甲板(最後尾マストと船尾の間の間;おもに高級船員用)
lanceolate	(of a leaf shape) shaped like a lance head; narrow and tapering to a pointed apex|(of a leaf shape) shaped like a lance head|narrow and tapering to a pointed apex
reticence	無口(なこと)|沈黙|控えめ|思慮
iambic	(韻律で)弱強格の|=iambus|《複数形で》弱強格の詩
landholding	土地所有
provably	明らかに
behaviorist	a psychologist who subscribes to behaviorism|of or relating to behaviorism; "behavioristic psychology"|of or relating to behaviorism
quadrille	カドリール(4人が組みになって踊るスクエアダンス;その曲)
treetop	こずえ
urd	goddess of fate: a giantess who personified the past
hassel	ハッセル
inedible	食べられない|食べるのに適さない
incongruity	不調和|不一致
subalpine	growing at high altitudes
vilification	悪口|中傷
unfashionable	流行遅れの
parana	パラナ
recapitulate	要点を繰り返す|要約する|要点を繰返す
sceptic	=skeptic
redetermination	determining again
empiric	経験的|実証的|経験的
fricative	(子音が)摩擦で生ずる|(文法)摩擦音
noncurrent	not current or belonging to the present time
milliliter	ミリリットル
subsumption	小前提|包摂
standpipe	給水用パイプ|給(貯)水塔|水力利用の加圧パイプ
velodrome	ベロドローム
vociferous	大声でどなる|やかましい|騒々しい
soothsayer	占い師|予言者
trapdoor	跳ね上げ戸
headfirst	まっさかさまに|無鉄砲に|大急ぎで
theist	有神論者
coitus	性交(sexual intercourse)
scrapper	戦士|武者|闘士|戦闘員
deserter	(義務･家族を)捨てた人|遺棄者|職場放棄者|脱走兵|裏切り者|離党者
separability	the capability of being separated
neuritis	神経炎
serogroup	血清学的グループ
opuntia	ハウチワサボテン
dentition	歯の状態(歯の数・種類・歯列など)|歯牙(しが)の発生
smallness	小さいこと|狭量
perineal	of or relating to the perineum; "perineal pains"|of or relating to the perineum
raver	羽目をはずして楽しむ人|好き勝手な生活を送る人|熱狂的な人|狂人|放蕩児|ホモ
gavage	強制飼養(病人・鳥にゴム管などを用いて食物を与えること)
unforeseeable	incapable of being anticipated; "unforeseeable consequences"|incapable of being anticipated
counteroffer	an offer made by someone who has rejected a prior offer
uncompleted	未完成|不完全
worktop	調理台|(台所の)作業台
trope	言葉の比喩的用法
weka	flightless New Zealand rail of thievish disposition having short wings each with a spur used in fighting
sociability	社交性|交際じょうず;交友を好むこと
volcanology	火山学
scapular	肩甲骨
fettuccine	フェットチーネ
hijinks	どんちゃん騒ぎ
thankless	感謝されない|感謝の気持ちを表わさない|報いられない|忘恩的な|恩知らずの
rosewater	優雅な
paraquat	パラコート
pudge	a short fat person
amblyopia	弱視
stringency	(規則などの)厳格さ|厳重さ|(金融界の)切迫|金詰まり|(議論などの)説得力|もっともらしさ
sublimity	荘厳さ
enticement	(悪への)誘惑|誘惑するもの|えさ
conservatoire	=conservatory2
patency	the openness (lack of obstruction) of a bodily passage or duct|the property of being easy to see and understand
thereunto	それに|そこへ
compatriot	同胞|同国人
reflexivity	the coreferential relation between a reflexive pronoun and its antecedent|(logic and mathematics) a relation such that it holds between an element and itself|a relation such that it holds between an element and itself
reductionism	還元法|還元法
nonsurgical	非外科的
inoffensive	害にならない
erudition	博学
loll	ゆったり横になる|たれる
masonite	a type of fiberboard
sulfonylurea	スルホニル尿素薬(SU薬)|糖尿病内服治療薬で最も多く使用されている薬
imprimatur	許可|認可
peritoneum	腹膜
cycloheximide	シクロヘキシミド|真核生物のタンパク質合成の阻害剤|DNA損傷|催奇性のため|「in vitro(生体外)」でのタンパク質合成阻害研究に使われ|ヒトの治療薬には不適
turpitude	邪悪|卑劣
adduce	引用する|提示する|例証として挙げる
strictness	厳格|厳重
linnean	of or relating to Linnaeus or to the system of taxonomic classification that Linnaeus proposed
etiologic	病因的|病原学的|病因的|病原学的
egalitarianism	平等主義
humanitarianism	人道主義|博愛
aspergillosis	アスペルギルス症|アスペルギルス症|アスペルギルス症
rammer	石槌
niebuhr	ニーブール|ニーブール
wellpoint	a perforated tube driven into the ground to collect water from the surrounding area
keeshond	a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland
tussock	草むら|茂み
segno	(music) a notation written at the beginning or end of a passage that is to be repeated|a notation written at the beginning or end of a passage that is to be repeated
inviolable	犯すことのできない|不可侵の|神聖な
washy	(飲み物が)水っぽい|薄い|(色が)薄い|弱い|(感情・文体が)弱い|力のない
thymine	チミン(thymine)|デオキシリボ核酸|DNAを構成する塩基の1つ|英発音はサイミン|DNA中にのみ見られ|リボ核酸(RNA)ではほとんどの場合ウラシルに置き換わっている
commercialise	売り物にする
insufferable	我慢のできない
blinder	目をくらます人(もの)|(馬の)目隠し(= blinkers)|(俗)クリケット|サッカーなどのファインプレー
kimberlite	キンバーライト
cabinetmaker	木工家具職人|指物(さしもの)師
rostrum	演壇|演説家
petroglyph	a carving or line drawing on rock (especially one made by prehistoric people)
unction	(聖別の印として)油を塗ること|塗油式|(塗油の儀式に用いる)聖油|和らげる物|(話をするときなどの)うわべだけの感激(熱心)
breadboard	回路部品板(実験用の電子回路の集り)|パン切り板|パンこね板
germicidal	preventing infection by inhibiting the growth or action of microorganisms
schemer	計画者|策士
decontaminate	〜'を'浄化する|〈物・場所〉‘から'有害物を除く|汚染を除く
anaplastic	of or relating to anaplasia
vaquero	(メキシコ･米国南西部の)家畜商人|カウボーイ
microflora	ミクロフローラ
tardive	遅発性
