discipline	訓練する|規律|訓練
pension	年金|に年金を与える
adjustment	修正
hairy	毛むくじゃらの|毛深い|毛製の
captain	キャプテン|船長
uniform	均一にする|一様な|同型の|そろいの|制服|軍服
highlight	最も明るい部分|ハイライト|最も興味ある･重要な部分|呼び物|強調する|きわだたせる
foster	養い育てる|育てる|助成する|育成する|よび起こす|心にいだく
mask	マスク|仮面をかぶる|仮面|覆い隠すもの|仮面で覆う|隠す
knight	騎士
drill	ドリル|錐(きり)|ドリル(西アフリカ産のヒヒ)
accessibility	接近可能性
connector	連結者|コネクタ
sensitive	敏感な|感じやすい|敏感に反応する|神経過敏の|感性豊かな
spray	スプレーする|吹き掛ける|葉や花が付いた小枝
rob	盗む|強奪する|強盗をする|非難|叱責
fiber	繊維(質･組織)|素質|気質|ひげ根(植物)
massage	マッサージ|あんま|按摩術|もみ治療
adoption	採用|養子縁組
technique	方法|技術|技巧
prison	刑務所|監獄|拘置所|監禁|禁固|幽閉
charity	慈善|思いやり
leg	足
dispute	議論|に異議をさしはさむ|論争する|反抗する|抵抗する|(言い)争う
grey	灰色になる|灰色の
bold	ずうずうしい|大胆な|勇敢な|ずぶとい|奇抜な|顕著な|厚かましい
bomb	爆撃する|爆弾
grace	優雅|飾る|猶予(期間)
specification	明細書|仕様|詳説|詳述|明細事項|仕様書
thin	乏しい|か細い|弱々しい|を細くする|を薄める|細くなる|薄い|やせている|まばらな|希薄な
garage	ガレージ|車庫
accessible	近づきやすい|接近し易い
accessory	アクセサリー|部品|付属物|装身具|補助的な|付属的な
resident	居住する|居住者
possibly	あるいは|ことによると|たぶん|どうにかして|出来る限り
composition	構成|創作|作文
typically	典型的に
consumption	消費
neck	頚状部|首|えり|いちゃつく
busy	いそがしい
franchise	フランチャイズ|特権|参政権|選挙権|公民権|会員権
duration	持続|持続期間|所要時間
ownership	所有権|所有
cute	かわいい
relax	規律を寛大にする|くつろがせえる|をゆるめる|の力を抜く|努力を控える|くつろぐ
found	を設立する|findの過去･過去分詞形
recover	回復する|取り戻す
collector	光捕集器|収集家|集金人
spin	を回転させる|一走り|を紡ぐ|を吐く|回転させること|落下|世論操作|情報操作|前向きにいい面を強調する
consultant	コンサルタント|顧問|相談役
lion	ライオン|名物男|人気者|勇敢な人
routine	決まりきった仕事|日課|機械的なやり方|ルーチン
lounge	ぶらぶらと時を過ごす|ぐったり横になる|ぶらぶらと歩く|長椅子|休憩所|談話室|ラウンジ
reveal	を明らかにする|知らせる|示す
escort	護衛する|護衛|付き添う
legislative	立法権のある|立法の|立法機関(の)
gang	囚人などの群れ|悪漢などの一団|遊び友達
judgment	判断
achievement	達成|業績
temple	こめかみ|神殿|神殿･寺院|教会|殿堂
willing	喜んでいる|快く|快くやる
para	前に|…を経て|の意味|落下傘部隊の兵士|経産婦|ブラジルの地名 他
molecular	(化)分子の
invite	を招待する
pharmaceutical	製薬の|薬剤の|薬
seeker	探求者
desert	砂漠|不毛の地|捨てる|放棄する|逃亡する|見捨てる|相応の報い|罰
facilitate	容易にする|促進する|楽にする
stereo	ステレオの|ステレオ(録音)方式|固定観念|立体写真
sustainable	支えられる|持続可能な
statistical	統計的な|統計(上)の|統計学の
bankruptcy	倒産
pipeline	パイプライン|流通ルート
commentary	注釈書|注釈|注解書
bulk	大部分|ばら荷|大半|大きいかさ|巨大な量
favor	好意|親切|世話|恩恵|賛成する|を助ける|に好意を寄せる
comply	(希望･要求などに)従う|応じる
generator	発電機
