plotz	(俗)驚く|カッとなる|頭に血が上る|驚いて卒倒する
plunderer	略奪者
freeload	(飲食物などを)人にたかる
abecedarian	初心者|初学者
skywriting	(飛行機が空中に煙で描く)空中文字;〈U〉空中広告
parting	分かれの|別離|別れ(の)|分離(する)|分割
racialist	=racist
comfortless	慰安のない|わびしい|慰められない|悲しみを抱いたままの
argillaceous	粘土の|粘土質の
wordiness	口数の多いこと
bleakly	荒涼として|冷たく|暗く|わびしく
incautious	不注意な|軽率な;無謀な
luxuriance	繁茂|豊富
barnstormer	地方を遊説する人|どさ回り|旅役者
impanel	=empanel
hornbook	読み方自習帳|入門書
strophe	(自由詩の)節|連|(古代ギリシア悲劇で)舞踊隊が右手から左手に移動するときに歌う合唱歌
exclave	飛び領土(他国の領土に取り囲まれ|本土から離れている領土)
creditably	みごとに
impressiveness	印象的であること|感銘深さ
equivocate	言葉を濁す|あいまいな言葉を使う
presumable	仮定(推定)できる|ありそうな(probable)
overindulge	〈人〉‘を'甘やかし過ぎる|〜‘に'耽溺(たんでき)する|わがままにし過ぎる
coonskin	〈U〉アライグマの毛皮|〈C〉アライグマの毛皮製品
breezily	そよ風が吹いて|さわやかに
sculptress	女流彫刻家
superabundance	(物・愛情などの)過多|過剰《+『of』+『名』》
showery	にわか雨の多い
implacably	なだめがたく|執念ぶかく|容赦せずに
telophase	telophase (細胞分裂)終期|分裂終期
commensurable	=commensurate|同一規準で比べられる;(〜と)同じ規準の《+『with』(『to』)+『名』》
planetology	惑星学
unceremonious	不作法な|ぶしつけな|儀式(形式)ばらない
sidewise	=sideways
gymnosperm	裸子植物
compeer	(階級・能力などが)同等な人|仲間|同僚
gammer	老婆
creepily	はい回って|のろのろと|ぞくぞくして|身震いして
cowhand	=cowboy
fumigate	(殺虫・殺菌のために)〜‘を'いぶす|いぶしい消毒する
titleholder	選手権保持者(チーム)
prig	堅苦しい人
commutable	交換できる|取り替えられる
passably	まずまず;かなりよく
vituperation	厳しく避難すること|ののしり
lummox	無器用者|のろま|でくのぼう
littermate	同腹子|同腹きょうだい
lineament	顔だち|人相|特徴
whitewall	(自動車で)側面の白いタイヤ
allopathy	逆症療法(治療中の症状とは異なる症状を起こす薬剤を用いる治療法)
bodiless	体のない;無形の|実体のない
topflight	抜群に優れた|第一級(一流)の・最高の
hiccough	=hiccup
suspensive	未決定の;不確かな|不安な|中止する|停止の
isinglass	にべ(魚の浮き袋から取ったゼリー)|雲母(うんも)
decidual	脱落膜|(decidual cell脱落膜細胞)
bailable	保釈を許される
septuagenarian	70歳[代]の人|70歳[代]の
uncouple	〈連結したもの〉‘を'離す
promptitude	敏速|機敏
banquette	バンケット|乗客席|棚|壁際の長椅子|歩道
pronounceable	発音できる|断言できる
roentgenology	『X』線学|レントゲン学
jinni	=genie
sideslip	(車・スキーなどが)横すべりする|横すべり|横転
tiddlywinks	《単数扱い》小円盤の縁を他の円盤で押しはじいて飛ばせ|カップの中に入れるゲーム
distressful	(精神的・肉体的に)苦しみを引き起こす;苦しそうな
clanger	へま|ぽか|大失策
mimus	マネシツグミ (鳥の名 =mockingbird)
monocotyledon	単子葉植物
pennyweight	ペニーウェート(英国の貴金属の重量単位;24グレイン|1|20オンス(約1.42gr.)《略》『dwt.』)
disputant	論争者|討論者
colocalize	共存する
prestidigitation	手品|奇術
plutocrat	金権政治家|富豪
foremast	前檣(ぜんしょう)
irruption	(突然の)侵入|突入
chilblain	しもやけ|凍傷(frostbite)
felicitate	(〜で)〈人〉‘を'祝う《+『名』+『on』(『upon)』+『名』》
stupefaction	感覚(知覚)を麻痺させること|正気を失った状態|仰天|ぼう然自失
lazybones	怠け者|無精者
mudpuppy	サンショウウオ(北米産)
catkin	尾状花(カワヤナギ・カバノキなどの花)
dewclaw	狼(おおかみ)つめ(犬の足の上指)|(鹿・豚などの)にせけづめ
recitalist	独演家|独奏家|独唱家|暗唱者|朗読者
extempore	準備なしの|即席の|準備なしで|即興に
viscid	(液体が)ねばねばする|粘着性の
bidding	入札|せり|値ざし
penname	ペンネーム|筆名|雅号
pessary	ペッサリー(避妊用子宮せん);腟(ちつ)挿入座薬
hardpan	硬い地盤|岩床
abaft	船尾に(へ)|〜より船尾に
simpleminded	お人よしの|だまされやすい|愚かな;精神薄弱の
miniprep	ミニプレップ|プラスミド(plasmid)のDNAを細胞から分離させること
skivvy	〈女性が〉家庭内の雑事をする
habituate	(〜に)〈人〉‘を'慣らす《+『名』+『to』+『名』(do『ing』)》
capitulum	小頭(長い骨や触角などの先端のふくらんだ部分)
bilabial	両唇(しん)音([b]|[m]|[p]など両唇で発音されるもの)|両唇で発音される
accelerando	(音楽の指示で)しだいに速く(速い)
pestilential	悪疫(腺ペスト)の;悪疫をもたらす|有害な;破壊的な|《話》やっかいな|うるさい
concision	簡潔
