perpetration	悪事を犯すこと;〈C〉犯行|悪事
mytilus	type genus of the family Mytilidae: smooth-shelled marine mussels
candlepower	燭光(しょっこう)(candelaで測る)
chinaware	=china2
fistfight	拳骨での殴り合い
hollowware	銀・ガラス・銀器製の深皿(容器)
orthodontia	歯列矯正術
immunosuppressant	免疫抑制剤
threescore	60の|60束の|~and ten 70束
monism	(哲学理論での)一元論
dichromate	重クロム酸塩
jacksonian	a follower of Andrew Jackson or his ideas|of or pertaining to Andrew Jackson or his presidency or his concepts of popular democracy
simper	作り笑い(をする)|にやにや(にたにた)笑う
polyphase	多相
keenness	熱心さ|切迫|鋭さ|鋭敏|聡明
swathe	包帯
scornfully	軽蔑して
puerperal	出産の|分娩(ぶんべん)の;産婦の
magnetize	を磁化する|磁気を与える|磁化する|引き付ける|魅了する
worldliness	俗っぽさ|俗心
unpasteurized	not having undergone pasteurization
howbeit	〜とはいえ(nevertheless)|〜だけれど(although)
fieldtrip	(博物館・工場・農園などの)見学旅行|実地研究旅行
altarpiece	祭壇画|祭壇の
gameboard	盤|ボード|ゲーム盤
protectively	in a protective manner; "he bent protectively over the woman"|in a protective manner
numinous	evincing the presence of a deity; "a numinous wood"; "the most numinous moment in the Mass"|evincing the presence of a deity
braze	〈金属〉'を'はんだづけ(ろうづけ)する
noetic	知性的|理性的|知的|主知的
sisterly	姉妹の;姉妹のような;仲のよい
windbreak	防風林|(塀などの)風よけ
cowherd	牛飼い
simulacrum	幻影|面影||像|似姿|にせ物
tanguy	タンギー
submerse	=submerge
keratoconus	円錐角膜
ghostwrite	〈著作・演説原稿など〉‘を'代作する|代作する
sixpack	(ビールやかん詰めなどの)6本入り[パック] = six-pack
intussusception	嵌入|陥入
avidity	熱心さ|強い熱意|貪欲
polyphosphate	ポリリン酸塩(重合リン酸塩ともいい|正リン酸が脱水縮合した化合物)
thrombospondin	トロンボスポンジン(血小板タンパク質の一種)
canvasback	オオホシハジロ
vindicator	a person who argues to defend or justify some policy or institution; "an apologist for capital punishment"|a person who argues to defend or justify some policy or institution
accustom	習慣づける|を慣らす|に対して慣らす
quantal	of or relating to a quantum or capable of existing in only one of two states
fafnir	ファフニール
dicarboxylic	ジカルボキシル
megalomania	誇大癖|誇大妄想
nuthouse	精神病院
naiad	(ギリシア神話・ローマ神話で|少女の姿をして川や泉に住む)水の精
graphology	筆跡学|筆跡観相学
viciousness	酷薄さ|惨忍さ|残忍性|凶悪さ|残忍さ|殺伐さ|無残|酷薄|暴虐|無惨
vandalise	destroy wantonly, as through acts of vandalism; "vandalize the park"|destroy wantonly, as through acts of vandalism
norvir	リトナビル
blucher	上端が両側に折り重なる皮製の半長靴
tyramine	チラミン
pyrethrum	除虫菊|除虫菊|除虫菊|除虫菊
dippy	気がふれた|ばかげた
unspecific	大掴|大雑把|おおざっぱ|大まか|大掴み
