demoralize	の風紀を乱す
andiron	(炉の)まき載せ台
slapdash	向こう見ずに|ぞんざいに|性急に|向こう見ずな|ぞんざいな|むぞうさな|向こう見ず[な行為]|やりっぱなし[のこと]
kindergartener	a child who attends a preschool or kindergarten
apposition	同格
disputable	議論の余地がある(questionable)
airdrop	(パラシュートによる)空中投下|〜'を'空中投下する
tamerlane	ティムール
corpuscular	小体
coccidioidomycosis	コクシジウム症
booklover	愛書|愛書家
hohenzollern	a German noble family that ruled Brandenburg and Prussia
sawfly	葉蜂
caftan	カフタン|カフタン風のドレス|長袖で丈の長いゆったりした部屋着
mineworker	鉱員|山師|坑夫|鉱山労働者|鉱夫
professionalize	become professional or proceed in a professional manner or in an activity for pay or as a means of livelihood|make professional or give a professional character to; "Philosophy has not always been professionalized and used to be a subject pursued only by amateurs"|make professional or give a professional character to
grandiosity	雄大|壮大|大げさ|ぎょうぎょうしさ
besom	竹ぼうき
exultant	大喜びの|歓喜の|勝ち誇った
partygoer	someone who is attending a party; "the hall was crowded with an overflow of partygoers"|someone who is attending a party
carbamide	カルバミド|尿素
goalless	無得点
abutilon	アブチロン属
trousseau	嫁入り道具(衣装)
frisson	(興奮･喜びなどによる)身ぶるい|スリル
lexique	(言語学)語彙目録|辞典|辞書|(特にギリシャ語・ヘブライ語・アラビア語などの)辞書
pintle	a pin or bolt forming the pivot of a hinge
meddler	おせっかいをやく人
unconquered	not conquered
puffer	フグ(=pufferfish)|ぷっと吹く人(物)|お世辞屋|(競売の)さくら|汽車ぽっぽ|心臓|葉巻
snuffle	=sniffle
disassociation	解離
fruitwood	wood of various fruit trees (as apple or cherry or pear) used especially in cabinetwork
achondroplasia	軟骨発育不全|軟骨形成不全
shamanistic	of or relating to shamanism
skiffle	スキッフル(1950年代に英国で流行した通俗音楽)
feldene	ピロキシカム
merozoite	メロゾイト
thermochemistry	熱化学
unawareness	無認識
autotrophic	of or relating to organisms (as green plants) that can make complex organic nutritive compounds from simple inorganic sources by photosynthesis
yobbo	無頼漢|やくざ|あばれん坊|あらくれ者|フーリガン|乱破|暴ん坊|ならず者|凶漢|徒ら者
obscurely	ぼんやりと|あいまいに
dreamless	(眠りが)夢を見ない
pareve	=parve
occlude	(通路･すき間などを)ふさぐ
lamely	in a weak and unconvincing manner; "`I don't know, Edward,' she answered lamely"|in a weak and unconvincing manner
quantisation	量子化
acrosome	アクロソーム
behove	《英》=behoove
unresponsiveness	不応症
immunologist	免疫学者
predigest	(病人食・幼児食用に)〈食物〉‘を'消化しやすくする|〈本〉‘を'平易に書き直す
nahco	炭酸水素ナトリウム
midcourse	《名詞の前にのみ用いて》(ロケットなどの)中間軌道の|中間軌道
dramatisation	脚色
centralise	集注|結集|結集する|集中
carom	ぶつかってはね返る
psyop	military actions designed to influence the perceptions and attitudes of individuals, groups, and foreign governments
criminalisation	legislation that makes something illegal; "the criminalization of marijuana"|legislation that makes something illegal
drilling	掘削|訓練
rhytidectomy	美容整形|負けず劣らず
carny	旅芸人|=carnival3
misbegotten	私生児の|庶出の|(人|計画などについて)卑しむべき
flagellate	鞭毛(べんもう)のある;鞭毛状の|〜‘を'むち打つ
mugwump	(政治論争上などで)中立主義者;(政治上の)一匹狼|うぬぼれ|愚か者|大物|大立者|独自の立場を取る人|優柔不断な人|親分
respectably	見苦しくなく
passionflower	トケイソウ(キリストの十字架上での傷・茨(いばら)の冠にたとえられる花)
fixity	〈U〉固定[性]|定着[性]|〈C〉固定物|定着物
