despair,絶望
infinite,無限の
gear,装置
plaintiff,原告
midst,最中
sorrow,悲しみ
pit,穴
whip,むち
hormone,ホルモン
plasma,血漿
objection,異議
bath,入浴
proceeding,手続き
instinct,本能
bloody,血まみれの
ministry,省
thesis,論文
practically,ほとんど
productive,生産的な
partially,部分的に
exclude,除外する
throne,王位
dive,飛び込む
chip,破片
halt,停止
concentrate,集中する
horizontal,水平の
strive,努力する
fleet,艦隊
mild,穏やかな
nest,巣
birthday,誕生日
purple,紫色
quantum,量子
rid,取り除く
automatically,自動的に
mighty,強大な
derive,引き出す
scarcely,ほとんど〜ない
bark,吠える
faithful,忠実な
sketch,スケッチ
patent,特許
thickness,厚さ
hybrid,混成の
miracle,奇跡
qualitative,質的な
cotton,綿
remedy,治療法
finite,有限の
tense,緊張した
bore,退屈させる
resort,保養地
anchor,錨
observer,観察者
flexible,柔軟な
em,〜を［=them］（口語）
exploration,探検
pole,棒
spine,背骨
sip,一口
quantitative,量的な
doorway,入口
seemingly,一見
nowhere,どこにも〜ない
shortly,まもなく
celebrate,祝う
informal,非公式の
beneficial,有益な
magnitude,大きさ
trunk,幹
citizen,市民
disadvantage,不利
actively,積極的に
deviation,逸脱
writing,書くこと
football,サッカー
bubble,泡
actor,俳優
brick,レンガ
expose,さらす
therapist,治療者
analytical,分析的な
warmth,暖かさ
invisible,見えない
belly,腹部
corruption,腐敗
substrate,基盤
toy,おもちゃ
elderly,高齢の
mysterious,神秘的な
portrait,肖像画
penalty,罰則
economics,経済学
adverse,逆の
intelligent,知的な
silk,絹
strand,一本の糸
consensus,合意
dependence,依存
conscience,良心
oh,ああ
adapt,適応する
invitation,招待
statue,像
probe,探査
emergence,出現
accomplish,達成する
civilian,民間人
warrant,保証
pig,豚
fulfill,果たす
subtle,微妙な
twist,ねじる
shiver,震える
ton,トン
hunt,狩る
sampling,標本採取
symbolic,象徴的な
controlling,制御する
commodity,商品
wealthy,裕福な
sustainability,持続可能性
genius,天才
verify,確認する
specify,明確にする
deficiency,欠乏
efficacy,効力
inherent,固有の
maid,メイド
romantic,ロマンチックな
protective,保護する
reception,受付
invasion,侵略
passive,受動的な
civilization,文明［=civilisation］〈アメリカ英語〉
operational,操作上の
extraction,抽出
copper,銅
oxide,酸化物
corridor,廊下
cheer,歓声
awful,ひどい
undermine,弱める
metric,測定基準
