commence	を開始する|始まる|を始める
camel	ラクダ|駱駝
flare	ゆらゆら燃える|かっと怒り出す|ゆらめき|パッと燃え上がる
penis	男性性器|ペニス
intensely	激しく
nobility	高貴の生まれ|高潔さ|貴族
upside	上側
imperfect	ある部分を欠く|不完全な|未完成の|欠陥のある|(文法)未完了(時制)
bureaucratic	お役所的な|官僚的な|官僚|官僚政治の
plaque	額|飾り版|斑|歯垢|血小板|(金属･陶器の)飾り板|(記念の)銘板|ブローチ
incoming	入ってくる|引き継ぐ|後任の|新入りの
nausea	吐き気|むかつき|ひどくいやな感じ
fulfillment	充足感|達成感|実現(主に米)
pigment	絵具|顔料|色素|を着色する
conjecture	推測する|推測
unchanged	不変の|変わらない|変化していない
notification	通知書
microscopy	顕微鏡検査
deprivation	(権利などを)奪うこと|剥奪
nap	昼寝|うたた寝する|油断する
lexical	語彙の|辞書の|辞書的な|単語の
symmetric	対称の|対称的な|シンメトリック
lawsuit	訴訟|告訴
frontal	前額骨|前部の
contention	争い|競争|論争|論点|主張
awesome	すごい|とてもいい
colonialism	植民地主義|植民地化政策
zinc	亜鉛|亜鉛でメッキをする
starch	澱粉|糊|のり
cunning	抜け目のない|ずるい
insofar	～の限り
fore	全面
motionless	動かない
charitable	慈悲深い
chimney	煙突
nowadays	最近は
auxiliary	補助の|予備の|補助的な
pastoral	羊飼いの|牧歌|牧師の
garment	衣服の一品|衣服
airplane	飛行機
famine	飢きん|凶作|飢饉|欠乏
rob	盗む|強奪する|強盗をする|非難|叱責
suture	(頭蓋の)縫合線|傷の縫い合わせ|縫合|縫合糸
fellowship	友情|仲間
accessibility	接近可能性
porous	小穴の多い|多穴性の|穴だらけの
comfortably	気持よく
antagonist	アンタゴニスト(拮抗薬)|Autoradiography(放射線写真法)で生体内の特定のレセプター(receptor|受容体)に作用し受容体の活動を抑制する薬剤
kneel	跪く(ひざまずく)|膝を曲げる|膝を曲げること
mystical	神話的な
perpendicular	垂直の|垂線|垂直|直角をなす|直立した
nicely	きちょうめんに|うまく|立派に|心地よく|気むずかしく
affirmation	断言|断定
mule	ラバ(家畜)|頑固者|雑種の動植物|つっかけ式スリッパ
heterogeneity	異種|異成分
teenage	十代
onwards	前方へ
detachment	分離|超然|公平|分遣(隊)
unusually	いつになく|異常に|著しく|一風変わって|非常に|ひどく
martyr	殉教者|犠牲者|絶えず苦しむ人
authoritative	権威ある
shark	サメ|フカ|高利貸し|強欲な人|名人
internationally	国際的に
smash	スマッシュ|粉々にする|強打する|強打|破壊|破産|バリッ|ガチャン|木が裂ける音
submarine	潜水艦|海底の
liberalism	自由主義
sequential	連続する|結果として起こる|逐次服用(避妊)ピル
antibiotic	抗生物質
nipple	乳首
tailor	仕立屋|洋服屋
transverse	横断する|横の|横断の|横軸の|横軸
referral	委託|照会|紹介|推薦された人|委託された人
cardinal	枢機卿|深紅色の|基本的な|主要な
modulus	係数|率|絶対値(absolute value)|標準|規準(norm)
artwork	イラスト|さし絵|図版|手工芸品など
seminar	セミナー
battalion	大隊|大部隊
bearer	運搬人|使者|(手形などの)持参人|実のなる植物
bourgeois	中産階級の(人)|資本主義の|商工業者|中産階級の市民
interrogation	尋問|質問|疑問(符)
aortic	大動脈の
fuss	大騒ぎする|大騒ぎ|空騒ぎ
diarrhea	(dὰɪəríːə)下痢
robbery	強奪|略奪
pest	厄介な人･物|害毒|有害な小動物･虫|悪疫|ペスト
gateway	入り口|門口|出入口|(成功などに至る)道
exponential	指数の|幾何学級数的な|急上昇の
paddle	水かき|櫂|へら|ラケット|パドル|をたたく|ラケットで打つ|ぴちゃぴちゃさせる
automation	オートメーション
designate	指定する|指摘する|示す|表す|指名する
militia	市民軍|民兵
hemisphere	半球|半球体|大脳(小脳)
humidity	湿度|湿気
endurance	持久力|忍耐|がまん
dedication	献身すること|献身
shriek	叫ぶ|悲鳴|悲鳴をあげる|かん高い声で言う|金切り声|かん高い声
