wonder	(～かと)疑問に思う|に驚く|を不思議に思う|驚き|不思議なもの
solution	ソリューション|解決|解答|溶解|溶液
fine	すばらしい|元気な|申し分ない|すてきな|晴れ|晴れている
wrong	まちがった|故障して|具合が悪い
shoulder	肩|(道路の)路肩
charge	料金|非難(する)|充電(する)|突撃(する)|告訴(する)|(義務など)を負わせる|請求する|つけにする
wind	風|曲がる|巻く
eye	目
pressure	圧力|圧すること|押すこと|圧縮|圧搾|電圧|苦難|苦痛|(するように)圧力をかける
patient	がまん強い|忍耐強い|辛抱強い|根気よく働く|患者
surprise	驚き|を驚かせる
beyond	〜を超えて
sometimes	ときどき
produce	を作る|を生み出す
ability	能力|腕力|才能
review	見直す|復習する|批評
dead	死んだ|死んでいる|活気のない
date	日付|デート
wave	手を振って合図する|波立つ|振る|ウェーブ|振ること|高まり
addition	足し算|追加
piece	一部|(全体の)一部|1つ
floor	床|底|立会所
total	全体の|全ての|総計の|全くの|総力の|(車が)全壊する|全損する
road	道
special	特別な
seem	と思われる
lay	横たえる|並べる|置く|位置|状態|横たわる|横になる
behavior	振る舞い
security	安全|安全保障|無事|安心|有価証券|証券(通常複数形で)
memory	記憶装置|記憶|記憶力|思い出|記念
promise	約束|約束する
site	場所|用地|サイト
task	に負担をかける|仕事|に仕事を課する|職務|事業
international	国際的な|インターナショナル(国際労働者同盟)
rule	規則|ルール|を支配する
exist	存在する
authority	権威|権威者|出典|権限|権力|許可|職務権限|当局
round	丸い|〜の周り
save	救う|蓄える|省く
church	教会
immediately	すぐ接して|すぐに|早速|ただちに|直接に|直ちに
everyone	すべての|すべての人|みんな
instead	その代わりに
lack	足りない|がない|欠ける|不足
goal	目標|目的
fast	速く|速い
cold	風邪|冷たい
sort	分類する|仕分けする|ソート|種類|人|区別する|片付ける
ready	用意ができて
pattern	パターン|模範|原型|模様|柄|型|傾向|模様をつける
phone	電話|電話をかける|telephone
contain	含む|を持つ|を収容できる|抑制する
carry	を運ぶ
achieve	を達成する|を完成する
nor	もまた～でない|そしてまた～ない
private	私用の|個人の|私有の|秘密の|(反)public
below	〜の下で
strength	強度|兵力|力|強さ|体力|強み|長所
happy	しあわせな|うれしい|glad
degree	程度|度合い|学位|地位|階級|親等|(文法)級
complex	コンプレックス|強迫観念|固定概念|合成物|複合体|コンビナート|総合ビル|複合の|複雑な
dress	に着物を着せる|衣服を着る|正装する|ドレス
pass	通る|経つ|に合格する|パス|狭い道|山道
finally	ついに
check	チェックする|急に止める|を抑制する|を調査する|一致する|停止|妨害|検査|照合|小切手|勘定書
distance	隔たり|距離|離れた場所
listen	聞く
positive	明白な|人為的な|肯定的な|積極的な|正の|実在|正数|原級
yourself	あなた自身
particularly	特に|詳しく
prove	を証明する|とわかる
cultural	文化的な|教養の|文化の|栽培の|培養の
presence	プレゼンス|存在|物腰|面前|居ること|存在すること|出席|同席|人前|参列
cover	覆う|カバーをかける|償う
scale	鱗|薄片|うろこを落とす|(重さを)量る|(長さを)測る|目盛り|規模|縮尺|てんびん|(山)登る|(高いところを)きわめる
